politicians;p_age;p_gender;p_education;p_country;p_id;uri
merkel;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Angela_Merkel
baerbock;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Annalena_Baerbock
özdemir;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Berat_Özdemir
barack obama;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Barack_Obama
emanuel macron;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Emmanuel_Macron
boris johnson;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Boris_Johnson
biden;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Joe_Biden
trump;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Donald_Trump
obama;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Barack_Obama
christian lindner;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Christian_Lindner
dorothee bär;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Dorothee_Bär
wolfgang kubicki;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Wolfgang_Kubicki
bismarck;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Bismarck,_North_Dakota
adenauer;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Konrad_Adenauer
kohl;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Helmut_Kohl
merkel;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Angela_Merkel
putin;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Vladimir_Putin
clinton;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Bill_Clinton
angela merkel;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Angela_Merkel
putin;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Vladimir_Putin
wagenknecht;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Sahra_Wagenknecht
angela merkel;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Angela_Merkel
markus söder;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Markus_Söder
xi jinping;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Xi_Jinping
brandt;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Johann_Friedrich_von_Brandt
wehner;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Joseph_Frank_Wehner
helmut schmidt;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Helmut_Schmidt
olaf scholz;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Olaf_Scholz
joe biden;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Joe_Biden
wladimir putin;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Vladimir_Putin
merkel;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Angela_Merkel
trump;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Donald_Trump
putin;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Vladimir_Putin
biden;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Joe_Biden
harris;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Calvin_Harris
putin;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Vladimir_Putin
angela merkel;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Angela_Merkel
al gore;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Al_Gore
barack obama;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Barack_Obama
schröder;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Gerhard_Schröder
kohl;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Helmut_Kohl
merkel;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Angela_Merkel
angela merkel;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Angela_Merkel
hillary clinton;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Hillary_Clinton
wolodymyr selenskj;50;Female;High school degree or equivalent;Germany;44;NaN
gerhard schröder;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Gerhard_Schröder
emanuel macron;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Emmanuel_Macron
annalena baerbock;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Annalena_Baerbock
angela merkel;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Angela_Merkel
helmut kohl;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Helmut_Kohl
helmut schmidt;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Helmut_Schmidt
lindner;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Christian_Lindner
scholz;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Michael_Scholz
baerbock;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Annalena_Baerbock
merkel;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Angela_Merkel
