european_countries;p_age;p_gender;p_education;p_country;p_id;uri
spain;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Spain
germany;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Germany
france;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/France
spain;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Spain
germany;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Germany
france;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/France
italy;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Italy
italy;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Italy
france;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/France
germany;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Germany
germany;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Germany
france;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/France
italy;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Italy
france;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/France
denmark;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Denmark
switzerland;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Switzerland
germany;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Germany
france;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/France
united kingdom;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/United_Kingdom
germany;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Germany
france;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/France
spain;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Spain
spain;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Spain
poland;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Poland
sweden;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Sweden
norway;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Norway
republic of ireland;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Republic_of_Ireland
sweden;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Sweden
germany;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Germany
italy;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Italy
spain;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Spain
france;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/France
germany;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Germany
italy;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Italy
sweden;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Sweden
austria;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Austria
portugal;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Portugal
poland;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Poland
slovakia;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Slovakia
france;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/France
germany;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Germany
iceland;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Iceland
norway;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Norway
germany;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Germany
poland;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Poland
spain;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Spain
germany;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Germany
spain;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Spain
france;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/France
romania;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Romania
greece;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Greece
denmark;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Denmark
germany;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Germany
spain;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Spain
france;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/France
germany;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Germany
poland;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Poland
italy;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Italy
united kingdom;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/United_Kingdom
