furniture;p_age;p_gender;p_education;p_country;p_id;uri
closet;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Closet
bed;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Finistère
couch;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Couch
chair;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Professor
chair;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Professor
desk;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Drama_Desk_Award
wardrobe;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/The_Lion,_the_Witch_and_the_Wardrobe
desk;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Drama_Desk_Award
bed;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Finistère
chair;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Professor
sofa;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Sofia
closet;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Closet
bed;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Finistère
chair;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Professor
table;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Table_tennis
fridge;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Refrigerator
chair;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Professor
table;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Table_tennis
cabinet;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/West_Sussex
shelf;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Hatchback
table;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Table_tennis
bed;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Finistère
chair;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Professor
table;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Table_tennis
closet;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Closet
bed;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Finistère
chair;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Professor
table;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Table_tennis
chair;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Professor
table;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Table_tennis
bed;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Finistère
table;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Table_tennis
bed;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Finistère
chair;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Professor
desk;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Drama_Desk_Award
bed;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Finistère
lamp;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Fluorescent_lamp
desk;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Drama_Desk_Award
bed;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Finistère
seat;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/County_seat
couch;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Couch
chair;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Professor
table;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Table_tennis
chair;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Professor
table;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Table_tennis
couch;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Couch
chair;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Professor
bed;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Finistère
couch;0;Prefer not to say;;;68;http://dbpedia.org/resource/Couch
chair;0;Prefer not to say;;;68;http://dbpedia.org/resource/Professor
table;0;Prefer not to say;;;68;http://dbpedia.org/resource/Table_tennis
desk;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Drama_Desk_Award
bed;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Finistère
