european_capital_cities;p_age;p_gender;p_education;p_country;p_id;uri
rome;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Rome
berlin;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Berlin
rome;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Rome
paris;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Paris
berlin;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Berlin
berlin;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Berlin
paris;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Paris
madrid;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Madrid
berlin;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Berlin
paris;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Paris
amsterdam;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Amsterdam
berlin;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Berlin
paris;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Paris
london;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/London
berlin;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Berlin
warsaw;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Warsaw
kiev;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Kiev
berlin;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Berlin
paris;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Paris
vienna;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Vienna
paris;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Paris
rome;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Rome
london;34;Female;Master's degree;France;54;http://dbpedia.org/resource/London
copenhagen;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Copenhagen
berlin;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Berlin
vienna;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Vienna
paris;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Paris
berlin;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Berlin
london;26;Female;Master's degree;France;56;http://dbpedia.org/resource/London
kiev;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Kiev
moscow;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Moscow
minsk;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Minsk
berlin;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Berlin
