fast_food;p_age;p_gender;p_education;p_country;p_id;uri
cheeseburger;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Cheeseburger
french fries;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/France
chick nuggets;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Chicken_nugget
hamburger;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Hamburger_SV
hot dog;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Hot_dog
pizza;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Pizza
hamburger;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Hamburger_SV
pizza;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Pizza
sandwich;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands
hamburger;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Hamburger_SV
sushi;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Sushi
french fries;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/France
hamburger;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Hamburger_SV
currywurst;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Chip_fork
kebab;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Kebab
hamburger;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Hamburger_SV
pizza;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Pizza
french fries;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/France
hamburger;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Hamburger_SV
kebab;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Kebab
pizza;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Pizza
pizza;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Pizza
hamburger;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Hamburger_SV
french fries;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/France
hamburger;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Hamburger_SV
pizza;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Pizza
french fries;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/France
hamburger;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Hamburger_SV
pizza;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Pizza
kebab;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Kebab
sandwich;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands
hamburger;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Hamburger_SV
kebab;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Kebab
pizza;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Pizza
french fries;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/France
hamburger;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Hamburger_SV
hamburger;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Hamburger_SV
pizza;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Pizza
kebab;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Kebab
hamburger;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Hamburger_SV
hot dog;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Hot_dog
french fries;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/France
hamburger;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Hamburger_SV
french fries;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/France
milkshake;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Milkshake
hamburger;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Hamburger_SV
french fries;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/France
samosa;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Samosa
pizza;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Pizza
pasta;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Pasta
sushi;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Sushi
pizza;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Pizza
hamburger;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Hamburger_SV
taco;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Taco
french fries;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/France
hamburger;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Hamburger_SV
kebab;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Kebab
hamburger;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Hamburger_SV
french fries;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/France
tacos;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Taco
french fries;34;Female;Master's degree;france;54;http://dbpedia.org/resource/France
hamburger;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Hamburger_SV
hot dog;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Hot_dog
french fries;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/France
hamburger;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Hamburger_SV
chick nuggets;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Chicken_nugget
hamburger;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Hamburger_SV
kebab;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Kebab
ketwurst;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Ketwurst
currywurst;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Chip_fork
hamburger;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Hamburger_SV
taco;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Taco
asian;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Indian_people
hamburger;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Hamburger_SV
