us_companies;p_age;p_gender;p_education;p_country;p_id;uri
mcdonalds;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/McDonald's_All-American_Game
coca cola;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/The_Coca-Cola_Company
trader’s joe;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Trader_Joe's
walmart;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Walmart
polo ralph lauren;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Ralph_Lauren_Corporation
apple;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Apple_II
microsoft;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Microsoft_Windows
nike;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Nike,_Inc.
john deere;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/John_Deere
mustang;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/North_American_P-51_Mustang_variants
hilfigher;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Tommy_Hilfiger
herschies;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/William_Herschel
coca cola;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/The_Coca-Cola_Company
p&g;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/P._G._Wodehouse
ibm;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/IBM
ford;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Ford_Motor_Company
jeep;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/LNB_Pro_A
ben and jerry;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Ben_&_Jerry's
ford;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Ford_Motor_Company
abercrombie&fitch;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Abercrombie_&_Fitch
amazon;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Time_in_Brazil
apple;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Apple_II
microsoft;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Microsoft_Windows
apple;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Apple_II
google;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Google
ibm;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/IBM
alphabet;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Alphabet_Inc.
amazon;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Time_in_Brazil
microsoft;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Microsoft_Windows
starbucks;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Starbucks
apple;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Apple_II
walt disney company;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/The_Walt_Disney_Company
apple;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Apple_II
spotify;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Spotify
walmart;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Walmart
google;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Google
apple;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Apple_II
starbucks;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Starbucks
target;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Forward_(association_football)
starbucks;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Starbucks
jcpenney;34;Female;Master's degree;France;54;http://dbpedia.org/resource/J._C._Penney
apple;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Apple_II
walmart;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Walmart
