african_animals;p_age;p_gender;p_education;p_country;p_id;uri
hyena;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Spotted_hyena
hippo;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Augustine_of_Hippo
elephant;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Essex
antelope;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Antelope_County,_Nebraska
antelope;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Antelope_County,_Nebraska
lion;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Essex
elephant;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Essex
giraffe;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Giraffe
rhino;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Rhino_Entertainment
elephant;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Republican_Party_(United_States)
hippopotamus;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Hippopotamus
giraffe;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Giraffe
elephant;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Essex
gnu;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/GNU_General_Public_License
lion;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Essex
