nineties_movies;p_age;p_gender;p_education;p_country;p_id;uri
pretty woman;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Pretty_Woman
bodyguard;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Bodyguard
pretty woman;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Pretty_Woman
nothing hill;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Notting_Hill
les visiteurs;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Les_Visiteurs_du_Soir
fight club;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Fight_Club
pulp fiction;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Pulp_magazine
the big lebowski;26;Female;Master's degree;France;70;http://dbpedia.org/resource/The_Big_Lebowski
nan;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Hunan
titanic;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/RMS_Titanic
die hard;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Die_Hard_with_a_Vengeance
titanic;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/RMS_Titanic
pulp fiction;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Pulp_magazine
flubber;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Flubber
space jam;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Space_Jam_(soundtrack)
back to the future;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Back_to_the_Future
terminator 3;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Terminator_3:_Rise_of_the_Machines
nan;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Hunan
se7en;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Se7en
twister;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Payne_Knight_Twister
the mummy;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Mummy
fast and the furious;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Fast_&_Furious
matrix;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/The_Matrix_(franchise)
fight club;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Fight_Club
pretty woman;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Pretty_Woman
matrix;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/The_Matrix_(franchise)
nan;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Hunan
pulp fiction;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Pulp_magazine
home alone;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Home_Alone
seven;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Seven_Network
star wars;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Star_Wars
titanic;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/RMS_Titanic
matrix;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/The_Matrix_(franchise)
jurrasic park;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Jurassic_Park
back to the future;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Back_to_the_Future
titanic;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/RMS_Titanic
batman;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/List_of_Batman:_The_Animated_Series_episodes
pretty woman;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Pretty_Woman
free willy;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Free_Willy
nan;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Hunan
matrix;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/The_Matrix_(franchise)
forrest gump;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Forrest_Gump
home alone;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Home_Alone
pretty woman;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Pretty_Woman
ghost;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Ghost_town
es;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Spain
home alone;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Home_Alone
star wars;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Star_Wars
harry potter;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Harry_Potter
batman;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/List_of_Batman:_The_Animated_Series_episodes
spiderman;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/The_Spectacular_Spider-Man
titanic;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/RMS_Titanic
spiderman;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/The_Spectacular_Spider-Man
titanic;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/RMS_Titanic
house of wax;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/House_of_Wax
titanic;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/RMS_Titanic
forrest gump;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Forrest_Gump
pulp fiction;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Pulp_magazine
pulp fiction;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Pulp_magazine
pretty woman;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Pretty_Woman
the green mile;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Mile_End
pretty woman;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Pretty_Woman
toy story;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/List_of_Toy_Story_characters
matrix;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/The_Matrix_(franchise)
matrix;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/The_Matrix_(franchise)
men in black;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Men_in_Black_(franchise)
the usual suspects;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/The_Usual_Suspects
mission impossible;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Mission:_Impossible_–_Ghost_Protocol
harry potter;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Harry_Potter
the lord of the rings;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/The_Lord_of_the_Rings
matrix;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/The_Matrix_(franchise)
star wars;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Star_Wars
lion king;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Essex
star wars;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Star_Wars
notting hill;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Notting_Hill
the silence of the lambs;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/The_Silence_of_the_Lambs
lion king;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Essex
american pie;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/American_Pie_(song)
kevin   home alone;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Home_Alone_(franchise)
prinzessin mononoke;26;Female;High school degree or equivalent;Germany;99;NaN
pulp fiction;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Pulp_magazine
seven;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Seven_Network
clueless;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Pigeon_John
the wedding singer;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/The_Wedding_Singer
misery;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Misery_Signals
10 things i hate about you;23;Female;Master's degree;England;101;http://dbpedia.org/resource/10_Things_I_Hate_About_You
my girl;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Oh_My_Girl
clueless;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Pigeon_John
chocolat;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Chocolat_(group)
cinema paradiso;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Cinema_Paradiso
the silence of the lambs;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/The_Silence_of_the_Lambs
ghost dog: the way of the samurai;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Ghost_Dog:_The_Way_of_the_Samurai
mrs. doubtfire;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Mrs._Doubtfire
eyes wide shut;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Eyes_Wide_Shut_(song)
nan;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Hunan
jurassic park;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Jurassic_Park
pulp fiction;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Pulp_magazine
dancer in the dark;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Electronic_music
four weddings and a funeral;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Four_Weddings_and_a_Funeral
gegen die wand;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Head-On_(film)
clerks;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Clerks
;50;Female;Doctorate (e.g. PhD);Germany;107;NaN
pulp fiction;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Pulp_magazine
james bond   golden eye;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Bond_girl
finding nemo;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Finding_Nemo
