birds;p_age;p_gender;p_education;p_country;p_id;uri
woodpecker;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Woody_Woodpecker
dove;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/List_of_Dove_Medical_Press_academic_journals
eagle;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/EAGLE_(program)
parrot;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Grey_parrot
finch;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Peter_Finch
eagle;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/EAGLE_(program)
falcon;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Atlanta_Falcons
raven;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/That's_So_Raven
sparrow;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Sparrow_Records
eagle;30;Female;Master's degree;france;62;http://dbpedia.org/resource/EAGLE_(program)
crow;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Sheryl_Crow
nightingale;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Florence_Nightingale
eagle;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/EAGLE_(program)
parrot;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Grey_parrot
;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Hunan
pileated woodpecker;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Pileated_woodpecker
blackbird;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
chaffinch;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Common_chaffinch
;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Hunan
parrot;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Grey_parrot
sparrow;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Sparrow_Records
eagle;0;Prefer not to say;;;68;http://dbpedia.org/resource/EAGLE_(program)
vulture;0;Prefer not to say;;;68;http://dbpedia.org/resource/Rüppell's_vulture
sparrow;0;Prefer not to say;;;68;http://dbpedia.org/resource/Sparrow_Records
robin;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Robin_Gibb
magpie;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Magpie-lark
eagle;24;Female;Master's degree;france;69;http://dbpedia.org/resource/EAGLE_(program)
mockingjay;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Mockingjay
raven;26;Female;Master's degree;france;70;http://dbpedia.org/resource/That's_So_Raven
eagle;26;Female;Master's degree;france;70;http://dbpedia.org/resource/EAGLE_(program)
blackbird;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
tit;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Crested_shriketit
fink;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Fink_(singer)
;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Hunan
mockingbird;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/To_Kill_a_Mockingbird
eagle;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/EAGLE_(program)
pigeon;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Pheasant_pigeon
penguin;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Penguin_Books
hummingbird;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Boeing_A160_Hummingbird
albatross;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Grumman_HU-16_Albatross
seagull;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Curtiss_SOC_Seagull
raven;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/That's_So_Raven
parrot;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Grey_parrot
kookaburra;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Kookaburra_Sport
raven;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/That's_So_Raven
owl;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
blackbird;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
buzzard;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Leighton_Buzzard
blackbird;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
choke;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Arm_triangle_choke
fink;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Fink_(singer)
crow;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Sheryl_Crow
pigeon;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Pheasant_pigeon
eagle;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/EAGLE_(program)
eagle;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/EAGLE_(program)
hawk;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Sphingidae
eagle;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/EAGLE_(program)
kingfisher;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/East_Bengal_F.C.
crane;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Robert_K._Crane
budgie;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Budgie_(musician)
robin;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Robin_Gibb
magpie;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Magpie-lark
deaf;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Def_Jam_Recordings
duck;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Preston_North_End_F.C.
eagle;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/EAGLE_(program)
sparrow;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Sparrow_Records
owl;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
stork;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Saddle-billed_stork
pigeon;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Pheasant_pigeon
colibri;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Brügger_Colibri
budgie;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Budgie_(musician)
parrot;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Grey_parrot
eagle;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/EAGLE_(program)
tit;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Crested_shriketit
blackbird;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
magpie;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Magpie-lark
eagle;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/EAGLE_(program)
budgie;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Budgie_(musician)
parrot;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Grey_parrot
budgie;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Budgie_(musician)
dove;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/List_of_Dove_Medical_Press_academic_journals
chiffchaff;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Common_chiffchaff
raven;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/That's_So_Raven
ostrich;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Common_ostrich
peacock;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/NBC
dove;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/List_of_Dove_Medical_Press_academic_journals
eagle;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/EAGLE_(program)
sparrow;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Sparrow_Records
blackbird;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
robin;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Robin_Gibb
blue tit;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/African_blue_tit
blackbird;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
tit;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Crested_shriketit
finch;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Peter_Finch
robin;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Robin_Gibb
nightingale;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Florence_Nightingale
seagull;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Curtiss_SOC_Seagull
;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Hunan
blackbird;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
sparrow;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Sparrow_Records
tit;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Crested_shriketit
falcon;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Atlanta_Falcons
parrot;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Grey_parrot
eagle;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/EAGLE_(program)
owl;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
raven;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/That's_So_Raven
hummingbird;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Boeing_A160_Hummingbird
cardinal;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Stanford_Cardinal
robin;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Robin_Gibb
wren;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Christopher_Wren
magpie;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Magpie-lark
crow;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Sheryl_Crow
robin;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Robin_Gibb
seagull;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Curtiss_SOC_Seagull
robin;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Robin_Gibb
sparrow;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Sparrow_Records
eagle;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/EAGLE_(program)
swallow;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Tokyo_Yakult_Swallows
pigeon;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Pheasant_pigeon
chicken;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Chicken
sparrow;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Sparrow_Records
rooster;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Rooster_Teeth
eagle;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/EAGLE_(program)
nightingale;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Florence_Nightingale
seagull;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Curtiss_SOC_Seagull
thrush;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Ayres_Thrush
crow;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Sheryl_Crow
stork;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Saddle-billed_stork
sparrow;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Sparrow_Records
