european_landmarks;p_age;p_gender;p_education;p_country;p_id;uri
leaning tower of pisa;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Leaning_Tower_of_Pisa
brandenburg gate;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Eiffel_Tower
colosseum;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Colosseum
neuschwanstein castle;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Neuschwanstein_Castle
eiffel tower;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Eiffel_Tower
tower bridge;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Tower_Bridge
eiffel tower;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Eiffel_Tower
palace of versailles;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Palace_of_Versailles
big ben;30;Female;Master's degree;france;62;http://dbpedia.org/resource/V8_engine
leaning tower of pisa;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Leaning_Tower_of_Pisa
eiffel tower;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Eiffel_Tower
holocaust memorial;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/United_States_Holocaust_Memorial_Museum
colosseum;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Colosseum
eiffel tower;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Eiffel_Tower
berlin wall;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Berlin_Wall
eiffel tower;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Eiffel_Tower
kaiserstuhl;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Kaiserstuhl_(Baden-Württemberg)
wadden sea;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Wadden_Sea
eiffel tower;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Brandenburg_Gate
tower bridge;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Tower_Bridge
;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Hunan
eiffel tower;0;Prefer not to say;;;68;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;0;Prefer not to say;;;68;http://dbpedia.org/resource/Brandenburg_Gate
berlin wall;0;Prefer not to say;;;68;http://dbpedia.org/resource/Berlin_Wall
;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Hunan
eiffel tower;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Eiffel_Tower
mont saint michel;26;Female;Master's degree;france;70;http://dbpedia.org/resource/US_Avranches
big ben;26;Female;Master's degree;france;70;http://dbpedia.org/resource/V8_engine
brandenburg gate;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Eiffel_Tower
london eye;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/London_Eye
;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Hunan
berlin wall;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Berlin_Wall
eiffel tower;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Eiffel_Tower
eiffel tower;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Brandenburg_Gate
cathedral of saint mary the royal of la almudena;27;Male;Master's degree;germany;74;NaN
leaning tower of pisa;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Leaning_Tower_of_Pisa
eiffel tower;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Eiffel_Tower
colosseum;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Colosseum
eiffel tower;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Eiffel_Tower
neuschwanstein castle;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Neuschwanstein_Castle
colosseum;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Colosseum
notre dame;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/University_of_Notre_Dame
palace of versailles;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Palace_of_Versailles
big ben;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/V8_engine
bodensee;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Bodensee–Toggenburg_railway
north sea;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Eastern_Time_Zone
sylt;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Sylt
eiffel tower;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Eiffel_Tower
big ben;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/V8_engine
berlin tv tower;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Berlin-Müggelberge_TV_Tower
eiffel tour;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Brandenburg_Gate
neuschwanstein castle;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Neuschwanstein_Castle
eiffel tower;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Brandenburg_Gate
colosseum;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Colosseum
eiffel tower;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Eiffel_Tower
elbphilharmonie;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/NDR_Elbphilharmonie_Orchestra
colosseum;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Colosseum
heidelberg castle;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Heidelberg_Castle
sagrada familia;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/A.D._Sagrada_Familia
alhambra;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Alhambra,_California
eiffel tower;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Brandenburg_Gate
colosseum;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Colosseum
eiffel tower;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Eiffel_Tower
buckingham palace;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Buckingham_Palace
arc de triomphe;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Arc_de_Triomphe
place of versailles;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Place_Versailles
roman forum;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Roman_Forum
sagrada familia;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/A.D._Sagrada_Familia
saint peter's basilica;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/St._Peter's_Basilica
acropolis;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Acropolis_of_Athens
big ben;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/V8_engine
eiffel tower;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Eiffel_Tower
heidelberg castle;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Heidelberg_Castle
brandenburg gate;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Eiffel_Tower
colosseum;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Colosseum
brandenburg gate;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Brandenburg_Gate
acropolis;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Acropolis_of_Athens
cathedral mosquecordoca;25;Male;Bachelor's degree;germany;90;NaN
eiffel tower;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Eiffel_Tower
eiffel tower;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Eiffel_Tower
louvre;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Louvre
coliseum;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Oakland_Coliseum_station
brandenburg gate;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Brandenburg_Gate
colosseum;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Colosseum
eiffel tower;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Eiffel_Tower
buckingham palace;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Buckingham_Palace
plaza de sevilla;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Plaza_de_España,_Seville
heidelberg castle;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Heidelberg_Castle
eiffel tower;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Eiffel_Tower
zugspitze;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Zugspitze
bodensee;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Bodensee–Toggenburg_railway
alps;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Pennine_Alps
eiffel tower;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Eiffel_Tower
big ben;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/V8_engine
eiffel tower;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Eiffel_Tower
neuschwanstein castle;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Neuschwanstein_Castle
charles bridge;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Charles_Bridge
eiffel tower;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Brandenburg_Gate
saint peter's basilica;48;Female;Diplom;germany;97;http://dbpedia.org/resource/St._Peter's_Basilica
eiffel tower;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Eiffel_Tower
colosseum;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Colosseum
brandenburg gate;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Brandenburg_Gate
rakotz bridge;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Azalea_and_Rhododendron_Park_Kromlau
big ben;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/V8_engine
loch ness;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Loch_Ness_Monster
eiffel tower;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Eiffel_Tower
eiffel tower;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Eiffel_Tower
