uri;birds;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Common_blackbird;blackbird;19;Female;High school degree or equivalent;germany;51
http://dbpedia.org/resource/Tit_(bird);tit;19;Female;High school degree or equivalent;germany;52
http://dbpedia.org/resource/Swallow;swallow;19;Female;High school degree or equivalent;germany;52
http://dbpedia.org/resource/Gull;gull;19;Female;High school degree or equivalent;germany;52
;nan;25;Male;Bachelor's degree;germany;53
http://dbpedia.org/resource/Parakeet;parakeet;34;Female;Master's degree;france;54
http://dbpedia.org/resource/Robin;robin;34;Female;Master's degree;france;54
http://dbpedia.org/resource/Duck;duck;34;Female;Master's degree;france;54
http://dbpedia.org/resource/Common_blackbird;blackbird;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/Robin;robin;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/Eurasian_blue_tit;blue tit;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/Parrot;parrot;26;Female;Master's degree;france;56
http://dbpedia.org/resource/Common_nightingale;nightingale;26;Female;Master's degree;france;56
http://dbpedia.org/resource/Crow;crow;26;Female;Master's degree;france;56
http://dbpedia.org/resource/Sparrow;sparrow;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/Crane_(bird);crane;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/Eagle;eagle;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/Eagle;eagle;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/Mockingbird;mockingbird;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/Raven;raven;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/Sparrow;sparrow;23;Male;High school degree or equivalent;germany;59
;woodpecker;23;Male;High school degree or equivalent;germany;59
http://dbpedia.org/resource/Columbidae;dove;23;Male;High school degree or equivalent;germany;59
http://dbpedia.org/resource/Eagle;eagle;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/Parrot;parrot;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/Finch;finch;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/Eagle;eagle;54;Male;High school degree or equivalent;germany;61
http://dbpedia.org/resource/Falcon;falcon;54;Male;High school degree or equivalent;germany;61
http://dbpedia.org/resource/Raven;raven;54;Male;High school degree or equivalent;germany;61
http://dbpedia.org/resource/Sparrow;sparrow;30;Female;Master's degree;france;62
http://dbpedia.org/resource/Eagle;eagle;30;Female;Master's degree;france;62
