uri;continents;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Europe;europe;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/South_America;south america;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/Asia;asia;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/Europe;europe;31;Male;Bachelor's degree;germany;46
http://dbpedia.org/resource/Africa;africa;31;Male;Bachelor's degree;germany;46
http://dbpedia.org/resource/South_America;south america;31;Male;Bachelor's degree;germany;46
http://dbpedia.org/resource/Europe;europe;21;Female;High school degree or equivalent;germany;47
http://dbpedia.org/resource/Asia;asia;21;Female;High school degree or equivalent;germany;47
http://dbpedia.org/resource/Africa;africa;21;Female;High school degree or equivalent;germany;47
http://dbpedia.org/resource/Asia;asia;23;Female;Bachelor's degree;germany;48
http://dbpedia.org/resource/Europe;europe;23;Female;Bachelor's degree;germany;48
http://dbpedia.org/resource/Africa;africa;23;Female;Bachelor's degree;germany;48
http://dbpedia.org/resource/Europe;europe;36;Male;Bachelor's degree;india;49
http://dbpedia.org/resource/Asia;asia;36;Male;Bachelor's degree;india;49
http://dbpedia.org/resource/Africa;africa;36;Male;Bachelor's degree;india;49
http://dbpedia.org/resource/Europe;europe;28;Female;Master's degree;romania;50
http://dbpedia.org/resource/Asia;asia;28;Female;Master's degree;romania;50
http://dbpedia.org/resource/Africa;africa;28;Female;Master's degree;romania;50
http://dbpedia.org/resource/Europe;europe;19;Female;High school degree or equivalent;germany;51
http://dbpedia.org/resource/Asia;asia;19;Female;High school degree or equivalent;germany;51
http://dbpedia.org/resource/Africa;africa;19;Female;High school degree or equivalent;germany;51
http://dbpedia.org/resource/Europe;europe;19;Female;High school degree or equivalent;germany;52
http://dbpedia.org/resource/Asia;asia;19;Female;High school degree or equivalent;germany;52
http://dbpedia.org/resource/Africa;africa;19;Female;High school degree or equivalent;germany;52
http://dbpedia.org/resource/Asia;asia;25;Male;Bachelor's degree;germany;53
http://dbpedia.org/resource/Europe;europe;25;Male;Bachelor's degree;germany;53
http://dbpedia.org/resource/Africa;africa;25;Male;Bachelor's degree;germany;53
http://dbpedia.org/resource/Europe;europe;34;Female;Master's degree;france;54
http://dbpedia.org/resource/North_America;north america;34;Female;Master's degree;france;54
http://dbpedia.org/resource/Asia;asia;34;Female;Master's degree;france;54
http://dbpedia.org/resource/Australia_(continent);australia;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/Europe;europe;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/South_America;south america;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/Asia;asia;26;Female;Master's degree;france;56
http://dbpedia.org/resource/Europe;europe;26;Female;Master's degree;france;56
http://dbpedia.org/resource/North_America;north america;26;Female;Master's degree;france;56
http://dbpedia.org/resource/Antarctica;antarctica;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/Europe;europe;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/Africa;africa;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/Europe;europe;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/North_America;north america;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/South_America;south america;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/Asia;asia;23;Male;High school degree or equivalent;germany;59
http://dbpedia.org/resource/Africa;africa;23;Male;High school degree or equivalent;germany;59
http://dbpedia.org/resource/Europe;europe;23;Male;High school degree or equivalent;germany;59
http://dbpedia.org/resource/Europe;europe;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/Africa;africa;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/Asia;asia;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/Europe;europe;54;Male;High school degree or equivalent;germany;61
http://dbpedia.org/resource/Australia_(continent);australia;54;Male;High school degree or equivalent;germany;61
http://dbpedia.org/resource/Asia;asia;54;Male;High school degree or equivalent;germany;61
