uri;vegetables;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Eggplant;eggplant;28;Female;High school degree or equivalent;pakistan;96
http://dbpedia.org/resource/Broccoli;broccoli;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Spinach;spinach;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Carrot;carrot;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Paprika;paprika;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Potato;potato;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Onion;onion;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Tomato;tomato;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Cucumber;cucumber;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Garlic;garlic;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Broccoli;broccoli;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Carrot;carrot;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Green_bean;green bean;45;Female;Bachelor's degree;usa;100
;nan;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Carrot;carrot;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Eggplant;eggplant;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Broccoli;broccoli;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Bean;bean;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Pea;pea;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Carrot;carrot;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Eggplant;eggplant;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Zucchini;zucchini;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Lettuce;lettuce;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Bean;bean;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Cauliflower;cauliflower;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Carrot;carrot;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Cucumber;cucumber;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Cauliflower;cauliflower;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Onion;onion;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Carrot;carrot;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Turnip;turnip;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Cucumber;cucumber;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Onion;onion;45;Female;Doctorate (e.g. PhD);germany;108
http://dbpedia.org/resource/Potato;potato;45;Female;Doctorate (e.g. PhD);germany;108
http://dbpedia.org/resource/Tomato;tomato;45;Female;Doctorate (e.g. PhD);germany;108
