"pol","name"
"http://dbpedia.org/resource/Archibald_Currie_(Surinamese_politician)","Archibald Currie (Surinamese politician)"
"http://dbpedia.org/resource/Archibald_E._Olpp","Archibald E. Olpp"
"http://dbpedia.org/resource/Archibald_J._McArthur","Archibald J. McArthur"
"http://dbpedia.org/resource/Archibald_J._McLean","Archibald J. McLean"
"http://dbpedia.org/resource/Arie_Frederik_Lasut","Arie Frederik Lasut"
"http://dbpedia.org/resource/Arjun_Kumar_Sengupta","Arjun Kumar Sengupta"
"http://dbpedia.org/resource/Armand_Caouette","Armand Caouette"
"http://dbpedia.org/resource/Armistead_Burt","Armistead Burt"
"http://dbpedia.org/resource/Arnold_Malone","Arnold Malone"
"http://dbpedia.org/resource/Arthur_Aimé_Bruneau","Arthur Aimé Bruneau"
"http://dbpedia.org/resource/Arthur_D._Hay","Arthur D. Hay"
"http://dbpedia.org/resource/Arthur_Doherty","Arthur Doherty"
"http://dbpedia.org/resource/Arthur_Henniker-Hughan","Arthur Henniker-Hughan"
"http://dbpedia.org/resource/Arthur_Lever","Arthur Lever"
"http://dbpedia.org/resource/Arthur_Moren_Boutillier","Arthur Moren Boutillier"
"http://dbpedia.org/resource/Arthur_Norreys_Worthington","Arthur Norreys Worthington"
"http://dbpedia.org/resource/Arthur_P._Murphy","Arthur P. Murphy"
"http://dbpedia.org/resource/Arthur_Sexton","Arthur Sexton"
"http://dbpedia.org/resource/Arthur_W._Kopp","Arthur W. Kopp"
"http://dbpedia.org/resource/Artur_Baghdasaryan","Artur Baghdasaryan"
"http://dbpedia.org/resource/Aryeh_Azulai","Aryeh Azulai"
"http://dbpedia.org/resource/Asa_S._Knowles","Asa S. Knowles"
"http://dbpedia.org/resource/Asahel_Peck","Asahel Peck"
"http://dbpedia.org/resource/Asher_Hinds","Asher Hinds"
"http://dbpedia.org/resource/Ashok_Bhatt","Ashok Bhatt"
"http://dbpedia.org/resource/Ashwani_Kumar_(politician)","Ashwani Kumar (politician)"
"http://dbpedia.org/resource/Attique_Ahmed_Khan","Attique Ahmed Khan"
"http://dbpedia.org/resource/Aubert_C._Dunn","Aubert C. Dunn"
"http://dbpedia.org/resource/Augustus_Albert_Hardenbergh","Augustus Albert Hardenbergh"
"http://dbpedia.org/resource/Avaz_Alakbarov","Avaz Alakbarov"
"http://dbpedia.org/resource/Avula_Sambasiva_Rao","Avula Sambasiva Rao"
"http://dbpedia.org/resource/Ayad_al-Samarrai","Ayad al-Samarrai"
"http://dbpedia.org/resource/Aydemir_Güler","Aydemir Güler"
"http://dbpedia.org/resource/Aziz_Aliyev","Aziz Aliyev"
"http://dbpedia.org/resource/B._Daniel_Riley","B. Daniel Riley"
"http://dbpedia.org/resource/B._K._Hariprasad","B. K. Hariprasad"
"http://dbpedia.org/resource/B._S._Gnanadesikan","B. S. Gnanadesikan"
"http://dbpedia.org/resource/Bako_Sahakyan","Bako Sahakyan"
"http://dbpedia.org/resource/Balavant_Apte","Balavant Apte"
"http://dbpedia.org/resource/Barbara_A._Frush","Barbara A. Frush"
"http://dbpedia.org/resource/Barbara_A._Robinson","Barbara A. Robinson"
"http://dbpedia.org/resource/Barbara_Barrett","Barbara Barrett"
"http://dbpedia.org/resource/Barrie_Ciliberti","Barrie Ciliberti"
"http://dbpedia.org/resource/Bashistha_Narain_Singh","Bashistha Narain Singh"
"http://dbpedia.org/resource/Ben_C._Eastman","Ben C. Eastman"
"http://dbpedia.org/resource/Ben_Gummer","Ben Gummer"
"http://dbpedia.org/resource/Ben_H._Guill","Ben H. Guill"
"http://dbpedia.org/resource/Ben_Meier","Ben Meier"
"http://dbpedia.org/resource/Benito_Medero","Benito Medero"
"http://dbpedia.org/resource/Benjamin_Beauchamp","Benjamin Beauchamp"
"http://dbpedia.org/resource/Benjamin_Bennet","Benjamin Bennet"
"http://dbpedia.org/resource/Benjamin_Charles_Prowse","Benjamin Charles Prowse"
"http://dbpedia.org/resource/Benjamin_D._Nabers","Benjamin D. Nabers"
"http://dbpedia.org/resource/Benjamin_F._Kramer","Benjamin F. Kramer"
"http://dbpedia.org/resource/Benjamin_Franklin_Howell","Benjamin Franklin Howell"
"http://dbpedia.org/resource/Benjamin_Franklin_Whittemore","Benjamin Franklin Whittemore"
"http://dbpedia.org/resource/Benjamin_Hardin","Benjamin Hardin"
"http://dbpedia.org/resource/Benjamin_Holmes_(Missouri_politician)","Benjamin Holmes (Missouri politician)"
"http://dbpedia.org/resource/Benjamin_Joseph_Franklin","Benjamin Joseph Franklin"
"http://dbpedia.org/resource/Benjamin_S._Barnes","Benjamin S. Barnes"
"http://dbpedia.org/resource/Benjamin_S._Paulen","Benjamin S. Paulen"
"http://dbpedia.org/resource/Benjamin_Seaver","Benjamin Seaver"
"http://dbpedia.org/resource/Bent_Røiseland","Bent Røiseland"
"http://dbpedia.org/resource/Bernard_Accoyer","Bernard Accoyer"
"http://dbpedia.org/resource/Bernard_J._Gehrmann","Bernard J. Gehrmann"
"http://dbpedia.org/resource/Berni_Collas","Berni Collas"
"http://dbpedia.org/resource/Bernt_Ingvaldsen","Bernt Ingvaldsen"
"http://dbpedia.org/resource/Bert_Hargrave","Bert Hargrave"
"http://dbpedia.org/resource/Betty_Malmberg","Betty Malmberg"
"http://dbpedia.org/resource/Beverly_B._Douglas","Beverly B. Douglas"
"http://dbpedia.org/resource/Bhadriraju_Krishnamurti","Bhadriraju Krishnamurti"
"http://dbpedia.org/resource/Bhagwantrao_Mandloi","Bhagwantrao Mandloi"
"http://dbpedia.org/resource/Bhalindra_Singh","Bhalindra Singh"
"http://dbpedia.org/resource/Bhavanam_Venkatarami_Reddy","Bhavanam Venkatarami Reddy"
"http://dbpedia.org/resource/Bill_Clarke_(politician)","Bill Clarke (politician)"
"http://dbpedia.org/resource/Bill_G._Lowrey","Bill G. Lowrey"
"http://dbpedia.org/resource/Bill_Gottselig","Bill Gottselig"
"http://dbpedia.org/resource/Bill_Ingebrigtsen","Bill Ingebrigtsen"
"http://dbpedia.org/resource/Bill_Jordan_(politician)","Bill Jordan (politician)"
"http://dbpedia.org/resource/Bill_Patman","Bill Patman"
"http://dbpedia.org/resource/Bill_Ratliff","Bill Ratliff"
"http://dbpedia.org/resource/Bill_Sykes","Bill Sykes"
"http://dbpedia.org/resource/Biplab_Dasgupta","Biplab Dasgupta"
"http://dbpedia.org/resource/Blade_Nzimande","Blade Nzimande"
"http://dbpedia.org/resource/Blanca_Rodríguez","Blanca Rodríguez"
"http://dbpedia.org/resource/Blondell_Reynolds_Brown","Blondell Reynolds Brown"
"http://dbpedia.org/resource/Bob_Day","Bob Day"
"http://dbpedia.org/resource/Bob_Eckhardt","Bob Eckhardt"
"http://dbpedia.org/resource/Bob_Gunther","Bob Gunther"
"http://dbpedia.org/resource/Bob_Hawkesworth","Bob Hawkesworth"
"http://dbpedia.org/resource/Bob_Jarvis_(politician)","Bob Jarvis (politician)"
"http://dbpedia.org/resource/Bob_Kustra","Bob Kustra"
"http://dbpedia.org/resource/Bob_Lane_(Canadian_politician)","Bob Lane (Canadian politician)"
"http://dbpedia.org/resource/Bob_Margett","Bob Margett"
"http://dbpedia.org/resource/Bobby_Brantley","Bobby Brantley"
"http://dbpedia.org/resource/Bolivar_E._Kemp","Bolivar E. Kemp"
"http://dbpedia.org/resource/Bona_Dussault","Bona Dussault"
"http://dbpedia.org/resource/Bonnie_Dumanis","Bonnie Dumanis"
"http://dbpedia.org/resource/Bowen_Ebenezer_Aylsworth","Bowen Ebenezer Aylsworth"
"http://dbpedia.org/resource/Branko_Mamula","Branko Mamula"
"http://dbpedia.org/resource/Brenda_Hiatt","Brenda Hiatt"
"http://dbpedia.org/resource/Brenda_Lawrence","Brenda Lawrence"
"http://dbpedia.org/resource/Brian_Feldman_(politician)","Brian Feldman (politician)"
"http://dbpedia.org/resource/Brian_Frosh","Brian Frosh"
"http://dbpedia.org/resource/Brian_Gibson_(politician)","Brian Gibson (politician)"
"http://dbpedia.org/resource/Brian_Griffiths,_Baron_Griffiths_of_Fforestfach","Brian Griffiths, Baron Griffiths of Fforestfach"
"http://dbpedia.org/resource/Brian_Hatfield","Brian Hatfield"
"http://dbpedia.org/resource/Brian_K._McHale","Brian K. McHale"
"http://dbpedia.org/resource/Brian_Ó_Domhnaill","Brian Ó Domhnaill"
"http://dbpedia.org/resource/Bronwen_Astor,_Viscountess_Astor","Bronwen Astor, Viscountess Astor"
"http://dbpedia.org/resource/Bruce_Barclay","Bruce Barclay"
"http://dbpedia.org/resource/Bruce_L._Woodbury","Bruce L. Woodbury"
"http://dbpedia.org/resource/Bryce_B._Smith","Bryce B. Smith"
"http://dbpedia.org/resource/Bud_Bradley","Bud Bradley"
"http://dbpedia.org/resource/Bud_Jardine","Bud Jardine"
"http://dbpedia.org/resource/Bud_Orange","Bud Orange"
"http://dbpedia.org/resource/Burr_Harrison","Burr Harrison"
"http://dbpedia.org/resource/Burton_A._Dole_Jr.","Burton A. Dole Jr."
"http://dbpedia.org/resource/Byron_Knutson","Byron Knutson"
"http://dbpedia.org/resource/Bård_Hoksrud","Bård Hoksrud"
"http://dbpedia.org/resource/C._A._Shah","C. A. Shah"
"http://dbpedia.org/resource/C._Anthony_Muse","C. Anthony Muse"
"http://dbpedia.org/resource/C._Jasper_Bell","C. Jasper Bell"
"http://dbpedia.org/resource/C._Louis_Kincannon","C. Louis Kincannon"
"http://dbpedia.org/resource/C._W._Melson","C. W. Melson"
"http://dbpedia.org/resource/Cal_Larson","Cal Larson"
"http://dbpedia.org/resource/Caleb_Smith_Woodhull","Caleb Smith Woodhull"
"http://dbpedia.org/resource/Calvin_Britain","Calvin Britain"
"http://dbpedia.org/resource/Cam_Broten","Cam Broten"
"http://dbpedia.org/resource/Camille_Piché","Camille Piché"
"http://dbpedia.org/resource/Cao_Jie_(eunuch)","Cao Jie (eunuch)"
"http://dbpedia.org/resource/Careen_M._Gordon","Careen M. Gordon"
"http://dbpedia.org/resource/Carl_Ell","Carl Ell"
"http://dbpedia.org/resource/Carl_Linger","Carl Linger"
"http://dbpedia.org/resource/Carl_T._Durham","Carl T. Durham"
"http://dbpedia.org/resource/Carlisle_H._Humelsine","Carlisle H. Humelsine"
"http://dbpedia.org/resource/Carlos_Arthur_Nuzman","Carlos Arthur Nuzman"
"http://dbpedia.org/resource/Carlos_Bee","Carlos Bee"
"http://dbpedia.org/resource/Carlos_José_Solórzano","Carlos José Solórzano"
"http://dbpedia.org/resource/Carlos_Morales_Troncoso","Carlos Morales Troncoso"
"http://dbpedia.org/resource/Carlos_S._Quirós","Carlos S. Quirós"
"http://dbpedia.org/resource/Carol_Chumney","Carol Chumney"
"http://dbpedia.org/resource/Carol_Williams_(politician)","Carol Williams (politician)"
"http://dbpedia.org/resource/Carole_Jacques","Carole Jacques"
"http://dbpedia.org/resource/Caroline_Johnson","Caroline Johnson"
"http://dbpedia.org/resource/Carolyn_H._Krause","Carolyn H. Krause"
"http://dbpedia.org/resource/Carolyn_J._B._Howard","Carolyn J. B. Howard"
"http://dbpedia.org/resource/Carolyn_J._Krysiak","Carolyn J. Krysiak"
"http://dbpedia.org/resource/Carolyn_Male","Carolyn Male"
"http://dbpedia.org/resource/Cassius_M._Shartel","Cassius M. Shartel"
"http://dbpedia.org/resource/Catherine_Cortez_Masto","Catherine Cortez Masto"
"http://dbpedia.org/resource/Catherine_Pugh","Catherine Pugh"
"http://dbpedia.org/resource/Cecil_Hunter-Rodwell","Cecil Hunter-Rodwell"
"http://dbpedia.org/resource/Cecil_W._Stoughton","Cecil W. Stoughton"
"http://dbpedia.org/resource/Celso_Lafer","Celso Lafer"
"http://dbpedia.org/resource/Chandra_Bhanu_Gupta","Chandra Bhanu Gupta"
"http://dbpedia.org/resource/Chapman_L._Anderson","Chapman L. Anderson"
"http://dbpedia.org/resource/Charles-André_Hamelin","Charles-André Hamelin"
"http://dbpedia.org/resource/Charles-Eugène_Marin","Charles-Eugène Marin"
"http://dbpedia.org/resource/Charles_A._Boutelle","Charles A. Boutelle"
"http://dbpedia.org/resource/Charles_A._Crow","Charles A. Crow"
"http://dbpedia.org/resource/Charles_A._Eldredge","Charles A. Eldredge"
"http://dbpedia.org/resource/Charles_A._Johns","Charles A. Johns"
"http://dbpedia.org/resource/Charles_A._Jonas","Charles A. Jonas"
"http://dbpedia.org/resource/Charles_A._Kading","Charles A. Kading"
"http://dbpedia.org/resource/Charles_Adermann","Charles Adermann"
"http://dbpedia.org/resource/Charles_Andrews_(Maine_politician)","Charles Andrews (Maine politician)"
"http://dbpedia.org/resource/Charles_B._Clark","Charles B. Clark"
"http://dbpedia.org/resource/Charles_Barwig","Charles Barwig"
"http://dbpedia.org/resource/Charles_Berkeley_Powell","Charles Berkeley Powell"
"http://dbpedia.org/resource/Charles_Billinghurst","Charles Billinghurst"
"http://dbpedia.org/resource/Charles_Brudenell-Bruce,_1st_Marquess_of_Ailesbury","Charles Brudenell-Bruce, 1st Marquess of Ailesbury"
"http://dbpedia.org/resource/Charles_Craven","Charles Craven"
"http://dbpedia.org/resource/Charles_D._Beckwith","Charles D. Beckwith"
"http://dbpedia.org/resource/Charles_E._Barkley","Charles E. Barkley"
"http://dbpedia.org/resource/Charles_E._Creager","Charles E. Creager"
"http://dbpedia.org/resource/Charles_E._Jefferson","Charles E. Jefferson"
"http://dbpedia.org/resource/Charles_E._McKenzie","Charles E. McKenzie"
"http://dbpedia.org/resource/Charles_Franklin_Conner","Charles Franklin Conner"
"http://dbpedia.org/resource/Charles_Franklin_Farwell","Charles Franklin Farwell"
"http://dbpedia.org/resource/Charles_Frederick_Joy","Charles Frederick Joy"
"http://dbpedia.org/resource/Charles_G._Williams","Charles G. Williams"
"http://dbpedia.org/resource/Charles_H._Griffin","Charles H. Griffin"
"http://dbpedia.org/resource/Charles_H._Larrabee","Charles H. Larrabee"
"http://dbpedia.org/resource/Charles_H._Olin","Charles H. Olin"
"http://dbpedia.org/resource/Charles_H._Porter","Charles H. Porter"
"http://dbpedia.org/resource/Charles_H._Weisse","Charles H. Weisse"
"http://dbpedia.org/resource/Charles_Haight","Charles Haight"
"http://dbpedia.org/resource/Charles_Harrison_Brown","Charles Harrison Brown"
"http://dbpedia.org/resource/Charles_Henry_Chapman_(politician)","Charles Henry Chapman (politician)"
"http://dbpedia.org/resource/Charles_Henry_Morgan","Charles Henry Morgan"
"http://dbpedia.org/resource/Charles_Henry_Parmelee","Charles Henry Parmelee"
"http://dbpedia.org/resource/Charles_J._Boatner","Charles J. Boatner"
"http://dbpedia.org/resource/Charles_J._Kersten","Charles J. Kersten"
"http://dbpedia.org/resource/Charles_Mackellar","Charles Mackellar"
"http://dbpedia.org/resource/Charles_Martin_Bowman","Charles Martin Bowman"
"http://dbpedia.org/resource/Charles_May_(Canadian_politician)","Charles May (Canadian politician)"
"http://dbpedia.org/resource/Charles_Mok","Charles Mok"
