"fur","name"
"http://dbpedia.org/resource/SkyRider_(seat)","SkyRider (seat)"
"http://dbpedia.org/resource/Slip_(vehicle_dynamics)","Slip (vehicle dynamics)"
"http://dbpedia.org/resource/Soleas","Soleas"
"http://dbpedia.org/resource/Spare_tire","Spare tire"
"http://dbpedia.org/resource/Spike_strip","Spike strip"
"http://dbpedia.org/resource/Francis_Trumble","Francis Trumble"
"http://dbpedia.org/resource/Gaston_Tissandier","Gaston Tissandier"
"http://dbpedia.org/resource/Inner_tube","Inner tube"
"http://dbpedia.org/resource/The_Island_at_the_Top_of_the_World","The Island at the Top of the World"
"http://dbpedia.org/resource/Tire_uniformity","Tire uniformity"
"http://dbpedia.org/resource/Truss","Truss"
"http://dbpedia.org/resource/Tubular_tyre","Tubular tyre"
"http://dbpedia.org/resource/Turkmen_rug","Turkmen rug"
"http://dbpedia.org/resource/Tweel","Tweel"
"http://dbpedia.org/resource/Uhuru_Design","Uhuru Design"
"http://dbpedia.org/resource/N-class_blimp","N-class blimp"
"http://dbpedia.org/resource/William_Plummer","William Plummer"
"http://dbpedia.org/resource/Witness_(altar)","Witness (altar)"
"http://dbpedia.org/resource/ZMC_(airship)","ZMC (airship)"
"http://dbpedia.org/resource/Hindenburg_disaster_in_popular_culture","Hindenburg disaster in popular culture"
"http://dbpedia.org/resource/Ho_Chi_Minh_sandals","Ho Chi Minh sandals"
"http://dbpedia.org/resource/Neville_Usborne","Neville Usborne"
"http://dbpedia.org/resource/Shittah_tree","Shittah tree"
"http://dbpedia.org/resource/Larry_Walters","Larry Walters"
"http://dbpedia.org/resource/Lockheed_Martin_P-791","Lockheed Martin P-791"
"http://dbpedia.org/resource/Job_Bishop","Job Bishop"
"http://dbpedia.org/resource/Mel_Smilow","Mel Smilow"
"http://dbpedia.org/resource/Aaron_Pike_(athlete)","Aaron Pike (athlete)"
"http://dbpedia.org/resource/Adrian_Pearsall","Adrian Pearsall"
"http://dbpedia.org/resource/Dean_Mealy","Dean Mealy"
"http://dbpedia.org/resource/Delticom","Delticom"
"http://dbpedia.org/resource/Denna_Laing","Denna Laing"
"http://dbpedia.org/resource/Detroit_ZMC-2","Detroit ZMC-2"
"http://dbpedia.org/resource/DirecTV_blimp","DirecTV blimp"
"http://dbpedia.org/resource/Ed_Yost","Ed Yost"
"http://dbpedia.org/resource/Edgar_P._Weltner","Edgar P. Weltner"
"http://dbpedia.org/resource/Edmonton_Soccer_Dome","Edmonton Soccer Dome"
"http://dbpedia.org/resource/Edmund_Hill","Edmund Hill"
"http://dbpedia.org/resource/Edward_Wormley","Edward Wormley"
"http://dbpedia.org/resource/Eero_Saarinen","Eero Saarinen"
"http://dbpedia.org/resource/Eleanor_Vadala","Eleanor Vadala"
"http://dbpedia.org/resource/Hakushima_Station_(Astram_Line)","Hakushima Station (Astram Line)"
"http://dbpedia.org/resource/Hank_Gilpin","Hank Gilpin"
"http://dbpedia.org/resource/Hannah_Dederick","Hannah Dederick"
"http://dbpedia.org/resource/Harold_Hull","Harold Hull"
"http://dbpedia.org/resource/Harry_Bertoia","Harry Bertoia"
"http://dbpedia.org/resource/Harry_Sorensen_(basketball)","Harry Sorensen (basketball)"
"http://dbpedia.org/resource/Hawthorne_C._Gray","Hawthorne C. Gray"
"http://dbpedia.org/resource/Henri_Dupuy_de_Lôme","Henri Dupuy de Lôme"
"http://dbpedia.org/resource/Henri_Giffard","Henri Giffard"
"http://dbpedia.org/resource/BUAA_Mifeng-6","BUAA Mifeng-6"
"http://dbpedia.org/resource/Badia_Polyptych","Badia Polyptych"
"http://dbpedia.org/resource/Lee_Huber","Lee Huber"
"http://dbpedia.org/resource/Lefty_Byers","Lefty Byers"
