continents;p_age;p_gender;p_education;p_country;p_id;uri
north america;26;Female;Master's degree;france;56;http://dbpedia.org/resource/North_America
antarctica;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Antarctica
europe;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Europe
africa;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Africa
europe;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Europe
north america;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/North_America
south america;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/South_America
asia;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Asia
africa;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Africa
europe;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Europe
europe;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Europe
africa;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Africa
asia;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Asia
europe;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Europe
australia;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Australia_(continent)
asia;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Asia
europe;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Europe
north america;30;Female;Master's degree;france;62;http://dbpedia.org/resource/North_America
asia;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Asia
africa;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Africa
europe;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Europe
asia;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Asia
europe;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Europe
africa;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Africa
asia;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Asia
africa;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Africa
asia;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Asia
antarctica;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Antarctica
