authors;p_age;p_gender;p_education;p_country;p_id
jkrowling;34;Female;Master's degree;Germany;71
earnesthemingway;34;Female;Master's degree;Germany;71
michelfoucault;34;Female;Master's degree;Germany;71
nan;54;Male;Less than a high school degree;Germany;72
orsonscottcard;23;Male;Bachelor's degree;Germany;73
yuvalnoahharari;23;Male;Bachelor's degree;Germany;73
johnstrelecky;23;Male;Bachelor's degree;Germany;73
nan;27;Male;Master's degree;Germany;74
jkrowling;25;Male;Bachelor's degree;Germany;75
oscarwilde;27;Female;Master's degree;Germany;76
stephenking;27;Female;Master's degree;Germany;76
ingridnoll;27;Female;Master's degree;Germany;76
stevenking;51;Male;High school degree or equivalent;Germany;77
stevejobs;51;Male;High school degree or equivalent;Germany;77
stephenhawking;51;Male;High school degree or equivalent;Germany;77
king;26;Male;High school degree or equivalent;Germany;78
fitzek;26;Male;High school degree or equivalent;Germany;78
stepheniemeyer;27;Male;Bachelor's degree;Germany;79
madelinemiller;27;Male;Bachelor's degree;Germany;79
j.k.rowling;27;Male;Bachelor's degree;Germany;79
j.k.rowling;25;Male;Master's degree;Germany;80
arthurconandoyle;25;Male;Master's degree;Germany;80
stephenking;25;Male;Bachelor's degree;Germany;81
jasonzweig;25;Male;Bachelor's degree;Germany;81
yuvalnoahharari;25;Male;Bachelor's degree;Germany;81
astridlindgren;21;Male;High school degree or equivalent;Germany;82
jkrowling;21;Male;High school degree or equivalent;Germany;82
johannw.goethe;21;Male;High school degree or equivalent;Germany;82
nicolassparks;23;Female;Bachelor's degree;Germany;83
j.krowling;23;Female;Bachelor's degree;Germany;83
tolkien;23;Female;Bachelor's degree;Germany;83
rowling;28;Female;Master's degree;Germany;84
tolstoy;28;Female;Master's degree;Germany;84
stephenking;28;Female;Master's degree;Germany;84
joannek.rowling;25;Female;Master's degree;Germany;85
sebastianfitzek;25;Female;Master's degree;Germany;85
danielkahnemann;25;Female;Master's degree;Germany;85
alexandredumas;25;Female;Bachelor's degree;Russia;86
victorhugo;25;Female;Bachelor's degree;Russia;86
yuvalharari;25;Female;Bachelor's degree;Russia;86
stephenking;24;Female;High school degree or equivalent;Germany;87
j.krowling;24;Female;High school degree or equivalent;Germany;87
sebastianfitzek;24;Female;High school degree or equivalent;Germany;87
j.krowling;26;Male;Bachelor's degree;Germany;88
astridlindgren;26;Male;Bachelor's degree;Germany;88
sebastianfitzek;26;Male;Bachelor's degree;Germany;88
