dax_companies;p_age;p_gender;p_education;p_country;p_id
sap;25;Female;High school degree or equivalent;Germany;65
vw;25;Female;High school degree or equivalent;Germany;65
jungheinrich;25;Female;High school degree or equivalent;Germany;65
siemens;16;Male;Less than a high school degree;Germany;66
airbus;16;Male;Less than a high school degree;Germany;66
deutschebank;16;Male;Less than a high school degree;Germany;66
allianz;21;Male;High school degree or equivalent;Germany;67
vonovia;21;Male;High school degree or equivalent;Germany;67
bmw;21;Male;High school degree or equivalent;Germany;67
sap;0;Prefer not to say;NaN;NaN;68
mercedesbenz;0;Prefer not to say;NaN;NaN;68
basf;0;Prefer not to say;NaN;NaN;68
merck;24;Female;Master's degree;France;69
bmw;24;Female;Master's degree;France;69
lufthansa;24;Female;Master's degree;France;69
dpdhl;26;Female;Master's degree;France;70
lufthansa;26;Female;Master's degree;France;70
deutschebank;26;Female;Master's degree;France;70
siemens;34;Female;Master's degree;Germany;71
lufthansa;34;Female;Master's degree;Germany;71
daimler;34;Female;Master's degree;Germany;71
mercedesbenz;54;Male;Less than a high school degree;Germany;72
sap;54;Male;Less than a high school degree;Germany;72
volkswagen;54;Male;Less than a high school degree;Germany;72
daimler;23;Male;Bachelor's degree;Germany;73
eon;23;Male;Bachelor's degree;Germany;73
vw;23;Male;Bachelor's degree;Germany;73
heidelbergclement;27;Male;Master's degree;Germany;74
abbvie;27;Male;Master's degree;Germany;74
bmw;27;Male;Master's degree;Germany;74
deutschepost;25;Male;Bachelor's degree;Germany;75
deliveryhero;25;Male;Bachelor's degree;Germany;75
merck;25;Male;Bachelor's degree;Germany;75
sap;27;Female;Master's degree;Germany;76
basf;27;Female;Master's degree;Germany;76
rheinmetall;27;Female;Master's degree;Germany;76
sap;51;Male;High school degree or equivalent;Germany;77
linde;51;Male;High school degree or equivalent;Germany;77
vw;51;Male;High school degree or equivalent;Germany;77
basf;26;Male;High school degree or equivalent;Germany;78
daimler;26;Male;High school degree or equivalent;Germany;78
deutschewohnen;26;Male;High school degree or equivalent;Germany;78
vw;27;Male;Bachelor's degree;Germany;79
bmw;27;Male;Bachelor's degree;Germany;79
lufthansa;27;Male;Bachelor's degree;Germany;79
daimler;25;Male;Master's degree;Germany;80
vw;25;Male;Master's degree;Germany;80
basf;25;Male;Master's degree;Germany;80
adidasag;25;Male;Bachelor's degree;Germany;81
lindeplc;25;Male;Bachelor's degree;Germany;81
siemens;25;Male;Bachelor's degree;Germany;81
adidas;21;Male;High school degree or equivalent;Germany;82
sap;21;Male;High school degree or equivalent;Germany;82
lufthansa;21;Male;High school degree or equivalent;Germany;82
adidas;23;Female;Bachelor's degree;Germany;83
pfizer;23;Female;Bachelor's degree;Germany;83
henkel;23;Female;Bachelor's degree;Germany;83
basf;28;Female;Master's degree;Germany;84
db;28;Female;Master's degree;Germany;84
bosch;28;Female;Master's degree;Germany;84
sap;25;Female;Master's degree;Germany;85
porsche;25;Female;Master's degree;Germany;85
miele;25;Female;Master's degree;Germany;85
volkswagen;25;Female;Bachelor's degree;Russia;86
sap;25;Female;Bachelor's degree;Russia;86
daimler;25;Female;Bachelor's degree;Russia;86
fresenius;24;Female;High school degree or equivalent;Germany;87
sap;24;Female;High school degree or equivalent;Germany;87
allianz;24;Female;High school degree or equivalent;Germany;87
vw;26;Male;Bachelor's degree;Germany;88
mercedesbenz;26;Male;Bachelor's degree;Germany;88
sap;26;Male;Bachelor's degree;Germany;88
apple;27;Female;Master's degree;Germany;89
samsung;27;Female;Master's degree;Germany;89
sap;27;Female;Master's degree;Germany;89
benz;25;Male;Bachelor's degree;Germany;90
sap;25;Male;Bachelor's degree;Germany;90
adidas;25;Male;Bachelor's degree;Germany;90
sap;25;Male;High school degree or equivalent;Germany;91
basf;25;Male;High school degree or equivalent;Germany;91
porsche;25;Male;High school degree or equivalent;Germany;91
mercedes;28;Male;High school degree or equivalent;Germany;92
sap;28;Male;High school degree or equivalent;Germany;92
vw;28;Male;High school degree or equivalent;Germany;92
adidas;47;Female;Bachelor's degree;England;93
sap;47;Female;Bachelor's degree;England;93
