us_tech_companies;p_age;p_gender;p_education;p_country;p_id
amazon;27;Male;Master's degree;Germany;74
google;25;Male;Bachelor's degree;Germany;75
amazon;25;Male;Bachelor's degree;Germany;75
facebook;25;Male;Bachelor's degree;Germany;75
microsoft;27;Female;Master's degree;Germany;76
apple;27;Female;Master's degree;Germany;76
amazon;51;Male;High school degree or equivalent;Germany;77
alphabet;51;Male;High school degree or equivalent;Germany;77
apple;51;Male;High school degree or equivalent;Germany;77
apple;26;Male;High school degree or equivalent;Germany;78
amazon;26;Male;High school degree or equivalent;Germany;78
tesla;26;Male;High school degree or equivalent;Germany;78
facebook;27;Male;Bachelor's degree;Germany;79
apple;27;Male;Bachelor's degree;Germany;79
google;27;Male;Bachelor's degree;Germany;79
meta;25;Male;Master's degree;Germany;80
alphabet;25;Male;Master's degree;Germany;80
netflix;25;Male;Master's degree;Germany;80
apple;25;Male;Bachelor's degree;Germany;81
facebook;25;Male;Bachelor's degree;Germany;81
tesla;25;Male;Bachelor's degree;Germany;81
tesla;21;Male;High school degree or equivalent;Germany;82
spacex;21;Male;High school degree or equivalent;Germany;82
nasa;21;Male;High school degree or equivalent;Germany;82
apple;23;Female;Bachelor's degree;Germany;83
microsoft;23;Female;Bachelor's degree;Germany;83
tesla;23;Female;Bachelor's degree;Germany;83
apple;28;Female;Master's degree;Germany;84
microsoft;28;Female;Master's degree;Germany;84
intel;28;Female;Master's degree;Germany;84
apple;25;Female;Master's degree;Germany;85
microsoft;25;Female;Master's degree;Germany;85
spacex;25;Female;Master's degree;Germany;85
salesforce;25;Female;Bachelor's degree;Russia;86
oracle;25;Female;Bachelor's degree;Russia;86
microsoft;25;Female;Bachelor's degree;Russia;86
ibm;24;Female;High school degree or equivalent;Germany;87
apple;24;Female;High school degree or equivalent;Germany;87
microsoft;24;Female;High school degree or equivalent;Germany;87
google;26;Male;Bachelor's degree;Germany;88
apple;26;Male;Bachelor's degree;Germany;88
amazon;26;Male;Bachelor's degree;Germany;88
apple;27;Female;Master's degree;Germany;89
microsoft;27;Female;Master's degree;Germany;89
facebook;27;Female;Master's degree;Germany;89
amazon;25;Male;Bachelor's degree;Germany;90
alphabet;25;Male;Bachelor's degree;Germany;90
salesforce;25;Male;Bachelor's degree;Germany;90
microsoft;25;Male;High school degree or equivalent;Germany;91
