us_presidents;p_age;p_gender;p_education;p_country;p_id
barackobama;16;Male;Less than a high school degree;Germany;66
abrahamlincoln;21;Male;High school degree or equivalent;Germany;67
georgewashington;21;Male;High school degree or equivalent;Germany;67
donaldtrump;21;Male;High school degree or equivalent;Germany;67
nan;0;Prefer not to say;NaN;NaN;68
obama;24;Female;Master's degree;France;69
kennedy;24;Female;Master's degree;France;69
biden;24;Female;Master's degree;France;69
biden;26;Female;Master's degree;France;70
obama;26;Female;Master's degree;France;70
trump;26;Female;Master's degree;France;70
obama;34;Female;Master's degree;Germany;71
clinton;34;Female;Master's degree;Germany;71
bush;34;Female;Master's degree;Germany;71
obama;54;Male;Less than a high school degree;Germany;72
clinton;54;Male;Less than a high school degree;Germany;72
trump;54;Male;Less than a high school degree;Germany;72
obama;23;Male;Bachelor's degree;Germany;73
trump;23;Male;Bachelor's degree;Germany;73
biden;23;Male;Bachelor's degree;Germany;73
abrahamlincoln;27;Male;Master's degree;Germany;74
nixxon;27;Male;Master's degree;Germany;74
obama;27;Male;Master's degree;Germany;74
barackobama;25;Male;Bachelor's degree;Germany;75
joebiden;25;Male;Bachelor's degree;Germany;75
georgewbush;25;Male;Bachelor's degree;Germany;75
biden;27;Female;Master's degree;Germany;76
trump;27;Female;Master's degree;Germany;76
obama;27;Female;Master's degree;Germany;76
reagan;51;Male;High school degree or equivalent;Germany;77
g.h.bush;51;Male;High school degree or equivalent;Germany;77
g.w.bush;51;Male;High school degree or equivalent;Germany;77
obama;26;Male;High school degree or equivalent;Germany;78
clinton;26;Male;High school degree or equivalent;Germany;78
trump;26;Male;High school degree or equivalent;Germany;78
obama;27;Male;Bachelor's degree;Germany;79
trump;27;Male;Bachelor's degree;Germany;79
bush;27;Male;Bachelor's degree;Germany;79
barackobama;25;Male;Master's degree;Germany;80
donaldtrump;25;Male;Master's degree;Germany;80
biden;25;Male;Bachelor's degree;Germany;81
trump;25;Male;Bachelor's degree;Germany;81
clinton;25;Male;Bachelor's degree;Germany;81
donaldtrump;21;Male;High school degree or equivalent;Germany;82
joebiden;21;Male;High school degree or equivalent;Germany;82
barackobama;21;Male;High school degree or equivalent;Germany;82
billclinton;23;Female;Bachelor's degree;Germany;83
barackobama;23;Female;Bachelor's degree;Germany;83
donaldtrump;23;Female;Bachelor's degree;Germany;83
trump;28;Female;Master's degree;Germany;84
obama;28;Female;Master's degree;Germany;84
jfkennedy;28;Female;Master's degree;Germany;84
biden;25;Female;Master's degree;Germany;85
trump;25;Female;Master's degree;Germany;85
obama;25;Female;Master's degree;Germany;85
obama;25;Female;Bachelor's degree;Russia;86
lincoln;25;Female;Bachelor's degree;Russia;86
biden;25;Female;Bachelor's degree;Russia;86
obama;24;Female;High school degree or equivalent;Germany;87
bush;24;Female;High school degree or equivalent;Germany;87
biden;24;Female;High school degree or equivalent;Germany;87
joebiden;26;Male;Bachelor's degree;Germany;88
donaldtrump;26;Male;Bachelor's degree;Germany;88
georgebush;26;Male;Bachelor's degree;Germany;88
obama;27;Female;Master's degree;Germany;89
trump;27;Female;Master's degree;Germany;89
biden;27;Female;Master's degree;Germany;89
trump;25;Male;Bachelor's degree;Germany;90
kennedy;25;Male;Bachelor's degree;Germany;90
lincoln;25;Male;Bachelor's degree;Germany;90
barackobama;25;Male;High school degree or equivalent;Germany;91
joebiden;25;Male;High school degree or equivalent;Germany;91
georgew.bush;25;Male;High school degree or equivalent;Germany;91
barackobama;28;Male;High school degree or equivalent;Germany;92
donaldtrump;28;Male;High school degree or equivalent;Germany;92
joebiden;28;Male;High school degree or equivalent;Germany;92
barackobama;47;Female;Bachelor's degree;England;93
joebiden;47;Female;Bachelor's degree;England;93
georgebush;47;Female;Bachelor's degree;England;93
barrackobama;38;Male;Bachelor's degree;Germany;94
abrahamlincoln;38;Male;Bachelor's degree;Germany;94
georgewashington;38;Male;Bachelor's degree;Germany;94
trump;40;Female;Bachelor's degree;China;95
obama;40;Female;Bachelor's degree;China;95
roosevelt;40;Female;Bachelor's degree;China;95
bush;28;Female;High school degree or equivalent;Pakistan;96
trump;28;Female;High school degree or equivalent;Pakistan;96
biden;28;Female;High school degree or equivalent;Pakistan;96
biden;48;Female;Master's degree;Germany;97
obama;48;Female;Master's degree;Germany;97
trump;48;Female;Master's degree;Germany;97
barackobama;26;Male;Less than a high school degree;Germany;98
johnf.kennedy;26;Male;Less than a high school degree;Germany;98
abrahamlincoln;26;Male;Less than a high school degree;Germany;98
lincoln;26;Female;High school degree or equivalent;Germany;99
bush;26;Female;High school degree or equivalent;Germany;99
obama;26;Female;High school degree or equivalent;Germany;99
washington;45;Female;Bachelor's degree;USA;100
lincoln;45;Female;Bachelor's degree;USA;100
kennedy;45;Female;Bachelor's degree;USA;100
trump;23;Female;Master's degree;England;101
biden;23;Female;Master's degree;England;101
kennedy;23;Female;Master's degree;England;101
biden;26;Female;Bachelor's degree;Germany;102
bush;26;Female;Bachelor's degree;Germany;102
kennedy;26;Female;Bachelor's degree;Germany;102
lincoln;70;Female;Master's degree;Germany;103
kennedy;70;Female;Master's degree;Germany;103
trump;70;Female;Master's degree;Germany;103
billclinton;33;Female;Master's degree;Iran;104
georgew.bush;33;Female;Master's degree;Iran;104
barackobama;33;Female;Master's degree;Iran;104
roosevelt;59;Male;Doctorate (e.g. PhD);Germany;105
obama;59;Male;Doctorate (e.g. PhD);Germany;105
georgew.bush;59;Male;Doctorate (e.g. PhD);Germany;105
joebiden;47;Female;Doctorate (e.g. PhD);Germany;106
donaldtrump;47;Female;Doctorate (e.g. PhD);Germany;106
georgewashington;47;Female;Doctorate (e.g. PhD);Germany;106
joebiden;50;Female;Doctorate (e.g. PhD);Germany;107
barakobama;50;Female;Doctorate (e.g. PhD);Germany;107
donaldtrump;50;Female;Doctorate (e.g. PhD);Germany;107
joebiden;45;Female;Doctorate (e.g. PhD);Germany;108
abrahamlincoln;45;Female;Doctorate (e.g. PhD);Germany;108
barackobama;45;Female;Doctorate (e.g. PhD);Germany;108
