politicians;p_age;p_gender;p_education;p_country;p_id
annalenabaerbock;25;Male;Bachelor's degree;Germany;75
joebiden;27;Female;Master's degree;Germany;76
olafscholz;27;Female;Master's degree;Germany;76
annalenabaerbock;27;Female;Master's degree;Germany;76
scholz;51;Male;High school degree or equivalent;Germany;77
putin;51;Male;High school degree or equivalent;Germany;77
macron;51;Male;High school degree or equivalent;Germany;77
merkel;26;Male;High school degree or equivalent;Germany;78
schröder;26;Male;High school degree or equivalent;Germany;78
obama;26;Male;High school degree or equivalent;Germany;78
merkel;27;Male;Bachelor's degree;Germany;79
scholz;27;Male;Bachelor's degree;Germany;79
lindner;27;Male;Bachelor's degree;Germany;79
schröder;25;Male;Master's degree;Germany;80
trump;25;Male;Master's degree;Germany;80
bush;25;Male;Master's degree;Germany;80
christianlindner;25;Male;Bachelor's degree;Germany;81
gerhardschröder;25;Male;Bachelor's degree;Germany;81
wladimirputin;25;Male;Bachelor's degree;Germany;81
joebiden;21;Male;High school degree or equivalent;Germany;82
olafscholz;21;Male;High school degree or equivalent;Germany;82
annalenabaerbock;21;Male;High school degree or equivalent;Germany;82
angelamerkel;23;Female;Bachelor's degree;Germany;83
jensspahn;23;Female;Bachelor's degree;Germany;83
phillipamthor;23;Female;Bachelor's degree;Germany;83
merkel;28;Female;Master's degree;Germany;84
schröder;28;Female;Master's degree;Germany;84
obama;28;Female;Master's degree;Germany;84
christianlindner;25;Female;Master's degree;Germany;85
nelsonmandela;25;Female;Bachelor's degree;Russia;86
angelamerkel;25;Female;Bachelor's degree;Russia;86
emmanuelmacron;25;Female;Bachelor's degree;Russia;86
merkel;24;Female;High school degree or equivalent;Germany;87
scholz;24;Female;High school degree or equivalent;Germany;87
lauterbach;24;Female;High school degree or equivalent;Germany;87
olafscholz;26;Male;Bachelor's degree;Germany;88
norbertröttgen;26;Male;Bachelor's degree;Germany;88
donaldtrump;26;Male;Bachelor's degree;Germany;88
scholz;27;Female;Master's degree;Germany;89
habeck;27;Female;Master's degree;Germany;89
vonderleyen;27;Female;Master's degree;Germany;89
colinpowell;25;Male;Bachelor's degree;Germany;90
josephbiden;25;Male;Bachelor's degree;Germany;90
sarahwagenknecht;25;Male;Bachelor's degree;Germany;90
angelamerkel;25;Male;High school degree or equivalent;Germany;91
cemözdemir;25;Male;High school degree or equivalent;Germany;91
frankwaltersteinmeier;25;Male;High school degree or equivalent;Germany;91
olafscholz;28;Male;High school degree or equivalent;Germany;92
vladimirputin;28;Male;High school degree or equivalent;Germany;92
wolodymyrselenskyj;28;Male;High school degree or equivalent;Germany;92
borisjohnson;47;Female;Bachelor's degree;England;93
barackobama;47;Female;Bachelor's degree;England;93
vladimirputin;47;Female;Bachelor's degree;England;93
angelamerkel;38;Male;Bachelor's degree;Germany;94
donaldtrump;38;Male;Bachelor's degree;Germany;94
kimjongun;38;Male;Bachelor's degree;Germany;94
trump;40;Female;Bachelor's degree;China;95
obama;40;Female;Bachelor's degree;China;95
clinton;40;Female;Bachelor's degree;China;95
putin;28;Female;High school degree or equivalent;Pakistan;96
bush;28;Female;High school degree or equivalent;Pakistan;96
trump;28;Female;High school degree or equivalent;Pakistan;96
merkel;48;Female;Master's degree;Germany;97
putin;48;Female;Master's degree;Germany;97
biden;48;Female;Master's degree;Germany;97
barackobama;26;Male;Less than a high school degree;Germany;98
angelamerkel;26;Male;Less than a high school degree;Germany;98
nelsonmandela;26;Male;Less than a high school degree;Germany;98
merkel;26;Female;High school degree or equivalent;Germany;99
obama;26;Female;High school degree or equivalent;Germany;99
hitler;26;Female;High school degree or equivalent;Germany;99
joebiden;45;Female;Bachelor's degree;USA;100
barrackobama;45;Female;Bachelor's degree;USA;100
hilaryclinton;45;Female;Bachelor's degree;USA;100
borrisjohnson;23;Female;Master's degree;England;101
theresamay;23;Female;Master's degree;England;101
tonyblair;23;Female;Master's degree;England;101
gerhardschröder;26;Female;Bachelor's degree;Germany;102
angelamerkel;26;Female;Bachelor's degree;Germany;102
caesar;70;Female;Master's degree;Germany;103
napoleon;70;Female;Master's degree;Germany;103
putin;70;Female;Master's degree;Germany;103
bernardsanders;33;Female;Master's degree;Iran;104
angelamerkel;33;Female;Master's degree;Iran;104
borisjohnson;33;Female;Master's degree;Iran;104
borisjohnson;59;Male;Doctorate (e.g. PhD);Germany;105
angelamerkel;59;Male;Doctorate (e.g. PhD);Germany;105
madeleinealbright;59;Male;Doctorate (e.g. PhD);Germany;105
anglamerkel;47;Female;Doctorate (e.g. PhD);Germany;106
joebiden;47;Female;Doctorate (e.g. PhD);Germany;106
wladimirputin;47;Female;Doctorate (e.g. PhD);Germany;106
annalenabaerbock;50;Female;Doctorate (e.g. PhD);Germany;107
wladimirputin;50;Female;Doctorate (e.g. PhD);Germany;107
olafscholz;50;Female;Doctorate (e.g. PhD);Germany;107
roosevelt;45;Female;Doctorate (e.g. PhD);Germany;108
churchill;45;Female;Doctorate (e.g. PhD);Germany;108
bismarck;45;Female;Doctorate (e.g. PhD);Germany;108
