music_genres;p_age;p_gender;p_education;p_country;p_id
house;27;Female;Master's degree;Germany;89
rap;25;Male;Bachelor's degree;Germany;90
rock;25;Male;Bachelor's degree;Germany;90
pop;25;Male;Bachelor's degree;Germany;90
techno;25;Male;High school degree or equivalent;Germany;91
house;25;Male;High school degree or equivalent;Germany;91
heavymetal;25;Male;High school degree or equivalent;Germany;91
r&b;28;Male;High school degree or equivalent;Germany;92
techno;28;Male;High school degree or equivalent;Germany;92
rap;28;Male;High school degree or equivalent;Germany;92
pop;47;Female;Bachelor's degree;England;93
rock;47;Female;Bachelor's degree;England;93
classic;47;Female;Bachelor's degree;England;93
hiphop;38;Male;Bachelor's degree;Germany;94
metal;38;Male;Bachelor's degree;Germany;94
jazz;38;Male;Bachelor's degree;Germany;94
barroco;40;Female;Bachelor's degree;China;95
classicism;40;Female;Bachelor's degree;China;95
romance;40;Female;Bachelor's degree;China;95
pop;28;Female;High school degree or equivalent;Pakistan;96
rock;28;Female;High school degree or equivalent;Pakistan;96
hiphop;28;Female;High school degree or equivalent;Pakistan;96
pop;48;Female;Master's degree;Germany;97
rock;48;Female;Master's degree;Germany;97
hiphop;48;Female;Master's degree;Germany;97
r&b;26;Male;Less than a high school degree;Germany;98
pop;26;Male;Less than a high school degree;Germany;98
rap;26;Male;Less than a high school degree;Germany;98
rock;26;Female;High school degree or equivalent;Germany;99
soul;26;Female;High school degree or equivalent;Germany;99
jazz;26;Female;High school degree or equivalent;Germany;99
indie;45;Female;Bachelor's degree;USA;100
classical;45;Female;Bachelor's degree;USA;100
pop;45;Female;Bachelor's degree;USA;100
carrot;23;Female;Master's degree;England;101
mushroom;23;Female;Master's degree;England;101
pepper;23;Female;Master's degree;England;101
techno;26;Female;Bachelor's degree;Germany;102
rock;26;Female;Bachelor's degree;Germany;102
house;26;Female;Bachelor's degree;Germany;102
jazz;70;Female;Master's degree;Germany;103
classic;70;Female;Master's degree;Germany;103
heavymetal;70;Female;Master's degree;Germany;103
hiphop;33;Female;Master's degree;Iran;104
rock;33;Female;Master's degree;Iran;104
pop;33;Female;Master's degree;Iran;104
pop;59;Male;Doctorate (e.g. PhD);Germany;105
metal;59;Male;Doctorate (e.g. PhD);Germany;105
