books;p_age;p_gender;p_education;p_country;p_id
howtoavoidaclimatechange;16;Male;Less than a high school degree;Germany;66
apromisedland;16;Male;Less than a high school degree;Germany;66
richdadpoordad;16;Male;Less than a high school degree;Germany;66
daskapital;21;Male;High school degree or equivalent;Germany;67
harrypotter;21;Male;High school degree or equivalent;Germany;67
blackout;0;Prefer not to say;NaN;NaN;68
theswarm;0;Prefer not to say;NaN;NaN;68
thebible;0;Prefer not to say;NaN;NaN;68
lesmisérables;24;Female;Master's degree;France;69
devenir;24;Female;Master's degree;France;69
songed’unenuitd’été;24;Female;Master's degree;France;69
gonewiththewind;26;Female;Master's degree;France;70
lordoftherings;26;Female;Master's degree;France;70
pillarsoftheearth;26;Female;Master's degree;France;70
bibel;34;Female;Master's degree;Germany;71
koran;34;Female;Master's degree;Germany;71
harrypitter;34;Female;Master's degree;Germany;71
nan;54;Male;Less than a high school degree;Germany;72
exponential;23;Male;Bachelor's degree;Germany;73
prisonersofgeography;23;Male;Bachelor's degree;Germany;73
endersgame;23;Male;Bachelor's degree;Germany;73
aurora;27;Male;Master's degree;Germany;74
snowcrash;25;Male;Bachelor's degree;Germany;75
themidnightlibrary;25;Male;Bachelor's degree;Germany;75
percyjackson;25;Male;Bachelor's degree;Germany;75
bible;27;Female;Master's degree;Germany;76
catcherintherye;27;Female;Master's degree;Germany;76
lordoftheflies;27;Female;Master's degree;Germany;76
shinig;51;Male;High school degree or equivalent;Germany;77
thestand;51;Male;High school degree or equivalent;Germany;77
abriefhistoryoftime;51;Male;High school degree or equivalent;Germany;77
friedhofderkuscheltiere;26;Male;High school degree or equivalent;Germany;78
fluggast7a;26;Male;High school degree or equivalent;Germany;78
es;26;Male;High school degree or equivalent;Germany;78
harrypotter;27;Male;Bachelor's degree;Germany;79
lordoftherings;27;Male;Bachelor's degree;Germany;79
thebible;27;Male;Bachelor's degree;Germany;79
harrypotter;25;Male;Master's degree;Germany;80
lordoftherings;25;Male;Master's degree;Germany;80
kafka;25;Male;Master's degree;Germany;80
homodeus;25;Male;Bachelor's degree;Germany;81
theintelligentinvestor;25;Male;Bachelor's degree;Germany;81
darkmatter;25;Male;Bachelor's degree;Germany;81
dasparfüm;21;Male;High school degree or equivalent;Germany;82
faust1;21;Male;High school degree or equivalent;Germany;82
diephysiker;21;Male;High school degree or equivalent;Germany;82
harrypotter1;23;Female;Bachelor's degree;Germany;83
derherrderringe1;23;Female;Bachelor's degree;Germany;83
dune;23;Female;Bachelor's degree;Germany;83
thelordoftherings;28;Female;Master's degree;Germany;84
twilight;28;Female;Master's degree;Germany;84
bibel;28;Female;Master's degree;Germany;84
harrypotter;25;Female;Master's degree;Germany;85
harrypotter;25;Female;Bachelor's degree;Russia;86
mobydick;25;Female;Bachelor's degree;Russia;86
thecatcherintherye;25;Female;Bachelor's degree;Russia;86
passanger23;24;Female;High school degree or equivalent;Germany;87
thetherapy;24;Female;High school degree or equivalent;Germany;87
noah;24;Female;High school degree or equivalent;Germany;87
bibel;26;Male;Bachelor's degree;Germany;88
dieleidendesjungenwärter;26;Male;Bachelor's degree;Germany;88
faust;26;Male;Bachelor's degree;Germany;88
harrypotter;27;Female;Master's degree;Germany;89
herrderringe;27;Female;Master's degree;Germany;89
cafeontheedgeoftheworld;27;Female;Master's degree;Germany;89
holyquran;25;Male;Bachelor's degree;Germany;90
risiko;25;Male;Bachelor's degree;Germany;90
richdadpoordad;25;Male;Bachelor's degree;Germany;90
salemslot;25;Male;High school degree or equivalent;Germany;91
it;25;Male;High school degree or equivalent;Germany;91
dune;25;Male;High school degree or equivalent;Germany;91
atomichabits;28;Male;High school degree or equivalent;Germany;92
normalpeople;28;Male;High school degree or equivalent;Germany;92
principals;28;Male;High school degree or equivalent;Germany;92
harrypotter;47;Female;Bachelor's degree;England;93
chroniclesofnarnia;47;Female;Bachelor's degree;England;93
gonewiththewind;47;Female;Bachelor's degree;England;93
wolfsblut;38;Male;Bachelor's degree;Germany;94
yoganidra;38;Male;Bachelor's degree;Germany;94
jetzt!;38;Male;Bachelor's degree;Germany;94
taoandteh;40;Female;Bachelor's degree;China;95
thestoryofart;40;Female;Bachelor's degree;China;95
olivertwist;40;Female;Bachelor's degree;China;95
kiteruner;28;Female;High school degree or equivalent;Pakistan;96
fortyrulesoflove;28;Female;High school degree or equivalent;Pakistan;96
sapiens;28;Female;High school degree or equivalent;Pakistan;96
bible;48;Female;Master's degree;Germany;97
catcherintherhye;48;Female;Master's degree;Germany;97
glennkill;48;Female;Master's degree;Germany;97
playlist;26;Male;Less than a high school degree;Germany;98
hungergames;26;Male;Less than a high school degree;Germany;98
diebestimmung;26;Male;Less than a high school degree;Germany;98
werdienachtigallstört;26;Female;High school degree or equivalent;Germany;99
dasgeschenk;26;Female;High school degree or equivalent;Germany;99
harrypotterunddiekammerdesschreckens;26;Female;High school degree or equivalent;Germany;99
lordoftherings;45;Female;Bachelor's degree;USA;100
harrypotterandthesorcerersstone;45;Female;Bachelor's degree;USA;100
andbreakfastofchampions;45;Female;Bachelor's degree;USA;100
playdead;23;Female;Master's degree;England;101
catch;23;Female;Master's degree;England;101
thisisgoingtohurtabit;23;Female;Master's degree;England;101
harrypotter;26;Female;Bachelor's degree;Germany;102
acuriousincidentofadoginthenighttime;26;Female;Bachelor's degree;Germany;102
notesonanervousplanet;26;Female;Bachelor's degree;Germany;102
dertodinvenedig;70;Female;Master's degree;Germany;103
einekurzegeschichtederzeit;70;Female;Master's degree;Germany;103
dasparfum;70;Female;Master's degree;Germany;103
milkman;33;Female;Master's degree;Iran;104
sarah;33;Female;Master's degree;Iran;104
themagicofthinkingbig;33;Female;Master's degree;Iran;104
catcherintherye;59;Male;Doctorate (e.g. PhD);Germany;105
tomsawyer;59;Male;Doctorate (e.g. PhD);Germany;105
thebible;59;Male;Doctorate (e.g. PhD);Germany;105
absalomabsalom;47;Female;Doctorate (e.g. PhD);Germany;106
dieunendichegschichte;47;Female;Doctorate (e.g. PhD);Germany;106
buddenbrooks;47;Female;Doctorate (e.g. PhD);Germany;106
harrypotterandthegobletoffire;50;Female;Doctorate (e.g. PhD);Germany;107
thekingofnarnia;50;Female;Doctorate (e.g. PhD);Germany;107
pippilongstocking;50;Female;Doctorate (e.g. PhD);Germany;107
atlasshrugged;45;Female;Doctorate (e.g. PhD);Germany;108
tokillamockingbird;45;Female;Doctorate (e.g. PhD);Germany;108
cienanosdesoledad;45;Female;Doctorate (e.g. PhD);Germany;108
