actors;p_age;p_gender;p_education;p_country;p_id
emmawatson;24;Male;Bachelor's degree;Germany;63
ryangosling;24;Male;Bachelor's degree;Germany;63
christianbale;24;Male;Bachelor's degree;Germany;63
karryfisher;17;Male;Less than a high school degree;Germany;64
ryanreynolds;25;Female;High school degree or equivalent;Germany;65
benedictcumberbatch;25;Female;High school degree or equivalent;Germany;65
ottowalkes;25;Female;High school degree or equivalent;Germany;65
galgadot;16;Male;Less than a high school degree;Germany;66
therock;16;Male;Less than a high school degree;Germany;66
ryanreynolds;16;Male;Less than a high school degree;Germany;66
ryanreynolds;21;Male;High school degree or equivalent;Germany;67
elyasmbarek;21;Male;High school degree or equivalent;Germany;67
scarlettjohanssen;21;Male;High school degree or equivalent;Germany;67
jonnydepp;0;Prefer not to say;NaN;NaN;68
angelinajolie;0;Prefer not to say;NaN;NaN;68
bradpitt;0;Prefer not to say;NaN;NaN;68
bradpitt;24;Female;Master's degree;France;69
bradleycooper;24;Female;Master's degree;France;69
seanconnery;24;Female;Master's degree;France;69
georgeclooney;26;Female;Master's degree;France;70
keiraknightley;26;Female;Master's degree;France;70
tomholland;26;Female;Master's degree;France;70
keanureeves;34;Female;Master's degree;Germany;71
heathledger;34;Female;Master's degree;Germany;71
seanconnery;34;Female;Master's degree;Germany;71
pitt;54;Male;Less than a high school degree;Germany;72
clooney;54;Male;Less than a high school degree;Germany;72
brucewillis;54;Male;Less than a high school degree;Germany;72
jenniferlawrence;23;Male;Bachelor's degree;Germany;73
tomellis;23;Male;Bachelor's degree;Germany;73
bradpitt;27;Male;Master's degree;Germany;74
leonardodicaprio;27;Male;Master's degree;Germany;74
angelinajolie;27;Male;Master's degree;Germany;74
georgeclooney;25;Male;Bachelor's degree;Germany;75
angelinajolie;25;Male;Bachelor's degree;Germany;75
bradpitt;25;Male;Bachelor's degree;Germany;75
zendaya;27;Female;Master's degree;Germany;76
emmawatson;27;Female;Master's degree;Germany;76
jenniferlawrence;27;Female;Master's degree;Germany;76
robertdeniro;51;Male;High school degree or equivalent;Germany;77
humphreybogart;51;Male;High school degree or equivalent;Germany;77
jacknicholson;51;Male;High school degree or equivalent;Germany;77
schweiger;26;Male;High school degree or equivalent;Germany;78
diesel;26;Male;High school degree or equivalent;Germany;78
walker;26;Male;High school degree or equivalent;Germany;78
bradpitt;27;Male;Bachelor's degree;Germany;79
angelinajolie;27;Male;Bachelor's degree;Germany;79
jenniferaniston;27;Male;Bachelor's degree;Germany;79
leonardodicaprio;25;Male;Master's degree;Germany;80
jenniferlawrence;25;Male;Master's degree;Germany;80
leonardodicaprio;25;Male;Bachelor's degree;Germany;81
tomhanks;25;Male;Bachelor's degree;Germany;81
emmawatson;25;Male;Bachelor's degree;Germany;81
therock;21;Male;High school degree or equivalent;Germany;82
adamsandler;21;Male;High school degree or equivalent;Germany;82
kevinhart;21;Male;High school degree or equivalent;Germany;82
jenniferlawrence;23;Female;Bachelor's degree;Germany;83
bradpit;23;Female;Bachelor's degree;Germany;83
sandrabullock;23;Female;Bachelor's degree;Germany;83
kristenstewart;28;Female;Master's degree;Germany;84
tomholland;28;Female;Master's degree;Germany;84
robertpattinson;28;Female;Master's degree;Germany;84
hughjackman;25;Female;Master's degree;Germany;85
emmastone;25;Female;Master's degree;Germany;85
ryanreynolds;25;Female;Master's degree;Germany;85
leonardodicaprio;25;Female;Bachelor's degree;Russia;86
tomhanks;25;Female;Bachelor's degree;Russia;86
matthewmcconaughey;25;Female;Bachelor's degree;Russia;86
elyasm‘barek;24;Female;High school degree or equivalent;Germany;87
danielradcliffe;24;Female;High school degree or equivalent;Germany;87
markwahlberg;24;Female;High school degree or equivalent;Germany;87
leonardodicaprio;26;Male;Bachelor's degree;Germany;88
willsmith;26;Male;Bachelor's degree;Germany;88
tillschweiger;26;Male;Bachelor's degree;Germany;88
leonardodicaprio;27;Female;Master's degree;Germany;89
orlandobloom;27;Female;Master's degree;Germany;89
channingtatum;27;Female;Master's degree;Germany;89
eddiemurphy;25;Male;Bachelor's degree;Germany;90
leonardodicaprio;25;Male;Bachelor's degree;Germany;90
tomhardy;25;Male;Bachelor's degree;Germany;90
leonardodicaprio;25;Male;High school degree or equivalent;Germany;91
katewinslet;25;Male;High school degree or equivalent;Germany;91
jamiefoxx;25;Male;High school degree or equivalent;Germany;91
tomholland;28;Male;High school degree or equivalent;Germany;92
jonahhill;28;Male;High school degree or equivalent;Germany;92
milakunis;28;Male;High school degree or equivalent;Germany;92
robertdeniro;47;Female;Bachelor's degree;England;93
tomhanks;47;Female;Bachelor's degree;England;93
morgenfreeman;47;Female;Bachelor's degree;England;93
tomhanks;38;Male;Bachelor's degree;Germany;94
davidhasselhoff;38;Male;Bachelor's degree;Germany;94
dwaynejohnson;38;Male;Bachelor's degree;Germany;94
tomcruise;40;Female;Bachelor's degree;China;95
angelinajolie;40;Female;Bachelor's degree;China;95
julieandrews;40;Female;Bachelor's degree;China;95
leonardodicaprio;28;Female;High school degree or equivalent;Pakistan;96
willsmith;28;Female;High school degree or equivalent;Pakistan;96
robertdeniro;28;Female;High school degree or equivalent;Pakistan;96
tomhanks;48;Female;Master's degree;Germany;97
robinwilliams;48;Female;Master's degree;Germany;97
