music_genres;p_age;p_gender;p_education;p_country;p_id;uri
classic;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Classical_music
rock;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Rock_music
pop;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Pop_music
hard rock;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Hard_rock
swing;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Swing_music
country music;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Country_music
rocknroll;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Rock_and_roll
jazz;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Jazz
rap;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Hip_hop_music
rock;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Rock_music
rap;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Hip_hop_music
pop;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Pop_music
rap;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Hip_hop_music
house;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/House_music
rock;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Rock_music
house;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/House_music
jazz;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Jazz
rnb;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Rhythm_and_blues
jazz;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Jazz
blues;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Blues
heavy metal;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Heavy_metal_music
country;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Country_music
rock;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Rock_music
heavy metal;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Heavy_metal_music
indie;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Indie_rock
house;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/House_music
psychedelic rock;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Psychedelic_rock
rock;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Rock_music
pop;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Pop_music
elektro;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Electro_(music)
techno;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Techno
rap;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Hip_hop_music
hiphop;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Hip_hop_music
hip hop;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Hip_hop_music
classic;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Classical_music
pop;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Pop_music
