nineties_movies;p_age;p_gender;p_education;p_country;p_id;uri
matrix;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/The_Matrix
terminator;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Terminator_2:_Judgment_Day
pretty women;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Pretty_Woman
schindlers liste;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Schindler's_List
titanic;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Titanic_(1997_film)
forest gump;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Forrest_Gump
pretty women;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Pretty_Woman
shawshank redemption;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/The_Shawshank_Redemption
schindlers list;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Schindler's_List
star wars;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
forrest gump;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Forrest_Gump
pulp fiction;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Pulp_Fiction
schindlers list;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Schindler's_List
pretty woman;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Pretty_Woman
jurassic park;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Jurassic_Park_(film)
the silence of the lambs;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/The_Silence_of_the_Lambs
pride and prejudice;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Pride_and_Prejudice
pulp friction;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Pulp_Fiction
back to the future;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Back_to_the_Future
nan;25;Male;Bachelor's degree;Germany;53;NaN
clueless;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Clueless
mulan;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Mulan_(1998_film)
hook;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Hook_(film)
nan;20;Female;High school degree or equivalent;Germany;55;NaN
star wars;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
pulp fiction;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Pulp_Fiction
goodwill hunting;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Good_Will_Hunting
con air;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Con_Air
stirb langsam;29;Prefer not to say;Master's degree;Germany;57;NaN
speed;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Speed_(1994_film)
matrix;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/The_Matrix
silence of the lambs;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/The_Silence_of_the_Lambs
dirty dancing;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Dirty_Dancing
terminator;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Terminator_2:_Judgment_Day
star wars;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
schindler‘s list;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Schindler's_List
golden eye;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/GoldenEye
tomorrow never dies;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Tomorrow_Never_Dies
green mile;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/The_Green_Mile_(film)
se7en;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Seven_(1995_film)
dances with wolves;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Dances_with_Wolves
titanic;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Titanic_(1997_film)
lion king;30;Female;Master's degree;France;62;http://dbpedia.org/resource/The_Lion_King
star wars episode 1;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
pulp fiction;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Pulp_Fiction
twin peaks;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Twin_Peaks:_Fire_Walk_with_Me
memento;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Memento
nan;17;Male;Less than a high school degree;Germany;64;NaN
rambo;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Rambo_(franchise)
saw;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/List_of_Saw_characters
texas chain saw massager;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/The_Texas_Chain_Saw_Massacre
bad boys;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Bad_Boys_(1995_film)
nan;21;Male;High school degree or equivalent;Germany;67;NaN
et;0;Prefer not to say;NaN;NaN;68;NaN
pretty woman;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Pretty_Woman
bodyguard;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/The_Bodyguard_(1992_film)
pretty woman;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Pretty_Woman
nothing hill;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Notting_Hill
les visiteurs;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Les_Visiteurs
fight club;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Fight_Club
pulp fiction;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Pulp_Fiction
the big lebowski;26;Female;Master's degree;France;70;http://dbpedia.org/resource/The_Big_Lebowski
nan;34;Female;Master's degree;Germany;71;NaN
titanic;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Titanic_(1997_film)
die hard;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Die_Hard_with_a_Vengeance
titanic;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Titanic_(1997_film)
pulp fiction;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Pulp_Fiction
