mountains;p_age;p_gender;p_education;p_country;p_id;uri
zugspitze;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Zugspitze
mont blanc;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Mont_Blanc
brocken;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Brocken
k2;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/K2
mount everest;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Mount_Everest
zugspitze;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Zugspitze
mount everest;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Mount_Everest
zugspitze;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Zugspitze
chimborazo;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Chimborazo
mount everest;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Mount_Everest
zugspitze;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Zugspitze
mount kilimanjaro;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Mount_Kilimanjaro
mounteverest;24;Male;Bachelor's degree;germany;39;NaN
k2;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/K2
zugspitze;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Zugspitze
mount everest;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Mount_Everest
feldberg (black forest);31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Feldberg_(Black_Forest)
k2;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/K2
mount everest;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Mount_Everest
himalayas;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Himalayas
mont blanc;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Mont_Blanc
mount everest;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Mount_Everest
zugspitze;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Zugspitze
