cities;p_age;p_gender;p_education;p_country;p_id;uri
frankfurt;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Frankfurt
belfast;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Belfast
rome;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Rome
capetown;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Cape_Town
potsdam;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Potsdam
money;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Geldern
oranienburg;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Oranienburg
ilmenau;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Ilmenau
london;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/City_of_London
paris;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Paris
rome;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Rome
rome;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Rome
paris;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Paris
london;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/City_of_London
berlin;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Berlin
heidelberg;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Heidelberg
new york;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/New_York_City
mannheim;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Mannheim
munich;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Munich
berlin;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Berlin
new york;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/New_York_City
london;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/City_of_London
barcelona;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Barcelona
potsdam;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Potsdam
munich;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Munich
leipzig;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Leipzig
mannheim;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Mannheim
schwetzingen;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Schwetzingen
heidelberg;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Heidelberg
hartford;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Hartford,_Connecticut
enghienlesbains;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Enghien-les-Bains
montreal;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Montreal
zurich;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Zürich
prague;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Prague
madrid;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Madrid
nice;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Nice
lille;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Lille
versailles;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Versailles,_Yvelines
kyiv;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Kyiv
moscow;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Moscow
minsk;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Minsk
paris;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Paris
berlin;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Berlin
milan;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Milan
mannheim;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Mannheim
heidelberg;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Heidelberg
zurich;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Zürich
berlin;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Berlin
heidelberg;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Heidelberg
paris;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Paris
heidelberg;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Heidelberg
prague;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Prague
lisbon;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Lisbon
paris;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Paris
london;30;Female;Master's degree;france;62;http://dbpedia.org/resource/City_of_London
new york;30;Female;Master's degree;france;62;http://dbpedia.org/resource/New_York_City
frankfurt;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Frankfurt
milano;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Milan
new york;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/New_York_City
berlin;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Berlin
frankfurt;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Frankfurt
gothamcity;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Gotham_City
waterloo;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Waterloo,_Belgium
geneva;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Geneva
copenhagen;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Copenhagen
new york;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/New_York_City
washington, d.c.;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Washington,_D.C.
los angeles;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Los_Angeles
cologne;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Cologne
paris;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Paris
barcelona;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Barcelona
heidelberg;0;Prefer not to say;;;68;http://dbpedia.org/resource/Heidelberg
mannheim;0;Prefer not to say;;;68;http://dbpedia.org/resource/Mannheim
frankfurt;0;Prefer not to say;;;68;http://dbpedia.org/resource/Frankfurt
paris;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Paris
singapore;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Singapore
london;24;Female;Master's degree;france;69;http://dbpedia.org/resource/City_of_London
paris;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Paris
london;26;Female;Master's degree;france;70;http://dbpedia.org/resource/City_of_London
berlin;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Berlin
berlin;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Berlin
london;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/City_of_London
paris;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Paris
berlin;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Berlin
munich;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Munich
paris;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Paris
