fast_food;p_age;p_gender;p_education;p_country;p_id;uri
sushi;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Sushi
french fries;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/French_fries
hamburger;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Hamburger
currywurst;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Currywurst
kebab;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Kebab
hamburger;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Hamburger
pizza;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Pizza
french fries;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/French_fries
hamburger;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Hamburger
kebab;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Kebab
pizza;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Pizza
pizza;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Pizza
hamburger;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Hamburger
french fries;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/French_fries
hamburger;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Hamburger
pizza;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Pizza
french fries;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/French_fries
hamburger;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Hamburger
pizza;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Pizza
kebab;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Kebab
sandwich;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Sandwich
hamburger;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Hamburger
kebab;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Kebab
pizza;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Pizza
french fries;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/French_fries
hamburger;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Hamburger
hamburger;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Hamburger
pizza;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Pizza
kebab;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Kebab
hamburger;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Hamburger
hot dog;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Hot_dog
french fries;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/French_fries
hamburger;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Hamburger
french fries;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/French_fries
milkshake;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Milkshake
hamburger;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Hamburger
french fries;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/French_fries
samosa;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Samosa
pizza;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Pizza
pasta;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Pasta
sushi;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Sushi
pizza;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Pizza
hamburger;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Hamburger
taco;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Taco
french fries;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/French_fries
