asian_countries;p_age;p_gender;p_education;p_country;p_id;uri
china;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/China
japan;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Japan
peking;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Peking_University
shanghai;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Shanghai
mumbai;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Mumbai
india;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/India
china;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/China
singapore;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Singapore
japan;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Japan
south korea;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/South_Korea
thailand;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Thailand
china;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/China
japan;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Japan
india;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/India
china;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/China
south korea;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/South_Korea
japan;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Japan
china;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/China
thailand;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Thailand
vietnam;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Vietnam
indonesia;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Indonesia
israel;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Israel
japan;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Japan
vietnam;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Vietnam
thailand;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Thailand
japan;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Japan
china;26;Female;Master's degree;france;56;http://dbpedia.org/resource/China
japan;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Japan
singapore;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Singapore
china;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/China
north korea;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/North_Korea
south korea;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/South_Korea
china;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/China
vietnam;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Vietnam
japan;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Japan
japan;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Japan
korea;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/South_Korea
china;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/China
china;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/China
japan;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Japan
indonesia;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Indonesia
thailand;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Thailand
india;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/India
china;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/China
japan;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Japan
singapore;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Singapore
china;30;Female;Master's degree;france;62;http://dbpedia.org/resource/China
china;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/China
taiwan;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Taiwan
india;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/India
china;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/China
japan;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Japan
taiwan;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Taiwan
china;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/China
taiwan;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Taiwan
south korea;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/South_Korea
china;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/China
kazakhstan;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Kazakhstan
mongolia;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Mongolia
