books;p_age;p_gender;p_education;p_country;p_id;uri
factfulness;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Factfulness:_Ten_Reasons_We're_Wrong_About_the_World_–_and_Why_Things_Are_Better_Than_You_Think
the autobiography of malcom x;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/The_Autobiography_of_Malcolm_X
freakonomics;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Freakonomics
nan;22;Male;Bachelor's degree;Germany;26;NaN
tom clancy´s rainbow six;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Tom_Clancy's_Rainbow_Six_3:_Raven_Shield
harry potter;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Harry_Potter
it;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/It_(novel)
winning ugly;27;Male;Master's degree;Germany;28;NaN
how democracies die;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/How_Democracies_Die
rafa;27;Male;Master's degree;Germany;28;NaN
my side of the mountain;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/My_Side_of_the_Mountain
harry potter;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Harry_Potter
haben und sein;28;Male;Master's degree;Germany;30;NaN
harry potter;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Harry_Potter
herr der ringe;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/The_Lord_of_the_Rings
metamorphosis;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/The_Metamorphosis
anarchy’s brief summer;38;Female;Doctorate (e.g. PhD);Greece;31;NaN
the dispossessed;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/The_Dispossessed
harry potter;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Harry_Potter
it;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/It_(novel)
sidartha;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Siddhartha
the art of war;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/The_Art_of_War
the illustrated man;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/The_Illustrated_Man
the old man and the sea;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/The_Old_Man_and_the_Sea
harry potter;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Harry_Potter
die geheime benediktgesellschaft;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/The_Mysterious_Benedict_Society_(series)
greg’s tagebuch;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Diary_of_a_Wimpy_Kid
flowers for algernon;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Flowers_for_Algernon
1984;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Nineteen_Eighty-Four
brave new world;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Brave_New_World
1913;24;Female;Master's degree;Germany;36;NaN
dienstags bei murrie;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Tuesdays_with_Morrie
1984;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Nineteen_Eighty-Four
harry potter;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Harry_Potter
