lakes;p_age;p_gender;p_education;p_country;p_id;uri
lake maggiore;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Lake_Maggiore
lake baikal;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Lake_Baikal
lake tahoe;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Lake_Tahoe
chiemsee;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Chiemsee
eibsee;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Eibsee
bodensee;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Lake_Constance
lake michigan;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Michigan
lake constance;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Lake_Constance
aral sea;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Aral_Sea
lake constance;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Lake_Constance
eibsee;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Eibsee
alpsee;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Großer_Alpsee
Lake erie;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Lake_Erie
bodensee;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Lake_Constance
Lake Titicaca;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Lake_Titicaca
griebnitzsee;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Griebnitzsee
curvilinear;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Curvilinear_coordinates
schlachtensee;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Schlachtensee
lake como;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Lake_Como
lake garda;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Lake_Garda
lake starnberg;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Lake_Starnberg
loch ness;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Loch_Ness
lake garda;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Lake_Garda
lake michigan;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Michigan
lake constance;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Lake_Constance
lake garda;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Lake_Garda
westlake;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Westlake,_Ohio
peyto lake;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Peyto_Lake
abersee;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Abersee
lake king william;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Lake_King_William
lake constance;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Lake_Constance
lake erie;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Lake_Erie
lake titikaka;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Lake_Titicaca
lake constance;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Lake_Constance
loch ness;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Loch_Ness
lake garda;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Lake_Garda
lake michigan;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Michigan
bodensee;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Lake_Constance
lake titikaka;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Lake_Titicaca
lake erie;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Lake_Erie
lake michigan;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Michigan
lake huron;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Lake_Huron
loch ness;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Loch_Ness
windemere;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Windemere
lake constance;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Lake_Constance
lake louise;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Lake_Louise,_Alberta
lake geneva;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Lake_Geneva
lake constance;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Lake_Constance
lake baikal;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Lake_Baikal
lake superior;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Lake_Superior
lake victoria;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Lake_Victoria
lake ontario;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Lake_Ontario
lake victoria;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Lake_Victoria
bodensee;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Lake_Constance
lake erie;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Lake_Erie
bodensee;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Lake_Constance
aral sea;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Aral_Sea
bodensee;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Lake_Constance
curvilinear;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Curvilinear_coordinates
wannsee;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Wannsee
tegernsee;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Tegernsee
lake starnberg;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Lake_Starnberg
schliersee;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Schliersee
