vegetables;p_age;p_gender;p_education;p_country;p_id;uri
cucumber;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Cucumber
apple;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Apple
tomato;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Tomato
carrot;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Carrot
potato;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Potato
cauliflower;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Cauliflower
apple;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Apple
banana;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Banana
mango;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Mango
tomato;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Tomato
zucchini;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Zucchini
cucumber;0;Prefer not to say;;;68;http://dbpedia.org/resource/Cucumber
carrot;0;Prefer not to say;;;68;http://dbpedia.org/resource/Carrot
onion;0;Prefer not to say;;;68;http://dbpedia.org/resource/Onion
cauliflower;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Cauliflower
carrot;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Carrot
beetroot;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Beetroot
zucchini;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Zucchini
cauliflower;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Cauliflower
carrot;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Carrot
broccoli;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Broccoli
beetroot;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Beetroot
leek;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Leek
onion;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Onion
tomato;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Tomato
cucumber;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Cucumber
tomato;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Tomato
carrot;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Carrot
mushroom;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Mushroom
tomato;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Tomato
potato;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Potato
carrott;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Carrot
