us_presidents;p_age;p_gender;p_education;p_country;p_id;uri
donald trump;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Donald_Trump
obama;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Barack_Obama
rooselvelt;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Franklin_D._Roosevelt
klinton;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Bill_Clinton
bush;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/George_W._Bush
obama;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Barack_Obama
george w. bush;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/George_W._Bush
joe biden;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Joe_Biden
barack obama;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Barack_Obama
abraham lincoln;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Abraham_Lincoln
george washington;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/George_Washington
donald trump;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Donald_Trump
nan;0;Prefer not to say;NaN;NaN;68;nan
obama;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Barack_Obama
kennedy;24;Female;Master's degree;France;69;http://dbpedia.org/resource/John_F._Kennedy
biden;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Joe_Biden
biden;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Joe_Biden
obama;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Barack_Obama
trump;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Donald_Trump
obama;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Barack_Obama
clinton;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Bill_Clinton
bush;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/George_W._Bush
obama;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Barack_Obama
clinton;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Bill_Clinton
trump;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Donald_Trump
obama;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Barack_Obama
