us_companies;p_age;p_gender;p_education;p_country;p_id;uri
facebook;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Facebook
walmart;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Walmart
walmart;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Walmart
home depot;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/The_Home_Depot
ups;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/United_Parcel_Service
microsoft;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Microsoft
apple;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Apple_Inc.
tesla;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Tesla,_Inc.
ibm;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/IBM
wells fargo;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Wells_Fargo
blackrock;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Blackrock_College
amazon;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Amazon_(company)
tesla;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Tesla,_Inc.
apple;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Apple_Inc.
general electrics;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/General_Electric
exxon mobile;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/ExxonMobil
jp morgan;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/JPMorgan_Chase
nike;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Nike,_Inc.
gm;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/General_Motors
ford;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Ford_Motor_Company
apple;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Apple_Inc.
microsoft;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Microsoft
google;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Google
ibm;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/IBM
general electric;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/General_Electric
general motors;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/General_Motors
procter & gamble;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Procter_&_Gamble
blackrock;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Blackrock_College
microsoft;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Microsoft
amazon;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Amazon_(company)
walmart;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Walmart
coca cola company;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/The_Coca-Cola_Company
shell;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Royal_Dutch_Shell
mcdonalds;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/McDonald's
