dax_companies;p_age;p_gender;p_education;p_country;p_id;uri
daimler;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Daimler_AG
eon;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/E.ON
vw;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Volkswagen
heidelberg clement;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/HeidelbergCement
abbvie;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/AbbVie_Inc.
bmw;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/BMW
deutsche post;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Deutsche_Post
delivery hero;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Delivery_Hero
merck;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Merck_&_Co.
sap;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/SAP_SE
basf;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/BASF
rheinmetall;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Rheinmetall
sap;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/SAP_SE
linde;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Linde_plc
vw;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Volkswagen
basf;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/BASF
daimler;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Daimler_AG
deutsche wohnen;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Deutsche_Wohnen
vw;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Volkswagen
bmw;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/BMW
lufthansa;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Lufthansa
daimler;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Daimler_AG
vw;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Volkswagen
basf;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/BASF
adidas ag;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Adidas
linde plc;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Linde_plc
siemens;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Siemens
adidas;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Adidas
sap;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/SAP_SE
lufthansa;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Lufthansa
adidas;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Adidas
pfizer;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Pfizer
henkel;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Henkel
basf;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/BASF
db;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Deutsche_Bahn
bosch;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Robert_Bosch_GmbH
sap;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/SAP_SE
porsche;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Porsche
miele;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Miele
volkswagen;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Volkswagen
sap;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/SAP_SE
daimler;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Daimler_AG
fresenius;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Fresenius_(company)
sap;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/SAP_SE
allianz;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Allianz
vw;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Volkswagen
mercedes benz;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Daimler_AG
sap;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/SAP_SE
apple;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Apple_Inc.
samsung;27;Female;Master's degree;Germany;89;NaN
sap;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/SAP_SE
benz;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Mercedes-Benz
sap;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/SAP_SE
adidas;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Adidas
sap;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/SAP_SE
basf;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/BASF
porsche;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Porsche
mercedes;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Daimler_AG
sap;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/SAP_SE
vw;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Volkswagen
adidas;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Adidas
sap;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/SAP_SE
deutsche telekom;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Deutsche_Telekom
linde;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Linde_plc
bayer;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Bayer
heidelberg cement;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/HeidelbergCement
sap;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/SAP_SE
vw;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Volkswagen
basf;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/BASF
basf;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/BASF
sap;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/SAP_SE
covestro;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Covestro
sap;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/SAP_SE
basf;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/BASF
daimler;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Daimler_AG
adidas;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Adidas
allianz;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Allianz
bmw;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/BMW
meta;26;Female;High school degree or equivalent;Germany;99;NaN
teslar;26;Female;High school degree or equivalent;Germany;99;NaN
apple;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Apple_Inc.
adidas;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Adidas
bayer;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Bayer
bmw;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/BMW
nan;23;Female;Master's degree;England;101;NaN
nan;26;Female;Bachelor's degree;Germany;102;NaN
telekom;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Deutsche_Telekom
basf;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/BASF
daimler;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Daimler_AG
airbus;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Airbus
adidas;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Adidas
allianz;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Allianz
siemens;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Siemens
deutsche bank;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Deutsche_Bank
siemens;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Siemens
bosch;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Robert_Bosch_GmbH
deutsche bank;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Deutsche_Bank
siemens;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Siemens
volkswagen;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Volkswagen
bmw;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/BMW
mercedes;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Daimler_AG
bosch;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Robert_Bosch_GmbH
miele;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Miele
