uri;european_capital_cities;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Paris;paris;25;Female;Bachelor's degree;Germany;41
http://dbpedia.org/resource/Milan;milan;28;Female;Bachelor's degree;Germany;42
http://dbpedia.org/resource/London;london;28;Female;Bachelor's degree;Germany;42
http://dbpedia.org/resource/Madrid;madrid;28;Female;Bachelor's degree;Germany;42
http://dbpedia.org/resource/Berlin;berlin;37;Female;Master's degree;Germany;43
http://dbpedia.org/resource/Paris;paris;37;Female;Master's degree;Germany;43
http://dbpedia.org/resource/London;london;37;Female;Master's degree;Germany;43
http://dbpedia.org/resource/London;london;50;Female;High school degree or equivalent;Germany;44
http://dbpedia.org/resource/Paris;paris;50;Female;High school degree or equivalent;Germany;44
http://dbpedia.org/resource/Berlin;berlin;50;Female;High school degree or equivalent;Germany;44
;belgium;28;Female;High school degree or equivalent;Germany;45
http://dbpedia.org/resource/Paris;paris;28;Female;High school degree or equivalent;Germany;45
http://dbpedia.org/resource/Berlin;berlin;28;Female;High school degree or equivalent;Germany;45
http://dbpedia.org/resource/Berlin;berlin;31;Male;Bachelor's degree;Germany;46
http://dbpedia.org/resource/Paris;paris;31;Male;Bachelor's degree;Germany;46
http://dbpedia.org/resource/Warsaw;warsaw;31;Male;Bachelor's degree;Germany;46
http://dbpedia.org/resource/Paris;paris;21;Female;High school degree or equivalent;Germany;47
http://dbpedia.org/resource/Rome;rome;21;Female;High school degree or equivalent;Germany;47
http://dbpedia.org/resource/Berlin;berlin;21;Female;High school degree or equivalent;Germany;47
http://dbpedia.org/resource/Rome;rome;23;Female;Bachelor's degree;Germany;48
http://dbpedia.org/resource/Paris;paris;23;Female;Bachelor's degree;Germany;48
http://dbpedia.org/resource/Berlin;berlin;23;Female;Bachelor's degree;Germany;48
http://dbpedia.org/resource/Berlin;berlin;36;Male;Bachelor's degree;India;49
http://dbpedia.org/resource/Paris;paris;36;Male;Bachelor's degree;India;49
http://dbpedia.org/resource/Madrid;madrid;36;Male;Bachelor's degree;India;49
http://dbpedia.org/resource/Berlin;berlin;28;Female;Master's degree;Romania;50
http://dbpedia.org/resource/Paris;paris;28;Female;Master's degree;Romania;50
http://dbpedia.org/resource/Amsterdam;amsterdam;28;Female;Master's degree;Romania;50
http://dbpedia.org/resource/Berlin;berlin;19;Female;High school degree or equivalent;Germany;51
http://dbpedia.org/resource/Paris;paris;19;Female;High school degree or equivalent;Germany;51
http://dbpedia.org/resource/London;london;19;Female;High school degree or equivalent;Germany;51
http://dbpedia.org/resource/Berlin;berlin;19;Female;High school degree or equivalent;Germany;52
http://dbpedia.org/resource/Warsaw;warsaw;19;Female;High school degree or equivalent;Germany;52
http://dbpedia.org/resource/Kyiv;kiev;19;Female;High school degree or equivalent;Germany;52
http://dbpedia.org/resource/Berlin;berlin;25;Male;Bachelor's degree;Germany;53
http://dbpedia.org/resource/Paris;paris;25;Male;Bachelor's degree;Germany;53
http://dbpedia.org/resource/Vienna;vienna;25;Male;Bachelor's degree;Germany;53
http://dbpedia.org/resource/Paris;paris;34;Female;Master's degree;France;54
http://dbpedia.org/resource/Rome;rome;34;Female;Master's degree;France;54
http://dbpedia.org/resource/London;london;34;Female;Master's degree;France;54
