uri;european_countries;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/France;france;31;Male;Bachelor's degree;germany;40
http://dbpedia.org/resource/Spain;spain;31;Male;Bachelor's degree;germany;40
http://dbpedia.org/resource/France;france;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/Germany;germany;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/Spain;spain;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/Italy;italy;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/Greece;greece;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/France;france;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/Germany;germany;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/Ukraine;ukraine;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/United_Kingdom;united kingdom;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/Italy;italy;50;Female;High school degree or equivalent;germany;44
http://dbpedia.org/resource/Germany;germany;50;Female;High school degree or equivalent;germany;44
http://dbpedia.org/resource/France;france;50;Female;High school degree or equivalent;germany;44
http://dbpedia.org/resource/Sweden;sweden;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/Spain;spain;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/France;france;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/Germany;germany;31;Male;Bachelor's degree;germany;46
http://dbpedia.org/resource/France;france;31;Male;Bachelor's degree;germany;46
http://dbpedia.org/resource/Netherlands;netherlands;31;Male;Bachelor's degree;germany;46
http://dbpedia.org/resource/Germany;germany;21;Female;High school degree or equivalent;germany;47
http://dbpedia.org/resource/Italy;italy;21;Female;High school degree or equivalent;germany;47
http://dbpedia.org/resource/Sweden;sweden;21;Female;High school degree or equivalent;germany;47
http://dbpedia.org/resource/Germany;germany;23;Female;Bachelor's degree;germany;48
http://dbpedia.org/resource/Spain;spain;23;Female;Bachelor's degree;germany;48
http://dbpedia.org/resource/Italy;italy;23;Female;Bachelor's degree;germany;48
http://dbpedia.org/resource/Germany;germany;36;Male;Bachelor's degree;india;49
http://dbpedia.org/resource/Switzerland;switzerland;36;Male;Bachelor's degree;india;49
http://dbpedia.org/resource/Austria;austria;36;Male;Bachelor's degree;india;49
http://dbpedia.org/resource/Germany;germany;28;Female;Master's degree;romania;50
http://dbpedia.org/resource/France;france;28;Female;Master's degree;romania;50
http://dbpedia.org/resource/Italy;italy;28;Female;Master's degree;romania;50
http://dbpedia.org/resource/France;france;19;Female;High school degree or equivalent;germany;51
http://dbpedia.org/resource/Spain;spain;19;Female;High school degree or equivalent;germany;51
http://dbpedia.org/resource/United_Kingdom;united kingdom;19;Female;High school degree or equivalent;germany;51
http://dbpedia.org/resource/Germany;germany;19;Female;High school degree or equivalent;germany;52
http://dbpedia.org/resource/Ukraine;ukraine;19;Female;High school degree or equivalent;germany;52
http://dbpedia.org/resource/Poland;poland;19;Female;High school degree or equivalent;germany;52
http://dbpedia.org/resource/Germany;germany;25;Male;Bachelor's degree;germany;53
http://dbpedia.org/resource/France;france;25;Male;Bachelor's degree;germany;53
http://dbpedia.org/resource/Poland;poland;25;Male;Bachelor's degree;germany;53
http://dbpedia.org/resource/France;france;34;Female;Master's degree;france;54
http://dbpedia.org/resource/Germany;germany;34;Female;Master's degree;france;54
http://dbpedia.org/resource/Romania;romania;34;Female;Master's degree;france;54
http://dbpedia.org/resource/San_Marino;croatia;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/Slovenia;slovenia;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/Denmark;denmark;20;Female;High school degree or equivalent;germany;55
http://dbpedia.org/resource/Italy;italy;26;Female;Master's degree;france;56
http://dbpedia.org/resource/France;france;26;Female;Master's degree;france;56
http://dbpedia.org/resource/Germany;germany;26;Female;Master's degree;france;56
http://dbpedia.org/resource/Republic_of_Ireland;republic of ireland;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/United_Kingdom;united kingdom;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/United_Kingdom;united kingdom;29;Prefer not to say;Master's degree;germany;57
http://dbpedia.org/resource/Germany;germany;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/France;france;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/Italy;italy;31;Male;Master's degree;germany;58
http://dbpedia.org/resource/Germany;germany;23;Male;High school degree or equivalent;germany;59
http://dbpedia.org/resource/Italy;italy;23;Male;High school degree or equivalent;germany;59
http://dbpedia.org/resource/Switzerland;switzerland;23;Male;High school degree or equivalent;germany;59
http://dbpedia.org/resource/Germany;germany;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/France;france;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/Italy;italy;21;Female;High school degree or equivalent;germany;60
http://dbpedia.org/resource/France;france;54;Male;High school degree or equivalent;germany;61
http://dbpedia.org/resource/Switzerland;switzerland;54;Male;High school degree or equivalent;germany;61
http://dbpedia.org/resource/Sweden;sweden;54;Male;High school degree or equivalent;germany;61
http://dbpedia.org/resource/France;france;30;Female;Master's degree;france;62
