"book","name"
"http://dbpedia.org/resource/Wikivoyage","Wikivoyage"
"http://dbpedia.org/resource/Yingzao_Fashi","Yingzao Fashi"
"http://dbpedia.org/resource/Yoga_Yajnavalkya","Yoga Yajnavalkya"
"http://dbpedia.org/resource/Đại_Việt_sử_ký_toàn_thư","Đại Việt sử ký toàn thư"
"http://dbpedia.org/resource/Genus_(comics)","Genus (comics)"
"http://dbpedia.org/resource/5_Star_Specials","5 Star Specials"
"http://dbpedia.org/resource/A_Change_of_Climate","A Change of Climate"
"http://dbpedia.org/resource/A_Drum_Is_a_Woman","A Drum Is a Woman"
"http://dbpedia.org/resource/A_Million_Miles_in_a_Thousand_Years","A Million Miles in a Thousand Years"
"http://dbpedia.org/resource/A_Passage_to_Infinity","A Passage to Infinity"
"http://dbpedia.org/resource/Adventures_with_Rebbe_Mendel","Adventures with Rebbe Mendel"
"http://dbpedia.org/resource/Aguinaldo's_Breakfast","Aguinaldo's Breakfast"
"http://dbpedia.org/resource/Al-Jamia","Al-Jamia"
"http://dbpedia.org/resource/An_Nam_chí_lược","An Nam chí lược"
"http://dbpedia.org/resource/An_Unbroken_Agony","An Unbroken Agony"
"http://dbpedia.org/resource/Apollo_23","Apollo 23"
"http://dbpedia.org/resource/Apple_ID","Apple ID"
"http://dbpedia.org/resource/Avadhuta_Gita","Avadhuta Gita"
"http://dbpedia.org/resource/Avadhutaka_Upanishad","Avadhutaka Upanishad"
"http://dbpedia.org/resource/Bacon_and_Hams","Bacon and Hams"
"http://dbpedia.org/resource/Blackout/All_Clear","Blackout/All Clear"
"http://dbpedia.org/resource/Blood_Brothers_(Lumley_novel)","Blood Brothers (Lumley novel)"
"http://dbpedia.org/resource/Brannan_Street","Brannan Street"
"http://dbpedia.org/resource/Bruneian_International_Certificate_of_Identity","Bruneian International Certificate of Identity"
"http://dbpedia.org/resource/Bug_Jack_Barron","Bug Jack Barron"
