"90film","name"
"http://dbpedia.org/resource/The_Lost_Language_of_Cranes_(film)","The Lost Language of Cranes (film)"
"http://dbpedia.org/resource/The_Lost_World_(1992_film)","The Lost World (1992 film)"
"http://dbpedia.org/resource/The_Paper_Brigade","The Paper Brigade"
"http://dbpedia.org/resource/The_Second_Civil_War","The Second Civil War"
"http://dbpedia.org/resource/The_Sentimental_Teaser","The Sentimental Teaser"
"http://dbpedia.org/resource/The_Story_of_PuPu","The Story of PuPu"
"http://dbpedia.org/resource/The_Treaty_(film)","The Treaty (film)"
"http://dbpedia.org/resource/The_Tribe_(1998_film)","The Tribe (1998 film)"
"http://dbpedia.org/resource/The_Wager_(1998_film)","The Wager (1998 film)"
"http://dbpedia.org/resource/Two_Bits","Two Bits"
"http://dbpedia.org/resource/Vijaypath","Vijaypath"
"http://dbpedia.org/resource/Vägen_ut","Vägen ut"
"http://dbpedia.org/resource/Watchers_3","Watchers 3"
"http://dbpedia.org/resource/Watchers_Reborn","Watchers Reborn"
"http://dbpedia.org/resource/Where_Sleeping_Dogs_Lie","Where Sleeping Dogs Lie"
"http://dbpedia.org/resource/Wife,_Mother,_Murderer","Wife, Mother, Murderer"
"http://dbpedia.org/resource/Wishmaster_2:_Evil_Never_Dies","Wishmaster 2: Evil Never Dies"
"http://dbpedia.org/resource/Wonderland_(1999_film)","Wonderland (1999 film)"
"http://dbpedia.org/resource/Xiao_Wu","Xiao Wu"
"http://dbpedia.org/resource/Xtro_3:_Watch_the_Skies","Xtro 3: Watch the Skies"
"http://dbpedia.org/resource/Yamaleela","Yamaleela"
"http://dbpedia.org/resource/Year_of_the_Gun_(film)","Year of the Gun (film)"
"http://dbpedia.org/resource/Zombie_Bloodbath","Zombie Bloodbath"
"http://dbpedia.org/resource/A._K._47_(1999_film)","A. K. 47 (1999 film)"
"http://dbpedia.org/resource/A_Little_Life-Opera","A Little Life-Opera"
"http://dbpedia.org/resource/A_Smile_Like_Yours","A Smile Like Yours"
"http://dbpedia.org/resource/A_Soldier's_Sweetheart","A Soldier's Sweetheart"
"http://dbpedia.org/resource/Aakasmika","Aakasmika"
"http://dbpedia.org/resource/Adhwaytham","Adhwaytham"
"http://dbpedia.org/resource/Agnes_Browne","Agnes Browne"
"http://dbpedia.org/resource/All_Tied_Up","All Tied Up"
"http://dbpedia.org/resource/Ammayane_Sathyam","Ammayane Sathyam"
"http://dbpedia.org/resource/Annigoni:_Portrait_of_an_Artist","Annigoni: Portrait of an Artist"
"http://dbpedia.org/resource/Aswang_(1994_film)","Aswang (1994 film)"
"http://dbpedia.org/resource/Basta't_Kasama_Kita_(film)","Basta't Kasama Kita (film)"
"http://dbpedia.org/resource/Bed_&_Breakfast_(1992_film)","Bed & Breakfast (1992 film)"
"http://dbpedia.org/resource/Bhai_(1997_film)","Bhai (1997 film)"
"http://dbpedia.org/resource/Bhairava_Dweepam","Bhairava Dweepam"
"http://dbpedia.org/resource/Brundavanam","Brundavanam"
"http://dbpedia.org/resource/Bugis_Street_(film)","Bugis Street (film)"
"http://dbpedia.org/resource/California_Casanova","California Casanova"
"http://dbpedia.org/resource/Car_54,_Where_Are_You%3F_(film)","Car 54, Where Are You? (film)"
"http://dbpedia.org/resource/Cholera_Street","Cholera Street"
"http://dbpedia.org/resource/Countess_Dora","Countess Dora"
"http://dbpedia.org/resource/Crackers_(1998_film)","Crackers (1998 film)"
"http://dbpedia.org/resource/Crime_File","Crime File"
"http://dbpedia.org/resource/Daya_(film)","Daya (film)"
"http://dbpedia.org/resource/Desadanam","Desadanam"
"http://dbpedia.org/resource/Doom_Runners","Doom Runners"
"http://dbpedia.org/resource/Elaan_(1994_film)","Elaan (1994 film)"
"http://dbpedia.org/resource/Exception_to_the_Rule","Exception to the Rule"
"http://dbpedia.org/resource/Eye_of_God_(film)","Eye of God (film)"
"http://dbpedia.org/resource/Fist_of_the_North_Star_(1995_film)","Fist of the North Star (1995 film)"
"http://dbpedia.org/resource/Gangmaster_(film)","Gangmaster (film)"
