"usCo","name"
"http://dbpedia.org/resource/Carolina_Southern_Railroad","Carolina Southern Railroad"
"http://dbpedia.org/resource/Fall_River_Secondary","Fall River Secondary"
"http://dbpedia.org/resource/Hamlet_station","Hamlet station"
"http://dbpedia.org/resource/Hudson_Subdivision","Hudson Subdivision"
"http://dbpedia.org/resource/Lockport_Subdivision","Lockport Subdivision"
"http://dbpedia.org/resource/Middleboro_Secondary","Middleboro Secondary"
"http://dbpedia.org/resource/New_Bedford_Subdivision","New Bedford Subdivision"
"http://dbpedia.org/resource/P&W_Subdivision","P&W Subdivision"
"http://dbpedia.org/resource/Park_Seed_Company","Park Seed Company"
"http://dbpedia.org/resource/Philadelphia_Subdivision","Philadelphia Subdivision"
"http://dbpedia.org/resource/Piedmont_and_Northern_Railway","Piedmont and Northern Railway"
"http://dbpedia.org/resource/Pittsburgh_Subdivision","Pittsburgh Subdivision"
"http://dbpedia.org/resource/Post_Road_Branch","Post Road Branch"
"http://dbpedia.org/resource/Schodack_Subdivision","Schodack Subdivision"
"http://dbpedia.org/resource/Southern_Pines_station","Southern Pines station"
"http://dbpedia.org/resource/The_Litchfield_Company","The Litchfield Company"
"http://dbpedia.org/resource/Toledo_Subdivision","Toledo Subdivision"
"http://dbpedia.org/resource/Trenton_Subdivision_(CSX_Transportation)","Trenton Subdivision (CSX Transportation)"
"http://dbpedia.org/resource/Washington_Subdivision","Washington Subdivision"
"http://dbpedia.org/resource/Winston-Salem_Southbound_Railway","Winston-Salem Southbound Railway"
"http://dbpedia.org/resource/Kline_Iron_and_Steel","Kline Iron and Steel"
"http://dbpedia.org/resource/Niagara_Subdivision","Niagara Subdivision"
"http://dbpedia.org/resource/Litton_Entertainment","Litton Entertainment"
"http://dbpedia.org/resource/Plymouth_Subdivision","Plymouth Subdivision"
"http://dbpedia.org/resource/Bridget_Carey","Bridget Carey"
"http://dbpedia.org/resource/Wild_Wing_Cafe","Wild Wing Cafe"
"http://dbpedia.org/resource/W._Thomas_Rice","W. Thomas Rice"
"http://dbpedia.org/resource/List_of_breweries_in_South_Carolina","List of breweries in South Carolina"
"http://dbpedia.org/resource/McGill_Motorsports","McGill Motorsports"
"http://dbpedia.org/resource/Declan_McCullagh","Declan McCullagh"
"http://dbpedia.org/resource/List_of_companies_in_Greater_Cincinnati","List of companies in Greater Cincinnati"
"http://dbpedia.org/resource/Columbia,_Newberry_and_Laurens_Railroad","Columbia, Newberry and Laurens Railroad"
"http://dbpedia.org/resource/Kingsport_Subdivision","Kingsport Subdivision"
"http://dbpedia.org/resource/List_of_companies_based_in_Kirkland,_Washington","List of companies based in Kirkland, Washington"
"http://dbpedia.org/resource/Big_Sandy_Subdivision_(CSX_Transportation)","Big Sandy Subdivision (CSX Transportation)"
"http://dbpedia.org/resource/CN&L_Subdivision","CN&L Subdivision"
"http://dbpedia.org/resource/Cumberland_Valley_Subdivision","Cumberland Valley Subdivision"
"http://dbpedia.org/resource/Long_Fork_Subdivision","Long Fork Subdivision"
"http://dbpedia.org/resource/Middle_Creek_Subdivision","Middle Creek Subdivision"
"http://dbpedia.org/resource/Mountain_Subdivision","Mountain Subdivision"
"http://dbpedia.org/resource/Mid-South_Management_Company","Mid-South Management Company"
"http://dbpedia.org/resource/Pope's_Creek_Subdivision","Pope's Creek Subdivision"
"http://dbpedia.org/resource/List_of_tenants_in_Six_World_Trade_Center","List of tenants in Six World Trade Center"
"http://dbpedia.org/resource/The_Wilds_Christian_Association","The Wilds Christian Association"
"http://dbpedia.org/resource/List_of_TV_Guide_editions","List of TV Guide editions"
"http://dbpedia.org/resource/Rafe_Needleman","Rafe Needleman"
"http://dbpedia.org/resource/List_of_independent_bookstores_in_the_United_States","List of independent bookstores in the United States"
"http://dbpedia.org/resource/Mid_Atlantic_Railroad","Mid Atlantic Railroad"
"http://dbpedia.org/resource/Beaufort-Jasper_Water_and_Sewer_Authority","Beaufort-Jasper Water and Sewer Authority"
"http://dbpedia.org/resource/List_of_airlines_of_Texas","List of airlines of Texas"
"http://dbpedia.org/resource/List_of_credit_unions_in_the_United_States","List of credit unions in the United States"
"http://dbpedia.org/resource/Three_Rivers_Railway","Three Rivers Railway"
"http://dbpedia.org/resource/List_of_space_companies_and_facilities_in_Virginia","List of space companies and facilities in Virginia"
"http://dbpedia.org/resource/List_of_United_States_mobile_virtual_network_operators","List of United States mobile virtual network operators"
"http://dbpedia.org/resource/Spartanburg_Herald-Journal","Spartanburg Herald-Journal"
"http://dbpedia.org/resource/List_of_Utah_companies","List of Utah companies"
"http://dbpedia.org/resource/List_of_companies_based_in_Miami","List of companies based in Miami"
"http://dbpedia.org/resource/Abbeville_Scimitar","Abbeville Scimitar"
"http://dbpedia.org/resource/Charlotte,_Monroe_and_Columbia_Railroad","Charlotte, Monroe and Columbia Railroad"
"http://dbpedia.org/resource/Cheraw_and_Salisbury_Railroad","Cheraw and Salisbury Railroad"
"http://dbpedia.org/resource/Green_Pond,_Walterboro_and_Branchville_Railroad","Green Pond, Walterboro and Branchville Railroad"
"http://dbpedia.org/resource/Greenville_and_Columbia_Railroad","Greenville and Columbia Railroad"
"http://dbpedia.org/resource/Greenville_and_Laurens_Railroad","Greenville and Laurens Railroad"
"http://dbpedia.org/resource/Kings_Mountain_Railroad","Kings Mountain Railroad"
"http://dbpedia.org/resource/Laurens_Railroad","Laurens Railroad"
"http://dbpedia.org/resource/Laurens_Railway","Laurens Railway"
"http://dbpedia.org/resource/South_Carolina_Pacific_Railway","South Carolina Pacific Railway"
"http://dbpedia.org/resource/Spartanburg,_Union_and_Columbia_Railroad","Spartanburg, Union and Columbia Railroad"
"http://dbpedia.org/resource/Spartanburg_and_Union_Railroad","Spartanburg and Union Railroad"
"http://dbpedia.org/resource/Herbert_Subdivision","Herbert Subdivision"
"http://dbpedia.org/resource/Stoney_Creek_Secondary","Stoney Creek Secondary"
"http://dbpedia.org/resource/List_of_property_developers_based_in_New_York","List of property developers based in New York"
"http://dbpedia.org/resource/Gibbs_Cancer_Center_&_Research_Institute","Gibbs Cancer Center & Research Institute"
"http://dbpedia.org/resource/Landenberg_Junction_(Delaware)","Landenberg Junction (Delaware)"
"http://dbpedia.org/resource/Twelve_South","Twelve South"
"http://dbpedia.org/resource/Miami_Subdivision","Miami Subdivision"
"http://dbpedia.org/resource/List_of_breweries_in_Washington,_D.C.","List of breweries in Washington, D.C."
"http://dbpedia.org/resource/Washington_Savannah_River_Company","Washington Savannah River Company"
"http://dbpedia.org/resource/History_of_the_Staten_Island_Railway","History of the Staten Island Railway"
"http://dbpedia.org/resource/Jesup_Subdivision","Jesup Subdivision"
"http://dbpedia.org/resource/Aberdeen_Subdivision_(North_Carolina)","Aberdeen Subdivision (North Carolina)"
"http://dbpedia.org/resource/Alleghany_Subdivision","Alleghany Subdivision"
"http://dbpedia.org/resource/Atlanta_Division","Atlanta Division"
"http://dbpedia.org/resource/NO&M_Subdivision","NO&M Subdivision"
"http://dbpedia.org/resource/PD_Subdivision","PD Subdivision"
"http://dbpedia.org/resource/S&NA_South_Subdivision","S&NA South Subdivision"
"http://dbpedia.org/resource/Hamlet_Subdivision","Hamlet Subdivision"
"http://dbpedia.org/resource/Hamlet_Terminal_Subdivision","Hamlet Terminal Subdivision"
"http://dbpedia.org/resource/Hopewell_Subdivision","Hopewell Subdivision"
"http://dbpedia.org/resource/Island_Creek_Subdivision","Island Creek Subdivision"
"http://dbpedia.org/resource/Jarrolds_Valley_Subdivision","Jarrolds Valley Subdivision"
