"fastFood","name"
"http://dbpedia.org/resource/Bagel_toast","Bagel toast"
"http://dbpedia.org/resource/Baker's_Dozen_Donuts","Baker's Dozen Donuts"
"http://dbpedia.org/resource/Baking_stone","Baking stone"
"http://dbpedia.org/resource/Lemon_chicken","Lemon chicken"
"http://dbpedia.org/resource/Leopold_Cafe","Leopold Cafe"
"http://dbpedia.org/resource/Leopoldo_Fernández_Pujals","Leopoldo Fernández Pujals"
"http://dbpedia.org/resource/Let's_Pizza","Let's Pizza"
"http://dbpedia.org/resource/Chicago-style_pizza","Chicago-style pizza"
"http://dbpedia.org/resource/Chick-fil-A_Kickoff_Game","Chick-fil-A Kickoff Game"
"http://dbpedia.org/resource/Chick-fil-A_and_LGBT_people","Chick-fil-A and LGBT people"
"http://dbpedia.org/resource/Chicken_salad_sandwich","Chicken salad sandwich"
"http://dbpedia.org/resource/Chicken_sandwich","Chicken sandwich"
"http://dbpedia.org/resource/Chicken_schnitzel","Chicken schnitzel"
"http://dbpedia.org/resource/Chiko_Roll","Chiko Roll"
"http://dbpedia.org/resource/Chili_burger","Chili burger"
"http://dbpedia.org/resource/Chili_con_carne","Chili con carne"
"http://dbpedia.org/resource/Chili_dog","Chili dog"
"http://dbpedia.org/resource/Chili_mac","Chili mac"
"http://dbpedia.org/resource/Chilympiad","Chilympiad"
"http://dbpedia.org/resource/Chimichanga","Chimichanga"
"http://dbpedia.org/resource/Chinese_chicken_salad","Chinese chicken salad"
"http://dbpedia.org/resource/Chinese_restaurant","Chinese restaurant"
"http://dbpedia.org/resource/Straight_from_New_York_Pizza","Straight from New York Pizza"
"http://dbpedia.org/resource/Stumptown_Coffee_Roasters","Stumptown Coffee Roasters"
"http://dbpedia.org/resource/Sun_Inn,_Barnes","Sun Inn, Barnes"
"http://dbpedia.org/resource/Ttongppang","Ttongppang"
"http://dbpedia.org/resource/Tully's_Coffee","Tully's Coffee"
"http://dbpedia.org/resource/Deep-fried_pizza","Deep-fried pizza"
"http://dbpedia.org/resource/Deep_Pan_Pizza","Deep Pan Pizza"
"http://dbpedia.org/resource/Gran_Caffé_Doney","Gran Caffé Doney"
"http://dbpedia.org/resource/Hot_dog","Hot dog"
"http://dbpedia.org/resource/Turkey_Devonshire","Turkey Devonshire"
"http://dbpedia.org/resource/Gimme!_Coffee","Gimme! Coffee"
"http://dbpedia.org/resource/Grecian_Coffee_House","Grecian Coffee House"
"http://dbpedia.org/resource/Grilled_cheese","Grilled cheese"
"http://dbpedia.org/resource/Esquites","Esquites"
"http://dbpedia.org/resource/Lloyd's_Coffee_House","Lloyd's Coffee House"
"http://dbpedia.org/resource/Lo_mein","Lo mein"
"http://dbpedia.org/resource/Luther_Burger","Luther Burger"
"http://dbpedia.org/resource/Marathon_Enterprises,_Inc.","Marathon Enterprises, Inc."
"http://dbpedia.org/resource/Pizza_Margherita","Pizza Margherita"
"http://dbpedia.org/resource/Lollicup_Coffee_&_Tea","Lollicup Coffee & Tea"
"http://dbpedia.org/resource/Pedrocchi_Café","Pedrocchi Café"
"http://dbpedia.org/resource/The_Coffee_Ethic","The Coffee Ethic"
"http://dbpedia.org/resource/World_Pizza_Championship","World Pizza Championship"
"http://dbpedia.org/resource/Pirozhki","Pirozhki"
"http://dbpedia.org/resource/Pizza_Showtime","Pizza Showtime"
"http://dbpedia.org/resource/Sha_cha_beef","Sha cha beef"
"http://dbpedia.org/resource/Lone_Star_Chili_Cook-off","Lone Star Chili Cook-off"
"http://dbpedia.org/resource/Vietnamese_noodles","Vietnamese noodles"
"http://dbpedia.org/resource/Kapsalon","Kapsalon"
"http://dbpedia.org/resource/Kardomah_Cafés","Kardomah Cafés"
"http://dbpedia.org/resource/Monorail_Espresso","Monorail Espresso"
"http://dbpedia.org/resource/Pastrami_on_rye","Pastrami on rye"
"http://dbpedia.org/resource/Quad_City-style_pizza","Quad City-style pizza"
"http://dbpedia.org/resource/Ražnjići","Ražnjići"
"http://dbpedia.org/resource/Jack's_Stir_Brew_Coffee","Jack's Stir Brew Coffee"
"http://dbpedia.org/resource/Kaassoufflé","Kaassoufflé"
"http://dbpedia.org/resource/Pizza_farm","Pizza farm"
"http://dbpedia.org/resource/Starbucks_Israel","Starbucks Israel"
"http://dbpedia.org/resource/Moo_goo_gai_pan","Moo goo gai pan"
"http://dbpedia.org/resource/List_of_street_foods","List of street foods"
"http://dbpedia.org/resource/List_of_submarine_sandwich_restaurants","List of submarine sandwich restaurants"
"http://dbpedia.org/resource/Lit_Espresso_Bar","Lit Espresso Bar"
"http://dbpedia.org/resource/Lángos","Lángos"
"http://dbpedia.org/resource/Moo_shu_pork","Moo shu pork"
"http://dbpedia.org/resource/Polish_Boy","Polish Boy"
"http://dbpedia.org/resource/Mama_Lu's_Dumpling_House","Mama Lu's Dumpling House"
"http://dbpedia.org/resource/Bistro_Na's","Bistro Na's"
"http://dbpedia.org/resource/Blenz_Coffee","Blenz Coffee"
"http://dbpedia.org/resource/Blue_Bottle_Coffee","Blue Bottle Coffee"
"http://dbpedia.org/resource/Blue_State_Coffee","Blue State Coffee"
"http://dbpedia.org/resource/Bluestockings_(bookstore)","Bluestockings (bookstore)"
"http://dbpedia.org/resource/Bo's_Coffee","Bo's Coffee"
"http://dbpedia.org/resource/Boston_Tea_Party_(café_chain)","Boston Tea Party (café chain)"
"http://dbpedia.org/resource/Bourbon_Coffee","Bourbon Coffee"
"http://dbpedia.org/resource/Bowlers'_Club_of_New_South_Wales","Bowlers' Club of New South Wales"
"http://dbpedia.org/resource/Gado_Gado_(restaurant)","Gado Gado (restaurant)"
"http://dbpedia.org/resource/Galette-saucisse","Galette-saucisse"
"http://dbpedia.org/resource/General_Tso's_chicken","General Tso's chicken"
"http://dbpedia.org/resource/Arepa","Arepa"
"http://dbpedia.org/resource/Hill_Street_Tai_Hwa_Pork_Noodle","Hill Street Tai Hwa Pork Noodle"
"http://dbpedia.org/resource/Hindoostane_Coffee_House","Hindoostane Coffee House"
"http://dbpedia.org/resource/Hokkien_fried_rice","Hokkien fried rice"
"http://dbpedia.org/resource/Bo_Muller-Moore","Bo Muller-Moore"
"http://dbpedia.org/resource/Lombardi's_Pizza","Lombardi's Pizza"
"http://dbpedia.org/resource/Lonesome's_Pizza","Lonesome's Pizza"
"http://dbpedia.org/resource/Louisa_Coffee","Louisa Coffee"
"http://dbpedia.org/resource/Lovely's_Fifty_Fifty","Lovely's Fifty Fifty"
"http://dbpedia.org/resource/Luckin_Coffee","Luckin Coffee"
"http://dbpedia.org/resource/Mysore_cafe","Mysore cafe"
"http://dbpedia.org/resource/Nadakkal_Parameswaran_Pillai","Nadakkal Parameswaran Pillai"
"http://dbpedia.org/resource/Carol_Grimaldi","Carol Grimaldi"
"http://dbpedia.org/resource/Carpenter's_Coffee_House","Carpenter's Coffee House"
"http://dbpedia.org/resource/Carrozza_(sandwich)","Carrozza (sandwich)"
"http://dbpedia.org/resource/Philz_Coffee","Philz Coffee"
"http://dbpedia.org/resource/Pied_Cow_Coffeehouse","Pied Cow Coffeehouse"
"http://dbpedia.org/resource/Pilaf","Pilaf"
"http://dbpedia.org/resource/Pizza-La","Pizza-La"
"http://dbpedia.org/resource/PizzaExpress","PizzaExpress"
"http://dbpedia.org/resource/Pizza_73","Pizza 73"
"http://dbpedia.org/resource/Pizza_Capers","Pizza Capers"
"http://dbpedia.org/resource/Pizza_Celentano","Pizza Celentano"
"http://dbpedia.org/resource/Pizza_Corner","Pizza Corner"
"http://dbpedia.org/resource/Pizza_Hut","Pizza Hut"
"http://dbpedia.org/resource/Pizza_Hut_Israel","Pizza Hut Israel"
"http://dbpedia.org/resource/Pizza_Jerk","Pizza Jerk"
"http://dbpedia.org/resource/Pizza_Pizza","Pizza Pizza"
"http://dbpedia.org/resource/Pizza_Thief","Pizza Thief"
"http://dbpedia.org/resource/Pizza_delivery","Pizza delivery"
"http://dbpedia.org/resource/Pizza_in_China","Pizza in China"
"http://dbpedia.org/resource/Pizza_theorem","Pizza theorem"
