"actor","name"
"http://dbpedia.org/resource/Lafe_McKee","Lafe McKee"
"http://dbpedia.org/resource/LeRoy_Mason","LeRoy Mason"
"http://dbpedia.org/resource/Lee_Paul","Lee Paul"
"http://dbpedia.org/resource/Lee_Seung-gi","Lee Seung-gi"
"http://dbpedia.org/resource/Lenny_Baker","Lenny Baker"
"http://dbpedia.org/resource/Leon_Ockenden","Leon Ockenden"
"http://dbpedia.org/resource/Leonid_Kinskey","Leonid Kinskey"
"http://dbpedia.org/resource/Lew_Kelly","Lew Kelly"
"http://dbpedia.org/resource/Lew_Temple","Lew Temple"
"http://dbpedia.org/resource/Lincoln_Lewis","Lincoln Lewis"
"http://dbpedia.org/resource/Liu_Wai-hung","Liu Wai-hung"
"http://dbpedia.org/resource/Louis_Ferreira","Louis Ferreira"
"http://dbpedia.org/resource/Marcus_Clarke_(puppeteer)","Marcus Clarke (puppeteer)"
"http://dbpedia.org/resource/Mark_Gibbon","Mark Gibbon"
"http://dbpedia.org/resource/Martin_Lynes","Martin Lynes"
"http://dbpedia.org/resource/Masahiro_Takashima","Masahiro Takashima"
"http://dbpedia.org/resource/Masashi_Amenomori","Masashi Amenomori"
"http://dbpedia.org/resource/Masuo_Amada","Masuo Amada"
"http://dbpedia.org/resource/Matt_Kennard_(actor)","Matt Kennard (actor)"
"http://dbpedia.org/resource/Mauricio_Islas","Mauricio Islas"
"http://dbpedia.org/resource/Max_Terhune","Max Terhune"
"http://dbpedia.org/resource/Michael_Benyaer","Michael Benyaer"
"http://dbpedia.org/resource/Michael_Strickland_(actor)","Michael Strickland (actor)"
"http://dbpedia.org/resource/Milton_Kibbee","Milton Kibbee"
"http://dbpedia.org/resource/Monte_Montague","Monte Montague"
"http://dbpedia.org/resource/Nancho_Novo","Nancho Novo"
"http://dbpedia.org/resource/Naoya_Uchida","Naoya Uchida"
"http://dbpedia.org/resource/Nathan_Kress","Nathan Kress"
