"actor","name"
"http://dbpedia.org/resource/J'Nai_Bridges","J'Nai Bridges"
"http://dbpedia.org/resource/Julius_Huehn","Julius Huehn"
"http://dbpedia.org/resource/Robert_Kerns","Robert Kerns"
"http://dbpedia.org/resource/William_B._Murray","William B. Murray"
"http://dbpedia.org/resource/Zélie_de_Lussan","Zélie de Lussan"
"http://dbpedia.org/resource/Mark_Schweizer","Mark Schweizer"
"http://dbpedia.org/resource/Paul_Ukena","Paul Ukena"
"http://dbpedia.org/resource/Mal_Z._Lawrence","Mal Z. Lawrence"
"http://dbpedia.org/resource/Bishnu_Prasad_Rabha","Bishnu Prasad Rabha"
"http://dbpedia.org/resource/Blake_Lee","Blake Lee"
"http://dbpedia.org/resource/Blanche_Yurka","Blanche Yurka"
"http://dbpedia.org/resource/Blu_del_Barrio","Blu del Barrio"
"http://dbpedia.org/resource/Bob_Dornan","Bob Dornan"
"http://dbpedia.org/resource/Bob_Mathias","Bob Mathias"
"http://dbpedia.org/resource/Bob_the_Drag_Queen","Bob the Drag Queen"
"http://dbpedia.org/resource/Bobbi_Salvör_Menuez","Bobbi Salvör Menuez"
"http://dbpedia.org/resource/Bobby_Clark_(tenor)","Bobby Clark (tenor)"
"http://dbpedia.org/resource/Ananda_Chandra_Barua","Ananda Chandra Barua"
"http://dbpedia.org/resource/Andión_Fernández","Andión Fernández"
"http://dbpedia.org/resource/Andreas_Poulimenos","Andreas Poulimenos"
"http://dbpedia.org/resource/Andreas_Teuber","Andreas Teuber"
"http://dbpedia.org/resource/Gaby_Dunn","Gaby Dunn"
"http://dbpedia.org/resource/Gail_Varina_Gilmore","Gail Varina Gilmore"
"http://dbpedia.org/resource/Gaqo_Çako","Gaqo Çako"
"http://dbpedia.org/resource/Garrett_Zuercher","Garrett Zuercher"
"http://dbpedia.org/resource/Gary_Menteer","Gary Menteer"
"http://dbpedia.org/resource/George_Baker_(Indian_actor)","George Baker (Indian actor)"
"http://dbpedia.org/resource/George_Gerdes","George Gerdes"
"http://dbpedia.org/resource/George_London_(bass-baritone)","George London (bass-baritone)"
"http://dbpedia.org/resource/George_Murphy","George Murphy"
"http://dbpedia.org/resource/George_Takei","George Takei"
"http://dbpedia.org/resource/Georgia_Ann_Laster","Georgia Ann Laster"
"http://dbpedia.org/resource/Gerard_McNamee","Gerard McNamee"
"http://dbpedia.org/resource/Ariel_Bybee","Ariel Bybee"
"http://dbpedia.org/resource/Armand_Cortes","Armand Cortes"
"http://dbpedia.org/resource/Arnold_Rutkowski","Arnold Rutkowski"
"http://dbpedia.org/resource/Arpine_Pehlivanian","Arpine Pehlivanian"
"http://dbpedia.org/resource/Arthur_Cosenza","Arthur Cosenza"
"http://dbpedia.org/resource/Arthur_Endrèze","Arthur Endrèze"
"http://dbpedia.org/resource/Arthur_Middleton_(bass-baritone)","Arthur Middleton (bass-baritone)"
"http://dbpedia.org/resource/Arthur_Newman_(baritone)","Arthur Newman (baritone)"
"http://dbpedia.org/resource/Henry_Hunter_Hall","Henry Hunter Hall"
"http://dbpedia.org/resource/Herbert_Witherspoon","Herbert Witherspoon"
"http://dbpedia.org/resource/Lorraine_Hunt_Lieberson","Lorraine Hunt Lieberson"
"http://dbpedia.org/resource/Lou_Ferrigno","Lou Ferrigno"
"http://dbpedia.org/resource/Louis_D'Angelo","Louis D'Angelo"
"http://dbpedia.org/resource/Louis_Giambalvo","Louis Giambalvo"
"http://dbpedia.org/resource/Louise_Homer","Louise Homer"
"http://dbpedia.org/resource/Lucinda_Dooling","Lucinda Dooling"
"http://dbpedia.org/resource/Luigi_Alva","Luigi Alva"
"http://dbpedia.org/resource/Nafe_Katter","Nafe Katter"
"http://dbpedia.org/resource/Nan_Merriman","Nan Merriman"
"http://dbpedia.org/resource/Nana_Mori","Nana Mori"
