"veg","name"
"http://dbpedia.org/resource/Kipfler_potato","Kipfler potato"
"http://dbpedia.org/resource/PT_Persada_Era_Agro_Kencana","PT Persada Era Agro Kencana"
"http://dbpedia.org/resource/People's_Movement_to_Stop_Haze","People's Movement to Stop Haze"
"http://dbpedia.org/resource/Agro_Bukit","Agro Bukit"
"http://dbpedia.org/resource/American_Soybean_Association","American Soybean Association"
"http://dbpedia.org/resource/Jersey_Boy_tomato","Jersey Boy tomato"
"http://dbpedia.org/resource/Rutgers_tomato","Rutgers tomato"
"http://dbpedia.org/resource/TSH_Resources","TSH Resources"
"http://dbpedia.org/resource/Dioscorea_abyssinica","Dioscorea abyssinica"
"http://dbpedia.org/resource/Kenlon_Johannes","Kenlon Johannes"
"http://dbpedia.org/resource/List_of_onions","List of onions"
"http://dbpedia.org/resource/Corn_cheese","Corn cheese"
"http://dbpedia.org/resource/Nanohana","Nanohana"
"http://dbpedia.org/resource/Viscoleo","Viscoleo"
"http://dbpedia.org/resource/Great_Hunger_Memorial_(Deer_Island,_Massachusetts)","Great Hunger Memorial (Deer Island, Massachusetts)"
"http://dbpedia.org/resource/Kesäkeitto","Kesäkeitto"
"http://dbpedia.org/resource/Western_New_York_Irish_Famine_Memorial","Western New York Irish Famine Memorial"
"http://dbpedia.org/resource/Zucchine_alla_scapece","Zucchine alla scapece"
"http://dbpedia.org/resource/Aroostook_Farm","Aroostook Farm"
"http://dbpedia.org/resource/Chi_qua","Chi qua"
"http://dbpedia.org/resource/Tubaani","Tubaani"
"http://dbpedia.org/resource/Bananas_in_Pyjamas","Bananas in Pyjamas"
"http://dbpedia.org/resource/Borscht","Borscht"
"http://dbpedia.org/resource/Chamomile","Chamomile"
"http://dbpedia.org/resource/Coconut_oil","Coconut oil"
"http://dbpedia.org/resource/Cucurbita","Cucurbita"
"http://dbpedia.org/resource/Güiro","Güiro"
"http://dbpedia.org/resource/Kimchi","Kimchi"
"http://dbpedia.org/resource/Legacy_of_the_Great_Irish_Famine","Legacy of the Great Irish Famine"
"http://dbpedia.org/resource/Lever_Brothers","Lever Brothers"
"http://dbpedia.org/resource/Mulato_pepper","Mulato pepper"
"http://dbpedia.org/resource/Pringles","Pringles"
"http://dbpedia.org/resource/Rapeseed","Rapeseed"
"http://dbpedia.org/resource/Scotch_bonnet","Scotch bonnet"
"http://dbpedia.org/resource/Smilax","Smilax"
"http://dbpedia.org/resource/Spanish_omelette","Spanish omelette"
"http://dbpedia.org/resource/Unilever","Unilever"
"http://dbpedia.org/resource/Viola_(plant)","Viola (plant)"
"http://dbpedia.org/resource/Allicin","Allicin"
"http://dbpedia.org/resource/Chrysanthemum","Chrysanthemum"
"http://dbpedia.org/resource/Cordyline_australis","Cordyline australis"
"http://dbpedia.org/resource/Cowpea","Cowpea"
"http://dbpedia.org/resource/Grape_seed_oil","Grape seed oil"
"http://dbpedia.org/resource/Jalapeño","Jalapeño"
"http://dbpedia.org/resource/Kikkoman","Kikkoman"
"http://dbpedia.org/resource/Lotus_root","Lotus root"
"http://dbpedia.org/resource/Malagueta_pepper","Malagueta pepper"
"http://dbpedia.org/resource/Myoga","Myoga"
"http://dbpedia.org/resource/Persicaria_perfoliata","Persicaria perfoliata"
"http://dbpedia.org/resource/Phaseolus_vulgaris","Phaseolus vulgaris"
"http://dbpedia.org/resource/Pimiento","Pimiento"
"http://dbpedia.org/resource/Piper_methysticum","Piper methysticum"
"http://dbpedia.org/resource/Salsa_(Mexican_cuisine)","Salsa (Mexican cuisine)"
"http://dbpedia.org/resource/Snickers","Snickers"
"http://dbpedia.org/resource/Soy_milk","Soy milk"
"http://dbpedia.org/resource/Tomatillo","Tomatillo"
"http://dbpedia.org/resource/War_of_the_Bavarian_Succession","War of the Bavarian Succession"
"http://dbpedia.org/resource/Zucchini","Zucchini"
"http://dbpedia.org/resource/Canola_oil","Canola oil"
"http://dbpedia.org/resource/La_Tomatina","La Tomatina"
"http://dbpedia.org/resource/Maranta_arundinacea","Maranta arundinacea"
"http://dbpedia.org/resource/Myrrh","Myrrh"
"http://dbpedia.org/resource/Pico_de_gallo","Pico de gallo"
"http://dbpedia.org/resource/Tragopogon","Tragopogon"
"http://dbpedia.org/resource/Cordia","Cordia"
"http://dbpedia.org/resource/Fucus_vesiculosus","Fucus vesiculosus"
"http://dbpedia.org/resource/Honey_locust","Honey locust"
"http://dbpedia.org/resource/List_of_root_vegetables","List of root vegetables"
"http://dbpedia.org/resource/Mr._Potato_Head","Mr. Potato Head"
"http://dbpedia.org/resource/Tamarind","Tamarind"
"http://dbpedia.org/resource/Arracacha","Arracacha"
"http://dbpedia.org/resource/Baba_ghanoush","Baba ghanoush"
"http://dbpedia.org/resource/Chinese_cabbage","Chinese cabbage"
"http://dbpedia.org/resource/Coffin_ship","Coffin ship"
"http://dbpedia.org/resource/Cucumber_sandwich","Cucumber sandwich"
"http://dbpedia.org/resource/Gudeg","Gudeg"
"http://dbpedia.org/resource/Morinda_citrifolia","Morinda citrifolia"
"http://dbpedia.org/resource/Moussaka","Moussaka"
"http://dbpedia.org/resource/Oxalis_oregana","Oxalis oregana"
"http://dbpedia.org/resource/Quavers","Quavers"
"http://dbpedia.org/resource/Tea_tree_oil","Tea tree oil"
"http://dbpedia.org/resource/Allium_nigrum","Allium nigrum"
"http://dbpedia.org/resource/Amaggi_Group","Amaggi Group"
"http://dbpedia.org/resource/Amorphophallus_paeoniifolius","Amorphophallus paeoniifolius"
"http://dbpedia.org/resource/Datil_pepper","Datil pepper"
"http://dbpedia.org/resource/Dubu-kimchi","Dubu-kimchi"
"http://dbpedia.org/resource/Kwirk","Kwirk"
"http://dbpedia.org/resource/Salça","Salça"
"http://dbpedia.org/resource/Sauropus_androgynus","Sauropus androgynus"
"http://dbpedia.org/resource/Siling_labuyo","Siling labuyo"
"http://dbpedia.org/resource/West_Bank_Story","West Bank Story"
"http://dbpedia.org/resource/William_T._Young","William T. Young"
"http://dbpedia.org/resource/Arrabbiata_sauce","Arrabbiata sauce"
"http://dbpedia.org/resource/Batata_harra","Batata harra"
"http://dbpedia.org/resource/Cameroon_Development_Corporation","Cameroon Development Corporation"
"http://dbpedia.org/resource/Corn_oil","Corn oil"
"http://dbpedia.org/resource/Creamed_corn","Creamed corn"
"http://dbpedia.org/resource/Edible_plant_stem","Edible plant stem"
"http://dbpedia.org/resource/Ful_medames","Ful medames"
"http://dbpedia.org/resource/Maque_choux","Maque choux"
"http://dbpedia.org/resource/Moqueca","Moqueca"
"http://dbpedia.org/resource/Munch_Bunch","Munch Bunch"
"http://dbpedia.org/resource/Red_beans_and_rice","Red beans and rice"
"http://dbpedia.org/resource/Romaine_lettuce","Romaine lettuce"
"http://dbpedia.org/resource/Rössypottu","Rössypottu"
"http://dbpedia.org/resource/Storax_balsam","Storax balsam"
"http://dbpedia.org/resource/Truffade","Truffade"
"http://dbpedia.org/resource/ASEAN_Agreement_on_Transboundary_Haze_Pollution","ASEAN Agreement on Transboundary Haze Pollution"
"http://dbpedia.org/resource/Baeckeoffe","Baeckeoffe"
"http://dbpedia.org/resource/Blooming_onion","Blooming onion"
"http://dbpedia.org/resource/Bunium_bulbocastanum","Bunium bulbocastanum"
"http://dbpedia.org/resource/Celosia_argentea","Celosia argentea"
"http://dbpedia.org/resource/Conopodium_majus","Conopodium majus"
"http://dbpedia.org/resource/Cucurbita_ficifolia","Cucurbita ficifolia"
"http://dbpedia.org/resource/Doubles_(food)","Doubles (food)"
"http://dbpedia.org/resource/Eddoe","Eddoe"
"http://dbpedia.org/resource/Frijoles_negros","Frijoles negros"
"http://dbpedia.org/resource/Gongura","Gongura"
"http://dbpedia.org/resource/Instant_mashed_potatoes","Instant mashed potatoes"
"http://dbpedia.org/resource/Kare-kare","Kare-kare"
"http://dbpedia.org/resource/Lathyrus_tuberosus","Lathyrus tuberosus"
"http://dbpedia.org/resource/Manduca_quinquemaculata","Manduca quinquemaculata"
"http://dbpedia.org/resource/Mirabilis_expansa","Mirabilis expansa"
"http://dbpedia.org/resource/Mirabilis_jalapa","Mirabilis jalapa"
"http://dbpedia.org/resource/Pholisma_sonorae","Pholisma sonorae"
"http://dbpedia.org/resource/Salt_potatoes","Salt potatoes"
"http://dbpedia.org/resource/Satoimo","Satoimo"
"http://dbpedia.org/resource/Vernonia_galamensis","Vernonia galamensis"
"http://dbpedia.org/resource/Annoying_Orange:_Kitchen_Carnage","Annoying Orange: Kitchen Carnage"
"http://dbpedia.org/resource/Big_Idea_Entertainment","Big Idea Entertainment"
"http://dbpedia.org/resource/Feronia_Inc.","Feronia Inc."
"http://dbpedia.org/resource/Looshtauk","Looshtauk"
"http://dbpedia.org/resource/Small_Potatoes_(2011_TV_series)","Small Potatoes (2011 TV series)"
"http://dbpedia.org/resource/Tauco","Tauco"
"http://dbpedia.org/resource/The_Morning_Star_Company","The Morning Star Company"
"http://dbpedia.org/resource/Trinidad_Scorpion_Butch_T_pepper","Trinidad Scorpion Butch T pepper"
"http://dbpedia.org/resource/Bakossi_National_Park","Bakossi National Park"
"http://dbpedia.org/resource/Brooks_Catsup_Bottle_water_tower","Brooks Catsup Bottle water tower"
"http://dbpedia.org/resource/Collins_Potato_House","Collins Potato House"
"http://dbpedia.org/resource/Hobak-tteok","Hobak-tteok"
"http://dbpedia.org/resource/Leopoldia_comosa","Leopoldia comosa"
"http://dbpedia.org/resource/Sriracha_sauce_(Huy_Fong_Foods)","Sriracha sauce (Huy Fong Foods)"
"http://dbpedia.org/resource/Tradewinds_Plantation_Berhad","Tradewinds Plantation Berhad"
"http://dbpedia.org/resource/Adjuma","Adjuma"
"http://dbpedia.org/resource/Bumitama_Agri","Bumitama Agri"
"http://dbpedia.org/resource/Cheongyang_chili_pepper","Cheongyang chili pepper"
"http://dbpedia.org/resource/Dane_Boedigheimer","Dane Boedigheimer"
"http://dbpedia.org/resource/Khaman","Khaman"
"http://dbpedia.org/resource/Lusanga,_Kwilu","Lusanga, Kwilu"
"http://dbpedia.org/resource/Newtown,_Cardiff","Newtown, Cardiff"
"http://dbpedia.org/resource/Padrón_peppers","Padrón peppers"
"http://dbpedia.org/resource/The_High_Fructose_Adventures_of_Annoying_Orange","The High Fructose Adventures of Annoying Orange"
"http://dbpedia.org/resource/Topik","Topik"
"http://dbpedia.org/resource/Trinidad_Moruga_scorpion","Trinidad Moruga scorpion"
"http://dbpedia.org/resource/Uncle_Chipps","Uncle Chipps"
"http://dbpedia.org/resource/Zanthoxylum_piperitum","Zanthoxylum piperitum"
"http://dbpedia.org/resource/Amatriciana_sauce","Amatriciana sauce"
"http://dbpedia.org/resource/Chanpurū","Chanpurū"
"http://dbpedia.org/resource/Fruit_of_the_Loom_Guys","Fruit of the Loom Guys"
"http://dbpedia.org/resource/Giardiniera","Giardiniera"
"http://dbpedia.org/resource/Gratin","Gratin"
"http://dbpedia.org/resource/Gratin_dauphinois","Gratin dauphinois"
"http://dbpedia.org/resource/Limnophila_aromatica","Limnophila aromatica"
"http://dbpedia.org/resource/Silly_Songs_with_Larry","Silly Songs with Larry"
"http://dbpedia.org/resource/Cannabis_flower_essential_oil","Cannabis flower essential oil"
"http://dbpedia.org/resource/Cowboy_beans","Cowboy beans"
"http://dbpedia.org/resource/Fried_onion","Fried onion"
"http://dbpedia.org/resource/Lupinus_luteus","Lupinus luteus"
"http://dbpedia.org/resource/Wolf_Brand_Chili","Wolf Brand Chili"
"http://dbpedia.org/resource/B._C._Shekhar","B. C. Shekhar"
"http://dbpedia.org/resource/Chenopodium_nuttalliae","Chenopodium nuttalliae"
"http://dbpedia.org/resource/Ganmodoki","Ganmodoki"
"http://dbpedia.org/resource/Ilimba_drum","Ilimba drum"
"http://dbpedia.org/resource/Manchamanteles","Manchamanteles"
"http://dbpedia.org/resource/Petasites_japonicus","Petasites japonicus"
"http://dbpedia.org/resource/Pistou","Pistou"
"http://dbpedia.org/resource/Trichoderma_viride","Trichoderma viride"
"http://dbpedia.org/resource/AHDB_Potatoes","AHDB Potatoes"
"http://dbpedia.org/resource/Bamia","Bamia"
"http://dbpedia.org/resource/Carne_asada_fries","Carne asada fries"
"http://dbpedia.org/resource/Chick-O-Stick","Chick-O-Stick"
"http://dbpedia.org/resource/Fasole_cu_cârnați","Fasole cu cârnați"
"http://dbpedia.org/resource/Khichdi_(dish)","Khichdi (dish)"
"http://dbpedia.org/resource/National_Peanut_Festival","National Peanut Festival"
"http://dbpedia.org/resource/Peanut_butter_cookie","Peanut butter cookie"
"http://dbpedia.org/resource/Persillade","Persillade"
"http://dbpedia.org/resource/Pink_peppercorn","Pink peppercorn"
"http://dbpedia.org/resource/Potato_Museum","Potato Museum"
"http://dbpedia.org/resource/Salted_Nut_Roll","Salted Nut Roll"
"http://dbpedia.org/resource/Tylosema_esculentum","Tylosema esculentum"
"http://dbpedia.org/resource/Vitelotte","Vitelotte"
"http://dbpedia.org/resource/Alloco","Alloco"
"http://dbpedia.org/resource/Black_peas","Black peas"
"http://dbpedia.org/resource/Cauliflower_cheese","Cauliflower cheese"
"http://dbpedia.org/resource/Holishkes","Holishkes"
"http://dbpedia.org/resource/Jiggs_dinner","Jiggs dinner"
"http://dbpedia.org/resource/Leboku","Leboku"
"http://dbpedia.org/resource/Matevž","Matevž"
"http://dbpedia.org/resource/Oncom","Oncom"
"http://dbpedia.org/resource/Prosopis_glandulosa","Prosopis glandulosa"
"http://dbpedia.org/resource/Wild_lettuce","Wild lettuce"
"http://dbpedia.org/resource/Beguni","Beguni"
"http://dbpedia.org/resource/Caponata","Caponata"
"http://dbpedia.org/resource/Kèn_bầu","Kèn bầu"
"http://dbpedia.org/resource/Soy_nut","Soy nut"
"http://dbpedia.org/resource/Agastache_rugosa","Agastache rugosa"
"http://dbpedia.org/resource/Allium_chinense","Allium chinense"
"http://dbpedia.org/resource/Allium_galanthum","Allium galanthum"
"http://dbpedia.org/resource/Allium_pskemense","Allium pskemense"
"http://dbpedia.org/resource/Alphonse_Attardi","Alphonse Attardi"
"http://dbpedia.org/resource/Aster_yellows","Aster yellows"
"http://dbpedia.org/resource/Borneo_tallow_nut_oil","Borneo tallow nut oil"
"http://dbpedia.org/resource/Buffalo_gourd_oil","Buffalo gourd oil"
"http://dbpedia.org/resource/Carrot_seed_oil","Carrot seed oil"
"http://dbpedia.org/resource/Istrian_stew","Istrian stew"
"http://dbpedia.org/resource/Lallemantia_oil","Lallemantia oil"
"http://dbpedia.org/resource/Pequi_oil","Pequi oil"
"http://dbpedia.org/resource/Romanesco_broccoli","Romanesco broccoli"
"http://dbpedia.org/resource/Stoemp","Stoemp"
"http://dbpedia.org/resource/Tarkari","Tarkari"
"http://dbpedia.org/resource/Allium_moly","Allium moly"
"http://dbpedia.org/resource/Baron_von_Lemon","Baron von Lemon"
"http://dbpedia.org/resource/Dioscorea_esculenta","Dioscorea esculenta"
"http://dbpedia.org/resource/Fusarium_culmorum","Fusarium culmorum"
"http://dbpedia.org/resource/Kinako","Kinako"
"http://dbpedia.org/resource/Lahpet","Lahpet"
"http://dbpedia.org/resource/Leek_soup","Leek soup"
"http://dbpedia.org/resource/Prosopis_velutina","Prosopis velutina"
"http://dbpedia.org/resource/Ralstonia_solanacearum","Ralstonia solanacearum"
"http://dbpedia.org/resource/Solanum_sisymbriifolium","Solanum sisymbriifolium"
"http://dbpedia.org/resource/Sonchus_oleraceus","Sonchus oleraceus"
"http://dbpedia.org/resource/Vanillerostbraten","Vanillerostbraten"
"http://dbpedia.org/resource/Allium_calamarophilon","Allium calamarophilon"
"http://dbpedia.org/resource/Determinate_cultivar","Determinate cultivar"
"http://dbpedia.org/resource/Diri_djondjon","Diri djondjon"
"http://dbpedia.org/resource/Marula_oil","Marula oil"
"http://dbpedia.org/resource/Mr._Stripey","Mr. Stripey"
"http://dbpedia.org/resource/Piper_guineense","Piper guineense"
"http://dbpedia.org/resource/Pratylenchus","Pratylenchus"
"http://dbpedia.org/resource/Rappie_pie","Rappie pie"
"http://dbpedia.org/resource/Toum","Toum"
"http://dbpedia.org/resource/African_Groundnut_Council","African Groundnut Council"
"http://dbpedia.org/resource/Ammannia_senegalensis","Ammannia senegalensis"
"http://dbpedia.org/resource/Campanula_rapunculus","Campanula rapunculus"
"http://dbpedia.org/resource/Cezerye","Cezerye"
"http://dbpedia.org/resource/Hemerocallis_minor","Hemerocallis minor"
"http://dbpedia.org/resource/Satay_bee_hoon","Satay bee hoon"
"http://dbpedia.org/resource/Vegetarian_chili","Vegetarian chili"
"http://dbpedia.org/resource/Caulerpa_lentillifera","Caulerpa lentillifera"
"http://dbpedia.org/resource/Chapo_(beverage)","Chapo (beverage)"
"http://dbpedia.org/resource/Cocklebur_oil","Cocklebur oil"
"http://dbpedia.org/resource/Hogao","Hogao"
"http://dbpedia.org/resource/Laing_(food)","Laing (food)"
"http://dbpedia.org/resource/Leontodon_taraxacoides","Leontodon taraxacoides"
"http://dbpedia.org/resource/List_of_countries_by_tomato_production","List of countries by tomato production"
"http://dbpedia.org/resource/List_of_musical_instruments_by_Hornbostel–Sachs_number:_311.221","List of musical instruments by Hornbostel–Sachs number: 311.221"
"http://dbpedia.org/resource/Psyllid_yellows","Psyllid yellows"
"http://dbpedia.org/resource/The_Garden_Gang","The Garden Gang"
"http://dbpedia.org/resource/Ucuhuba_seed_oil","Ucuhuba seed oil"
"http://dbpedia.org/resource/Acacia_holosericea","Acacia holosericea"
"http://dbpedia.org/resource/Apium_prostratum","Apium prostratum"
"http://dbpedia.org/resource/Blitum_californicum","Blitum californicum"
"http://dbpedia.org/resource/Burchardia_umbellata","Burchardia umbellata"
"http://dbpedia.org/resource/Compagnie_van_Verre","Compagnie van Verre"
"http://dbpedia.org/resource/Dioscorea_transversa","Dioscorea transversa"
