"pol","name"
"http://dbpedia.org/resource/A._K._P._Chinraj","A. K. P. Chinraj"
"http://dbpedia.org/resource/A._K._Patel","A. K. Patel"
"http://dbpedia.org/resource/A._K._Premajam","A. K. Premajam"
"http://dbpedia.org/resource/A._K._Roy","A. K. Roy"
"http://dbpedia.org/resource/A._K._S._Vijayan","A. K. S. Vijayan"
"http://dbpedia.org/resource/A._K._Saseendran","A. K. Saseendran"
"http://dbpedia.org/resource/A._K._Selvaraj","A. K. Selvaraj"
"http://dbpedia.org/resource/A._K._Sharma","A. K. Sharma"
"http://dbpedia.org/resource/A._K._Singh","A. K. Singh"
"http://dbpedia.org/resource/A._Kanagasabai","A. Kanagasabai"
"http://dbpedia.org/resource/A._Keith_Bissell","A. Keith Bissell"
"http://dbpedia.org/resource/A._Krishnaswamy","A. Krishnaswamy"
"http://dbpedia.org/resource/A._Kumarathurai","A. Kumarathurai"
"http://dbpedia.org/resource/A._L._Abdul_Majeed","A. L. Abdul Majeed"
"http://dbpedia.org/resource/A._L._M._Athaullah","A. L. M. Athaullah"
"http://dbpedia.org/resource/A._L._Philpott","A. L. Philpott"
"http://dbpedia.org/resource/A._L._Rasmussen","A. L. Rasmussen"
"http://dbpedia.org/resource/A._L._Strand","A. L. Strand"
"http://dbpedia.org/resource/A._L._Zissu","A. L. Zissu"
"http://dbpedia.org/resource/A._Lawrence_Lowell","A. Lawrence Lowell"
"http://dbpedia.org/resource/A._LeRoy_Greason","A. LeRoy Greason"
"http://dbpedia.org/resource/A._Lee_Bentley_III","A. Lee Bentley III"
"http://dbpedia.org/resource/A._Lee_Chandler","A. Lee Chandler"
"http://dbpedia.org/resource/A._Leon_Higginbotham_Jr.","A. Leon Higginbotham Jr."
"http://dbpedia.org/resource/A._Leonard_Allen","A. Leonard Allen"
"http://dbpedia.org/resource/A._Lloyd_MacDonald","A. Lloyd MacDonald"
"http://dbpedia.org/resource/A._Lorne_Campbell","A. Lorne Campbell"
"http://dbpedia.org/resource/A._Loudon_Snowden","A. Loudon Snowden"
"http://dbpedia.org/resource/A._M._A._Azeez","A. M. A. Azeez"
"http://dbpedia.org/resource/A._M._Aikin_Jr.","A. M. Aikin Jr."
"http://dbpedia.org/resource/A._M._Ariff","A. M. Ariff"
"http://dbpedia.org/resource/A._M._Azahari","A. M. Azahari"
"http://dbpedia.org/resource/A._M._Babu","A. M. Babu"
"http://dbpedia.org/resource/A._M._Khanwilkar","A. M. Khanwilkar"
"http://dbpedia.org/resource/A._M._M._Safiullah","A. M. M. Safiullah"
"http://dbpedia.org/resource/A._M._Merza","A. M. Merza"
"http://dbpedia.org/resource/A._M._Paraman","A. M. Paraman"
"http://dbpedia.org/resource/A._M._Starr","A. M. Starr"
"http://dbpedia.org/resource/A._M._Zahiruddin_Khan","A. M. Zahiruddin Khan"
"http://dbpedia.org/resource/A._Malarmannan","A. Malarmannan"
"http://dbpedia.org/resource/A._Manju","A. Manju"
"http://dbpedia.org/resource/A._Marvin_Quattlebaum_Jr.","A. Marvin Quattlebaum Jr."
"http://dbpedia.org/resource/A._Miles_Pratt","A. Miles Pratt"
"http://dbpedia.org/resource/A._Mitchell_Palmer","A. Mitchell Palmer"
"http://dbpedia.org/resource/A._Muhamed_Mustaque","A. Muhamed Mustaque"
"http://dbpedia.org/resource/A._N._M._Nuruzzaman","A. N. M. Nuruzzaman"
"http://dbpedia.org/resource/A._N._M._Yusuf","A. N. M. Yusuf"
"http://dbpedia.org/resource/A._N._R._Robinson","A. N. R. Robinson"
"http://dbpedia.org/resource/A._N._Shamseer","A. N. Shamseer"
"http://dbpedia.org/resource/A._Narayanaswamy","A. Narayanaswamy"
"http://dbpedia.org/resource/A._Navaneethakrishnan","A. Navaneethakrishnan"
"http://dbpedia.org/resource/A._Nesamony","A. Nesamony"
"http://dbpedia.org/resource/A._O._Lang","A. O. Lang"
"http://dbpedia.org/resource/A._Otis_Arnold","A. Otis Arnold"
"http://dbpedia.org/resource/A._P._Abdullakutty","A. P. Abdullakutty"
"http://dbpedia.org/resource/A._P._Anil_Kumar","A. P. Anil Kumar"
"http://dbpedia.org/resource/A._P._Barrett","A. P. Barrett"
"http://dbpedia.org/resource/A._P._Byrne","A. P. Byrne"
"http://dbpedia.org/resource/A._P._Hamann","A. P. Hamann"
"http://dbpedia.org/resource/A._P._Herbert","A. P. Herbert"
"http://dbpedia.org/resource/A._P._J._Abdul_Kalam","A. P. J. Abdul Kalam"
"http://dbpedia.org/resource/A._P._Jayasuriya","A. P. Jayasuriya"
"http://dbpedia.org/resource/A._P._Jithender_Reddy","A. P. Jithender Reddy"
"http://dbpedia.org/resource/A._P._Lutali","A. P. Lutali"
"http://dbpedia.org/resource/A._P._Paterson","A. P. Paterson"
"http://dbpedia.org/resource/A._P._Tugwell","A. P. Tugwell"
