"mount","name"
"http://dbpedia.org/resource/Mount_Lamlam","Mount Lamlam"
"http://dbpedia.org/resource/Mount_Matsuo","Mount Matsuo"
"http://dbpedia.org/resource/Mount_Merbuk","Mount Merbuk"
"http://dbpedia.org/resource/Mount_Nanhu","Mount Nanhu"
"http://dbpedia.org/resource/Mount_Nenggao","Mount Nenggao"
"http://dbpedia.org/resource/Mount_Olympus","Mount Olympus"
"http://dbpedia.org/resource/Mount_Pakenham","Mount Pakenham"
"http://dbpedia.org/resource/Mount_Pintian","Mount Pintian"
"http://dbpedia.org/resource/Mount_Pluto,_California","Mount Pluto, California"
"http://dbpedia.org/resource/Mount_Sarawaget","Mount Sarawaget"
"http://dbpedia.org/resource/Mount_Shirakami","Mount Shirakami"
"http://dbpedia.org/resource/Mount_Skukum_Volcanic_Complex","Mount Skukum Volcanic Complex"
"http://dbpedia.org/resource/Mount_Suckling","Mount Suckling"
"http://dbpedia.org/resource/Mount_Tabor","Mount Tabor"
"http://dbpedia.org/resource/Mount_Tao","Mount Tao"
"http://dbpedia.org/resource/Mount_Tomanivi","Mount Tomanivi"
"http://dbpedia.org/resource/Mount_Uluigalau","Mount Uluigalau"
"http://dbpedia.org/resource/Mount_Union_(Arizona)","Mount Union (Arizona)"
"http://dbpedia.org/resource/Mount_Warren","Mount Warren"
"http://dbpedia.org/resource/Mount_Wuming","Mount Wuming"
"http://dbpedia.org/resource/Mount_Xiuguluan","Mount Xiuguluan"
"http://dbpedia.org/resource/Mount_York","Mount York"
"http://dbpedia.org/resource/Mount_Zdarsky","Mount Zdarsky"
"http://dbpedia.org/resource/Mullacor","Mullacor"
"http://dbpedia.org/resource/Mørkdalstuva","Mørkdalstuva"
"http://dbpedia.org/resource/Møysalen","Møysalen"
"http://dbpedia.org/resource/Nasa_Mountain","Nasa Mountain"
"http://dbpedia.org/resource/Ninaki_Mountain","Ninaki Mountain"
"http://dbpedia.org/resource/North_Gardner_Mountain","North Gardner Mountain"
"http://dbpedia.org/resource/North_Mountain_(Nova_Scotia)","North Mountain (Nova Scotia)"
"http://dbpedia.org/resource/Nuttby_Mountain","Nuttby Mountain"
"http://dbpedia.org/resource/Pampa_Luxsar","Pampa Luxsar"
"http://dbpedia.org/resource/Pešter","Pešter"
