"afrAnimal","name"
"http://dbpedia.org/resource/Phrynobatrachus_bequaerti","Phrynobatrachus bequaerti"
"http://dbpedia.org/resource/Phrynobatrachus_bullans","Phrynobatrachus bullans"
"http://dbpedia.org/resource/Phrynobatrachus_calcaratus","Phrynobatrachus calcaratus"
"http://dbpedia.org/resource/Phrynobatrachus_cricogaster","Phrynobatrachus cricogaster"
"http://dbpedia.org/resource/Phrynobatrachus_elberti","Phrynobatrachus elberti"
"http://dbpedia.org/resource/Phrynobatrachus_graueri","Phrynobatrachus graueri"
"http://dbpedia.org/resource/Phrynobatrachus_guineensis","Phrynobatrachus guineensis"
"http://dbpedia.org/resource/Phrynobatrachus_hylaios","Phrynobatrachus hylaios"
"http://dbpedia.org/resource/Phrynobatrachus_irangi","Phrynobatrachus irangi"
"http://dbpedia.org/resource/Phrynobatrachus_latifrons","Phrynobatrachus latifrons"
"http://dbpedia.org/resource/Phrynobatrachus_nanus","Phrynobatrachus nanus"
"http://dbpedia.org/resource/Phrynobatrachus_parvulus","Phrynobatrachus parvulus"
"http://dbpedia.org/resource/Phrynobatrachus_perpalmatus","Phrynobatrachus perpalmatus"
"http://dbpedia.org/resource/Phrynobatrachus_phyllophilus","Phrynobatrachus phyllophilus"
"http://dbpedia.org/resource/Phrynobatrachus_pygmaeus","Phrynobatrachus pygmaeus"
"http://dbpedia.org/resource/Phrynobatrachus_rouxi","Phrynobatrachus rouxi"
"http://dbpedia.org/resource/Phrynobatrachus_sternfeldi","Phrynobatrachus sternfeldi"
"http://dbpedia.org/resource/Phrynobatrachus_stewartae","Phrynobatrachus stewartae"
"http://dbpedia.org/resource/Phrynobatrachus_taiensis","Phrynobatrachus taiensis"
"http://dbpedia.org/resource/Phrynobatrachus_tokba","Phrynobatrachus tokba"
"http://dbpedia.org/resource/Phrynobatrachus_werneri","Phrynobatrachus werneri"
"http://dbpedia.org/resource/Phrynomantis_somalicus","Phrynomantis somalicus"
"http://dbpedia.org/resource/Probreviceps_rhodesianus","Probreviceps rhodesianus"
"http://dbpedia.org/resource/Ptychadena_guibei","Ptychadena guibei"
"http://dbpedia.org/resource/Ptychadena_ingeri","Ptychadena ingeri"
"http://dbpedia.org/resource/Ptychadena_keilingi","Ptychadena keilingi"
"http://dbpedia.org/resource/Ptychadena_nana","Ptychadena nana"
"http://dbpedia.org/resource/Ptychadena_perreti","Ptychadena perreti"
"http://dbpedia.org/resource/Ptychadena_uzungwensis","Ptychadena uzungwensis"
"http://dbpedia.org/resource/Pyxicephalus_cordofanus","Pyxicephalus cordofanus"
"http://dbpedia.org/resource/Quedenfeldtia_moerens","Quedenfeldtia moerens"
"http://dbpedia.org/resource/Railer_bat","Railer bat"
"http://dbpedia.org/resource/Raucous_toad","Raucous toad"
"http://dbpedia.org/resource/Red-crested_korhaan","Red-crested korhaan"
"http://dbpedia.org/resource/Red-headed_quelea","Red-headed quelea"
"http://dbpedia.org/resource/Rendall's_serotine","Rendall's serotine"
"http://dbpedia.org/resource/Ring-tailed_cardinalfish","Ring-tailed cardinalfish"
"http://dbpedia.org/resource/Round_Island_boa","Round Island boa"
"http://dbpedia.org/resource/Rufous-naped_lark","Rufous-naped lark"
"http://dbpedia.org/resource/Rufous_vanga","Rufous vanga"
"http://dbpedia.org/resource/Rusty_pipistrelle","Rusty pipistrelle"
"http://dbpedia.org/resource/Sakalava_weaver","Sakalava weaver"
"http://dbpedia.org/resource/Savannah_forest_tree_frog","Savannah forest tree frog"
"http://dbpedia.org/resource/Scarlet-chested_sunbird","Scarlet-chested sunbird"
"http://dbpedia.org/resource/Scissor-tailed_kite","Scissor-tailed kite"
"http://dbpedia.org/resource/Sclerophrys_blanfordii","Sclerophrys blanfordii"
"http://dbpedia.org/resource/Sclerophrys_buchneri","Sclerophrys buchneri"
"http://dbpedia.org/resource/Sclerophrys_camerunensis","Sclerophrys camerunensis"
"http://dbpedia.org/resource/Sclerophrys_fuliginata","Sclerophrys fuliginata"
"http://dbpedia.org/resource/Sclerophrys_funerea","Sclerophrys funerea"
"http://dbpedia.org/resource/Sclerophrys_garmani","Sclerophrys garmani"
"http://dbpedia.org/resource/Sclerophrys_gracilipes","Sclerophrys gracilipes"
"http://dbpedia.org/resource/Sclerophrys_kerinyagae","Sclerophrys kerinyagae"
"http://dbpedia.org/resource/Sclerophrys_kisoloensis","Sclerophrys kisoloensis"
"http://dbpedia.org/resource/Sclerophrys_perreti","Sclerophrys perreti"
"http://dbpedia.org/resource/Sclerophrys_reesi","Sclerophrys reesi"
"http://dbpedia.org/resource/Sclerophrys_villiersi","Sclerophrys villiersi"
"http://dbpedia.org/resource/Sclerophrys_vittata","Sclerophrys vittata"
"http://dbpedia.org/resource/Senegal_batis","Senegal batis"
"http://dbpedia.org/resource/Serpent_Island_gecko","Serpent Island gecko"
"http://dbpedia.org/resource/Setifer","Setifer"
"http://dbpedia.org/resource/Sociable_weaver","Sociable weaver"
"http://dbpedia.org/resource/Somali_elephant_shrew","Somali elephant shrew"
"http://dbpedia.org/resource/Southern_black_tit","Southern black tit"
"http://dbpedia.org/resource/Southern_white-crowned_shrike","Southern white-crowned shrike"
"http://dbpedia.org/resource/Speke's_pectinator","Speke's pectinator"
"http://dbpedia.org/resource/Spike-heeled_lark","Spike-heeled lark"
"http://dbpedia.org/resource/Spurrell's_free-tailed_bat","Spurrell's free-tailed bat"
"http://dbpedia.org/resource/Strongylopus_fasciatus","Strongylopus fasciatus"
"http://dbpedia.org/resource/Strongylopus_kilimanjaro","Strongylopus kilimanjaro"
"http://dbpedia.org/resource/São_Tomé_free-tailed_bat","São Tomé free-tailed bat"
"http://dbpedia.org/resource/Tandy's_sand_frog","Tandy's sand frog"
"http://dbpedia.org/resource/Taterillus","Taterillus"
"http://dbpedia.org/resource/Tenerife_gecko","Tenerife gecko"
"http://dbpedia.org/resource/Tomopterna_ahli","Tomopterna ahli"
