"mGenre","name"
"http://dbpedia.org/resource/Alternate_reality_game","Alternate reality game"
"http://dbpedia.org/resource/American_history","American history"
"http://dbpedia.org/resource/Americana","Americana"
"http://dbpedia.org/resource/Anonymity","Anonymity"
"http://dbpedia.org/resource/Anthropomorphic","Anthropomorphic"
"http://dbpedia.org/resource/Antivirus_software","Antivirus software"
"http://dbpedia.org/resource/Apache_HTTP_server","Apache HTTP server"
"http://dbpedia.org/resource/Apache_License","Apache License"
"http://dbpedia.org/resource/Arena_rock","Arena rock"
"http://dbpedia.org/resource/Automation","Automation"
"http://dbpedia.org/resource/Automotive_industry","Automotive industry"
"http://dbpedia.org/resource/Aviation_History","Aviation History"
"http://dbpedia.org/resource/Ayurveda","Ayurveda"
"http://dbpedia.org/resource/Bakersfield_Sound","Bakersfield Sound"
"http://dbpedia.org/resource/Betting_exchange","Betting exchange"
"http://dbpedia.org/resource/Big_Beat","Big Beat"
"http://dbpedia.org/resource/Biomathematics","Biomathematics"
"http://dbpedia.org/resource/Blank_verse","Blank verse"
"http://dbpedia.org/resource/Body_art","Body art"
"http://dbpedia.org/resource/Bossa_nova","Bossa nova"
"http://dbpedia.org/resource/Bourgeois","Bourgeois"
"http://dbpedia.org/resource/Breakbeats","Breakbeats"
"http://dbpedia.org/resource/Breakfast_television","Breakfast television"
"http://dbpedia.org/resource/Bubblegum_Pop","Bubblegum Pop"
"http://dbpedia.org/resource/Bumper_cars","Bumper cars"
"http://dbpedia.org/resource/Calypso_Music","Calypso Music"
"http://dbpedia.org/resource/Camping","Camping"
"http://dbpedia.org/resource/Cantopop","Cantopop"
"http://dbpedia.org/resource/Celebrities","Celebrities"
"http://dbpedia.org/resource/Chachachá","Chachachá"
"http://dbpedia.org/resource/Chicago_House","Chicago House"
"http://dbpedia.org/resource/Chicano_Rock","Chicano Rock"
"http://dbpedia.org/resource/Children","Children"
"http://dbpedia.org/resource/Chinese_Opera","Chinese Opera"
"http://dbpedia.org/resource/Chinese_opera","Chinese opera"
"http://dbpedia.org/resource/Christian_Contemporary_Music","Christian Contemporary Music"
"http://dbpedia.org/resource/Christian_Rock","Christian Rock"
"http://dbpedia.org/resource/Comics","Comics"
"http://dbpedia.org/resource/Command_Line_Interface","Command Line Interface"
"http://dbpedia.org/resource/Computational_Fluid_Dynamics","Computational Fluid Dynamics"
"http://dbpedia.org/resource/Construction","Construction"
"http://dbpedia.org/resource/Consumer_electronics","Consumer electronics"
"http://dbpedia.org/resource/Contemporary_Christian_Music","Contemporary Christian Music"
"http://dbpedia.org/resource/Contemporary_fantasy","Contemporary fantasy"
"http://dbpedia.org/resource/Copy_protection","Copy protection"
"http://dbpedia.org/resource/Counterintelligence","Counterintelligence"
"http://dbpedia.org/resource/Country_blues","Country blues"
"http://dbpedia.org/resource/Cover_version","Cover version"
"http://dbpedia.org/resource/Criticism","Criticism"
"http://dbpedia.org/resource/Culinary","Culinary"
"http://dbpedia.org/resource/Culture_of_Japan","Culture of Japan"
"http://dbpedia.org/resource/Dating_game_show","Dating game show"
"http://dbpedia.org/resource/Death_Metal","Death Metal"
"http://dbpedia.org/resource/Delta_Blues","Delta Blues"
"http://dbpedia.org/resource/Detroit_Techno","Detroit Techno"
"http://dbpedia.org/resource/Digital_Art","Digital Art"
"http://dbpedia.org/resource/Distributed_Computing","Distributed Computing"
"http://dbpedia.org/resource/Docudrama","Docudrama"
"http://dbpedia.org/resource/Documentation","Documentation"
"http://dbpedia.org/resource/Drum_and_bugle_corps_(modern)","Drum and bugle corps (modern)"
"http://dbpedia.org/resource/Eastern_philosophy","Eastern philosophy"
"http://dbpedia.org/resource/Ecological_economics","Ecological economics"
"http://dbpedia.org/resource/Editorial_cartoons","Editorial cartoons"
"http://dbpedia.org/resource/Electroclash","Electroclash"
"http://dbpedia.org/resource/Electronic_Body_Music","Electronic Body Music"
"http://dbpedia.org/resource/Enterprise_Resource_Planning","Enterprise Resource Planning"
"http://dbpedia.org/resource/Exercise","Exercise"
"http://dbpedia.org/resource/Farce","Farce"
"http://dbpedia.org/resource/Fictional","Fictional"
"http://dbpedia.org/resource/Figure_Skating","Figure Skating"
"http://dbpedia.org/resource/Film_production","Film production"
"http://dbpedia.org/resource/Finite_element_analysis","Finite element analysis"
"http://dbpedia.org/resource/Folk_Music","Folk Music"
"http://dbpedia.org/resource/Folk_song","Folk song"
"http://dbpedia.org/resource/Foxtrot","Foxtrot"
"http://dbpedia.org/resource/Free_Jazz","Free Jazz"
"http://dbpedia.org/resource/Free_Verse","Free Verse"
"http://dbpedia.org/resource/Functional_magnetic_resonance_imaging","Functional magnetic resonance imaging"
"http://dbpedia.org/resource/Gag","Gag"
"http://dbpedia.org/resource/Game_engine","Game engine"
"http://dbpedia.org/resource/Garage_rock","Garage rock"
"http://dbpedia.org/resource/Glam_Rock","Glam Rock"
"http://dbpedia.org/resource/Go-go","Go-go"
"http://dbpedia.org/resource/Gothic_Rock","Gothic Rock"
"http://dbpedia.org/resource/Gothic_rock","Gothic rock"
"http://dbpedia.org/resource/Gregorian_chant","Gregorian chant"
"http://dbpedia.org/resource/Gōjū-ryū","Gōjū-ryū"
"http://dbpedia.org/resource/Harajuku","Harajuku"
"http://dbpedia.org/resource/Hawaiian_music","Hawaiian music"
"http://dbpedia.org/resource/Healthcare","Healthcare"
"http://dbpedia.org/resource/Heavy_Metal_music","Heavy Metal music"
"http://dbpedia.org/resource/Hip_Hop_music","Hip Hop music"
"http://dbpedia.org/resource/Home_automation","Home automation"
"http://dbpedia.org/resource/Homebrewing","Homebrewing"
"http://dbpedia.org/resource/Honky_Tonk","Honky Tonk"
"http://dbpedia.org/resource/Hotels","Hotels"
"http://dbpedia.org/resource/How-to","How-to"
"http://dbpedia.org/resource/Indian_Classical_Music","Indian Classical Music"
"http://dbpedia.org/resource/Indian_classical_music","Indian classical music"
"http://dbpedia.org/resource/Indian_music","Indian music"
"http://dbpedia.org/resource/Information_industry","Information industry"
"http://dbpedia.org/resource/Instrumental_rock","Instrumental rock"
"http://dbpedia.org/resource/Insult","Insult"
"http://dbpedia.org/resource/Intellectual_Property","Intellectual Property"
"http://dbpedia.org/resource/Inter-process_communication","Inter-process communication"
"http://dbpedia.org/resource/Intrusion_prevention_system","Intrusion prevention system"
"http://dbpedia.org/resource/Islamic_Studies","Islamic Studies"
"http://dbpedia.org/resource/Isometric_projection","Isometric projection"
"http://dbpedia.org/resource/J-POP","J-POP"
"http://dbpedia.org/resource/Jam","Jam"
"http://dbpedia.org/resource/Jam_bands","Jam bands"
"http://dbpedia.org/resource/Japanese_hip_hop","Japanese hip hop"
