"author","name"
"http://dbpedia.org/resource/Antipater_of_Acanthus","Antipater of Acanthus"
"http://dbpedia.org/resource/George_Pattullo_(writer)","George Pattullo (writer)"
"http://dbpedia.org/resource/Publius_Servilius_Priscus_(consul_463_BC)","Publius Servilius Priscus (consul 463 BC)"
"http://dbpedia.org/resource/Ahmet_the_Calligrapher","Ahmet the Calligrapher"
"http://dbpedia.org/resource/Hezekiah_Beardsley","Hezekiah Beardsley"
"http://dbpedia.org/resource/Alice_Stewart_Hill","Alice Stewart Hill"
"http://dbpedia.org/resource/Sherry_Pie","Sherry Pie"
"http://dbpedia.org/resource/Dory_Manor","Dory Manor"
"http://dbpedia.org/resource/A._Merritt","A. Merritt"
"http://dbpedia.org/resource/Aaron_Sorkin","Aaron Sorkin"
"http://dbpedia.org/resource/Acme_(text_editor)","Acme (text editor)"
"http://dbpedia.org/resource/Adi_Shankara","Adi Shankara"
"http://dbpedia.org/resource/Ahmed_Chalabi","Ahmed Chalabi"
"http://dbpedia.org/resource/Albert_Kesselring","Albert Kesselring"
"http://dbpedia.org/resource/Albert_Namatjira","Albert Namatjira"
"http://dbpedia.org/resource/Alexandra_Kollontai","Alexandra Kollontai"
"http://dbpedia.org/resource/Alexandre_Dumas","Alexandre Dumas"
"http://dbpedia.org/resource/Alvin_Lucier","Alvin Lucier"
"http://dbpedia.org/resource/Amelia_Opie","Amelia Opie"
"http://dbpedia.org/resource/Andrew_Lang","Andrew Lang"
"http://dbpedia.org/resource/Angela_Morley","Angela Morley"
"http://dbpedia.org/resource/Anna_Brownell_Jameson","Anna Brownell Jameson"
"http://dbpedia.org/resource/Annie_Besant","Annie Besant"
"http://dbpedia.org/resource/Antonin_Scalia","Antonin Scalia"
"http://dbpedia.org/resource/Antonio_de_Ulloa","Antonio de Ulloa"
"http://dbpedia.org/resource/Ardour_(software)","Ardour (software)"
"http://dbpedia.org/resource/Art_Blakey","Art Blakey"
"http://dbpedia.org/resource/Arthur_Hugh_Clough","Arthur Hugh Clough"
"http://dbpedia.org/resource/Arthur_Quiller-Couch","Arthur Quiller-Couch"
"http://dbpedia.org/resource/Arthur_Ransome","Arthur Ransome"
"http://dbpedia.org/resource/Arthur_Rimbaud","Arthur Rimbaud"
"http://dbpedia.org/resource/Arthur_de_Gobineau","Arthur de Gobineau"
"http://dbpedia.org/resource/Audre_Lorde","Audre Lorde"
"http://dbpedia.org/resource/August_von_Kotzebue","August von Kotzebue"
"http://dbpedia.org/resource/Auguste_Comte","Auguste Comte"
"http://dbpedia.org/resource/Azathoth","Azathoth"
"http://dbpedia.org/resource/Baroness_Mary_Vetsera","Baroness Mary Vetsera"
"http://dbpedia.org/resource/Bert_Williams","Bert Williams"
"http://dbpedia.org/resource/Billy_Bishop","Billy Bishop"
"http://dbpedia.org/resource/Birger_Nordholm","Birger Nordholm"
"http://dbpedia.org/resource/Booth_Tarkington","Booth Tarkington"
"http://dbpedia.org/resource/Braxton_Bragg","Braxton Bragg"
"http://dbpedia.org/resource/Broadway_Open_House","Broadway Open House"
"http://dbpedia.org/resource/Bronisław_Malinowski","Bronisław Malinowski"
"http://dbpedia.org/resource/C._H._B._Kitchin","C. H. B. Kitchin"
"http://dbpedia.org/resource/Camilla,_Duchess_of_Cornwall","Camilla, Duchess of Cornwall"
"http://dbpedia.org/resource/Caroline_Herschel","Caroline Herschel"
"http://dbpedia.org/resource/Cate_Blanchett","Cate Blanchett"
"http://dbpedia.org/resource/Cecil_Rhodes","Cecil Rhodes"
"http://dbpedia.org/resource/Chaitanya_Mahaprabhu","Chaitanya Mahaprabhu"
"http://dbpedia.org/resource/Chang_and_Eng_Bunker","Chang and Eng Bunker"
"http://dbpedia.org/resource/Charles_Dana_Gibson","Charles Dana Gibson"
"http://dbpedia.org/resource/Charles_Knight_(publisher)","Charles Knight (publisher)"
"http://dbpedia.org/resource/Charles_Lucas","Charles Lucas"
"http://dbpedia.org/resource/Charles_Wesley","Charles Wesley"
"http://dbpedia.org/resource/Charlotte_Mary_Yonge","Charlotte Mary Yonge"
"http://dbpedia.org/resource/Constant_Lambert","Constant Lambert"
"http://dbpedia.org/resource/Cornell_Woolrich","Cornell Woolrich"
"http://dbpedia.org/resource/Dante_Gabriel_Rossetti","Dante Gabriel Rossetti"
"http://dbpedia.org/resource/Dashiell_Hammett","Dashiell Hammett"
"http://dbpedia.org/resource/David_Garrick","David Garrick"
"http://dbpedia.org/resource/David_Norris_(politician)","David Norris (politician)"
"http://dbpedia.org/resource/Dolores_Ibárruri","Dolores Ibárruri"
"http://dbpedia.org/resource/Dornford_Yates","Dornford Yates"
"http://dbpedia.org/resource/E._Nesbit","E. Nesbit"
"http://dbpedia.org/resource/Earl_Derr_Biggers","Earl Derr Biggers"
"http://dbpedia.org/resource/Edith_Sitwell","Edith Sitwell"
"http://dbpedia.org/resource/Edith_Wharton","Edith Wharton"
"http://dbpedia.org/resource/Edward_Burne-Jones","Edward Burne-Jones"
"http://dbpedia.org/resource/Edward_Wood,_1st_Earl_of_Halifax","Edward Wood, 1st Earl of Halifax"
"http://dbpedia.org/resource/Edwin_Muir","Edwin Muir"
"http://dbpedia.org/resource/Emily_Carr","Emily Carr"
"http://dbpedia.org/resource/Emma_Albani","Emma Albani"
"http://dbpedia.org/resource/Enda_Kenny","Enda Kenny"
"http://dbpedia.org/resource/Eric_P._Kelly","Eric P. Kelly"
"http://dbpedia.org/resource/Eric_Temple_Bell","Eric Temple Bell"
"http://dbpedia.org/resource/Erle_Stanley_Gardner","Erle Stanley Gardner"
"http://dbpedia.org/resource/Ernie_Pyle","Ernie Pyle"
"http://dbpedia.org/resource/Faisal_I_of_Iraq_and_Syria","Faisal I of Iraq and Syria"
"http://dbpedia.org/resource/Ferdinand_Lassalle","Ferdinand Lassalle"
"http://dbpedia.org/resource/Francis_Hutcheson_(philosopher)","Francis Hutcheson (philosopher)"
"http://dbpedia.org/resource/Francis_Ledwidge","Francis Ledwidge"
"http://dbpedia.org/resource/Franciscus_Patricius","Franciscus Patricius"
"http://dbpedia.org/resource/Frank_Abagnale","Frank Abagnale"
"http://dbpedia.org/resource/François_Fénelon","François Fénelon"
"http://dbpedia.org/resource/Frederick_York_Powell","Frederick York Powell"
"http://dbpedia.org/resource/Gaius_Calpurnius_Piso_(conspirator)","Gaius Calpurnius Piso (conspirator)"
"http://dbpedia.org/resource/Georg_Magnus_Sprengtporten","Georg Magnus Sprengtporten"
"http://dbpedia.org/resource/George_Moore_(novelist)","George Moore (novelist)"
"http://dbpedia.org/resource/George_Santayana","George Santayana"
"http://dbpedia.org/resource/George_du_Maurier","George du Maurier"
"http://dbpedia.org/resource/Gerhart_Hauptmann","Gerhart Hauptmann"
"http://dbpedia.org/resource/Gottfried_Keller","Gottfried Keller"
"http://dbpedia.org/resource/Grant_Allen","Grant Allen"
"http://dbpedia.org/resource/Grey_Owl","Grey Owl"
"http://dbpedia.org/resource/Hakeem_Olajuwon","Hakeem Olajuwon"
"http://dbpedia.org/resource/Harold_Innis","Harold Innis"
"http://dbpedia.org/resource/Harriet_Beecher_Stowe","Harriet Beecher Stowe"
"http://dbpedia.org/resource/Harriet_Martineau","Harriet Martineau"
"http://dbpedia.org/resource/Heinrich_von_Kleist","Heinrich von Kleist"
"http://dbpedia.org/resource/Helen_Garner","Helen Garner"
"http://dbpedia.org/resource/Henry_H._Arnold","Henry H. Arnold"
"http://dbpedia.org/resource/Henry_James_Sumner_Maine","Henry James Sumner Maine"
"http://dbpedia.org/resource/Hongwu_Emperor","Hongwu Emperor"
"http://dbpedia.org/resource/Honus_Wagner","Honus Wagner"
"http://dbpedia.org/resource/Hugo_Black","Hugo Black"
"http://dbpedia.org/resource/Ibn_Arabi","Ibn Arabi"
"http://dbpedia.org/resource/Isabella_Beeton","Isabella Beeton"
"http://dbpedia.org/resource/Isadora_Duncan","Isadora Duncan"
"http://dbpedia.org/resource/Ishi","Ishi"
"http://dbpedia.org/resource/J._M._Barrie","J. M. Barrie"
"http://dbpedia.org/resource/Jameel_Al-Madfaai","Jameel Al-Madfaai"
"http://dbpedia.org/resource/James_Martineau","James Martineau"
"http://dbpedia.org/resource/James_Montgomery_Flagg","James Montgomery Flagg"
"http://dbpedia.org/resource/Janet_Malcolm","Janet Malcolm"
"http://dbpedia.org/resource/Jean_Buridan","Jean Buridan"
"http://dbpedia.org/resource/Jeb_Bush","Jeb Bush"
"http://dbpedia.org/resource/Jiaqing_Emperor","Jiaqing Emperor"
"http://dbpedia.org/resource/Jim_Clark","Jim Clark"
"http://dbpedia.org/resource/Johan_Christopher_Toll","Johan Christopher Toll"
"http://dbpedia.org/resource/John_Corigliano","John Corigliano"
"http://dbpedia.org/resource/John_Leech_(caricaturist)","John Leech (caricaturist)"
"http://dbpedia.org/resource/John_Mayer","John Mayer"
"http://dbpedia.org/resource/John_McCrae","John McCrae"
"http://dbpedia.org/resource/John_Muir","John Muir"
"http://dbpedia.org/resource/John_P._Marquand","John P. Marquand"
"http://dbpedia.org/resource/John_Wilkes","John Wilkes"
"http://dbpedia.org/resource/Joseph_Görres","Joseph Görres"
"http://dbpedia.org/resource/Joseph_Stilwell","Joseph Stilwell"
"http://dbpedia.org/resource/Jozef_Tiso","Jozef Tiso"
"http://dbpedia.org/resource/June_Allyson","June Allyson"
"http://dbpedia.org/resource/Karen_Davis_(activist)","Karen Davis (activist)"
"http://dbpedia.org/resource/Kate_Greenaway","Kate Greenaway"
"http://dbpedia.org/resource/Kenneth_Grahame","Kenneth Grahame"
"http://dbpedia.org/resource/Kobe_Bryant","Kobe Bryant"
"http://dbpedia.org/resource/Lady_Gregory","Lady Gregory"
"http://dbpedia.org/resource/Lady_Hester_Stanhope","Lady Hester Stanhope"
