"usTech","name"
"http://dbpedia.org/resource/Dan_Vs.","Dan Vs."
"http://dbpedia.org/resource/Deadpool_Pulp","Deadpool Pulp"
"http://dbpedia.org/resource/Derrick_Murdock","Derrick Murdock"
"http://dbpedia.org/resource/Diamond_Eyes_(Boom-Lay_Boom-Lay_Boom)","Diamond Eyes (Boom-Lay Boom-Lay Boom)"
"http://dbpedia.org/resource/Do_You_Know_What_I_Mean","Do You Know What I Mean"
"http://dbpedia.org/resource/EA_Sports_Active_2","EA Sports Active 2"
"http://dbpedia.org/resource/EE_Ticket","EE Ticket"
"http://dbpedia.org/resource/Eagleheart_(TV_series)","Eagleheart (TV series)"
"http://dbpedia.org/resource/Fight_Night_Champion","Fight Night Champion"
"http://dbpedia.org/resource/Furry_Legends","Furry Legends"
"http://dbpedia.org/resource/Good_Time_(Inna_song)","Good Time (Inna song)"
"http://dbpedia.org/resource/Grand_Slam_Tennis_2","Grand Slam Tennis 2"
"http://dbpedia.org/resource/Hafþór_Júlíus_Björnsson","Hafþór Júlíus Björnsson"
"http://dbpedia.org/resource/Hannah_Montana_Forever","Hannah Montana Forever"
"http://dbpedia.org/resource/IBM_Printer_Model_4","IBM Printer Model 4"
"http://dbpedia.org/resource/In-A-Gadda-Da-Vida","In-A-Gadda-Da-Vida"
"http://dbpedia.org/resource/JailbreakMe","JailbreakMe"
"http://dbpedia.org/resource/Jameson_Taillon","Jameson Taillon"
"http://dbpedia.org/resource/Jar_of_Hearts","Jar of Hearts"
"http://dbpedia.org/resource/Jo-Ann_Strauss","Jo-Ann Strauss"
"http://dbpedia.org/resource/Just_Remember_I_Love_You","Just Remember I Love You"
"http://dbpedia.org/resource/Just_the_Way_You_Are_(Bruno_Mars_song)","Just the Way You Are (Bruno Mars song)"
"http://dbpedia.org/resource/Laser_Blast","Laser Blast"
"http://dbpedia.org/resource/Le_Noise","Le Noise"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1962)","List of The Tonight Show Starring Johnny Carson episodes (1962)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1963)","List of The Tonight Show Starring Johnny Carson episodes (1963)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1964)","List of The Tonight Show Starring Johnny Carson episodes (1964)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1965)","List of The Tonight Show Starring Johnny Carson episodes (1965)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1966)","List of The Tonight Show Starring Johnny Carson episodes (1966)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1967)","List of The Tonight Show Starring Johnny Carson episodes (1967)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1968)","List of The Tonight Show Starring Johnny Carson episodes (1968)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1969)","List of The Tonight Show Starring Johnny Carson episodes (1969)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1970)","List of The Tonight Show Starring Johnny Carson episodes (1970)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1971)","List of The Tonight Show Starring Johnny Carson episodes (1971)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1972)","List of The Tonight Show Starring Johnny Carson episodes (1972)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1973)","List of The Tonight Show Starring Johnny Carson episodes (1973)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1974)","List of The Tonight Show Starring Johnny Carson episodes (1974)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1975)","List of The Tonight Show Starring Johnny Carson episodes (1975)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1976)","List of The Tonight Show Starring Johnny Carson episodes (1976)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1977)","List of The Tonight Show Starring Johnny Carson episodes (1977)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1978)","List of The Tonight Show Starring Johnny Carson episodes (1978)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1979)","List of The Tonight Show Starring Johnny Carson episodes (1979)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1980)","List of The Tonight Show Starring Johnny Carson episodes (1980)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1981)","List of The Tonight Show Starring Johnny Carson episodes (1981)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1982)","List of The Tonight Show Starring Johnny Carson episodes (1982)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1983)","List of The Tonight Show Starring Johnny Carson episodes (1983)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1984)","List of The Tonight Show Starring Johnny Carson episodes (1984)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1985)","List of The Tonight Show Starring Johnny Carson episodes (1985)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1986)","List of The Tonight Show Starring Johnny Carson episodes (1986)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1987)","List of The Tonight Show Starring Johnny Carson episodes (1987)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1988)","List of The Tonight Show Starring Johnny Carson episodes (1988)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1989)","List of The Tonight Show Starring Johnny Carson episodes (1989)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1990)","List of The Tonight Show Starring Johnny Carson episodes (1990)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1991)","List of The Tonight Show Starring Johnny Carson episodes (1991)"
"http://dbpedia.org/resource/List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1992)","List of The Tonight Show Starring Johnny Carson episodes (1992)"
"http://dbpedia.org/resource/Magic_(B.o.B_song)","Magic (B.o.B song)"
"http://dbpedia.org/resource/Magnavox_Presents_Frank_Sinatra","Magnavox Presents Frank Sinatra"
"http://dbpedia.org/resource/Mitto_Password_Manager","Mitto Password Manager"
"http://dbpedia.org/resource/Mongo_Wrestling_Alliance","Mongo Wrestling Alliance"
"http://dbpedia.org/resource/Muran_(film)","Muran (film)"
"http://dbpedia.org/resource/NHL_Slapshot","NHL Slapshot"
"http://dbpedia.org/resource/Pajama_Sam_2:_Thunder_and_Lightning_Aren't_so_Frightening","Pajama Sam 2: Thunder and Lightning Aren't so Frightening"
"http://dbpedia.org/resource/Pop_Island_–_Paperfield","Pop Island – Paperfield"
"http://dbpedia.org/resource/Power_Macintosh_6400","Power Macintosh 6400"
"http://dbpedia.org/resource/Pres_Romanillos","Pres Romanillos"
"http://dbpedia.org/resource/RealSports_Volleyball","RealSports Volleyball"
"http://dbpedia.org/resource/Secret_of_the_Wings","Secret of the Wings"
"http://dbpedia.org/resource/Shirley_Silvey","Shirley Silvey"
"http://dbpedia.org/resource/Sonny_with_a_Chance_(soundtrack)","Sonny with a Chance (soundtrack)"
"http://dbpedia.org/resource/Starring_Boris_Karloff","Starring Boris Karloff"
"http://dbpedia.org/resource/Super_Swap","Super Swap"
"http://dbpedia.org/resource/Surviving_High_School","Surviving High School"
"http://dbpedia.org/resource/Take_It_to_da_House","Take It to da House"
"http://dbpedia.org/resource/Take_a_Load_Off","Take a Load Off"
"http://dbpedia.org/resource/The_Campana_Company","The Campana Company"
"http://dbpedia.org/resource/The_Cat_in_the_Hat_Knows_a_Lot_About_That!","The Cat in the Hat Knows a Lot About That!"
"http://dbpedia.org/resource/The_Mysterious_Origins_of_Man","The Mysterious Origins of Man"
"http://dbpedia.org/resource/The_Oaf_(My_Luck_Is_Wasted)","The Oaf (My Luck Is Wasted)"
"http://dbpedia.org/resource/The_Old_Army_Game","The Old Army Game"
"http://dbpedia.org/resource/Time_(Hootie_&_the_Blowfish_song)","Time (Hootie & the Blowfish song)"
"http://dbpedia.org/resource/Total_Drama","Total Drama"
"http://dbpedia.org/resource/Total_Drama:_Revenge_of_the_Island","Total Drama: Revenge of the Island"
"http://dbpedia.org/resource/Valiant_Lady","Valiant Lady"
"http://dbpedia.org/resource/Voodoo_Kid","Voodoo Kid"
"http://dbpedia.org/resource/Wargasm","Wargasm"
"http://dbpedia.org/resource/Yeah_Ya_Know_(Takers)","Yeah Ya Know (Takers)"
"http://dbpedia.org/resource/¡Salud!_João_Gilberto,_Originator_of_the_Bossa_Nova","¡Salud! João Gilberto, Originator of the Bossa Nova"
"http://dbpedia.org/resource/12_Songs_of_Christmas_(Frank_Sinatra,_Bing_Crosby,_and_Fred_Waring_album)","12 Songs of Christmas (Frank Sinatra, Bing Crosby, and Fred Waring album)"
"http://dbpedia.org/resource/Alessandra_Usman","Alessandra Usman"
"http://dbpedia.org/resource/Almost_Naked_Animals","Almost Naked Animals"
"http://dbpedia.org/resource/Angry_Birds","Angry Birds"
"http://dbpedia.org/resource/Answer_the_Phone","Answer the Phone"
"http://dbpedia.org/resource/Antoine_Pinto","Antoine Pinto"
