"lake","name"
"http://dbpedia.org/resource/Schliersee_(lake)","Schliersee (lake)"
"http://dbpedia.org/resource/Smithville_Lake","Smithville Lake"
"http://dbpedia.org/resource/Snow_Lake_(New_Mexico)","Snow Lake (New Mexico)"
"http://dbpedia.org/resource/Song_Kol_Lake","Song Kol Lake"
"http://dbpedia.org/resource/Soppensee","Soppensee"
"http://dbpedia.org/resource/Stausee_Gibidum","Stausee Gibidum"
"http://dbpedia.org/resource/Steinhuder_Meer","Steinhuder Meer"
"http://dbpedia.org/resource/Stony_Lake_(Manitoba)","Stony Lake (Manitoba)"
"http://dbpedia.org/resource/Stony_Lake_(Ontario)","Stony Lake (Ontario)"
"http://dbpedia.org/resource/Storsjø_(Nord-Odal)","Storsjø (Nord-Odal)"
"http://dbpedia.org/resource/Sturgeon_Lake_(Northwestern_Ontario)","Sturgeon Lake (Northwestern Ontario)"
"http://dbpedia.org/resource/Sufnersee","Sufnersee"
"http://dbpedia.org/resource/Tannensee","Tannensee"
"http://dbpedia.org/resource/Tasman_Lake","Tasman Lake"
"http://dbpedia.org/resource/Timothy_Lake","Timothy Lake"
"http://dbpedia.org/resource/Tiscapa_Lagoon_Natural_Reserve","Tiscapa Lagoon Natural Reserve"
"http://dbpedia.org/resource/Těrlicko_Dam","Těrlicko Dam"
"http://dbpedia.org/resource/Ulley_Reservoir","Ulley Reservoir"
"http://dbpedia.org/resource/Vasa_Loch","Vasa Loch"
"http://dbpedia.org/resource/Vaseux_Lake","Vaseux Lake"
"http://dbpedia.org/resource/Vlasina_Lake","Vlasina Lake"
"http://dbpedia.org/resource/Watson_Lake_(Arizona)","Watson Lake (Arizona)"
"http://dbpedia.org/resource/West_Alaska_Lake","West Alaska Lake"
"http://dbpedia.org/resource/Wet_Lake_(Kuyavia-Pomerania_Voivodeship)","Wet Lake (Kuyavia-Pomerania Voivodeship)"
"http://dbpedia.org/resource/Wet_Lake_(Warmia-Masuria_Voivodeship)","Wet Lake (Warmia-Masuria Voivodeship)"
"http://dbpedia.org/resource/Whale_Lake","Whale Lake"
"http://dbpedia.org/resource/Winnecunnet_Pond","Winnecunnet Pond"
"http://dbpedia.org/resource/Åsunden_(Västergötland)","Åsunden (Västergötland)"
"http://dbpedia.org/resource/Aksai_Chin_Lake","Aksai Chin Lake"
"http://dbpedia.org/resource/Alemoor_Loch","Alemoor Loch"
"http://dbpedia.org/resource/Alkali_Lake_(Oregon)","Alkali Lake (Oregon)"
"http://dbpedia.org/resource/Angostura_Reservoir","Angostura Reservoir"
"http://dbpedia.org/resource/Anstruther_Lake","Anstruther Lake"
"http://dbpedia.org/resource/Baldwin_Lake_(Anoka_County,_Minnesota)","Baldwin Lake (Anoka County, Minnesota)"
"http://dbpedia.org/resource/Bassin_Rond","Bassin Rond"
"http://dbpedia.org/resource/Belmont_Reservoir","Belmont Reservoir"
"http://dbpedia.org/resource/Borax_Lake_(Oregon)","Borax Lake (Oregon)"
"http://dbpedia.org/resource/Botsford_Lake_(Ontario)","Botsford Lake (Ontario)"
"http://dbpedia.org/resource/Casummit_Lake_(Ontario)","Casummit Lake (Ontario)"
"http://dbpedia.org/resource/Chandos_Lake","Chandos Lake"
"http://dbpedia.org/resource/Clear_Lake_(Palau)","Clear Lake (Palau)"
"http://dbpedia.org/resource/Colliford_Lake","Colliford Lake"
"http://dbpedia.org/resource/Deerock_Lake","Deerock Lake"
"http://dbpedia.org/resource/Dennenloher_See","Dennenloher See"
"http://dbpedia.org/resource/Dingle_Reservoir","Dingle Reservoir"
"http://dbpedia.org/resource/Double_Mountain_Fork_Brazos_River","Double Mountain Fork Brazos River"
"http://dbpedia.org/resource/East_Lake_(Wuhan)","East Lake (Wuhan)"
"http://dbpedia.org/resource/Elmer_Thomas_Lake","Elmer Thomas Lake"
"http://dbpedia.org/resource/Elzevir_Lake","Elzevir Lake"
"http://dbpedia.org/resource/Emerald_Lake_(Yukon)","Emerald Lake (Yukon)"
"http://dbpedia.org/resource/Fourbass_Lake_(Ontario)","Fourbass Lake (Ontario)"
"http://dbpedia.org/resource/Gaube_Lake","Gaube Lake"
"http://dbpedia.org/resource/Gillies_Lake","Gillies Lake"
"http://dbpedia.org/resource/Goby_Lake","Goby Lake"
"http://dbpedia.org/resource/Gorrie_Lake_(Ontario)","Gorrie Lake (Ontario)"
"http://dbpedia.org/resource/Gorton_Reservoirs","Gorton Reservoirs"
"http://dbpedia.org/resource/Grimsthorpe_Lake_(Ontario)","Grimsthorpe Lake (Ontario)"
"http://dbpedia.org/resource/Horsefly_Lake","Horsefly Lake"
"http://dbpedia.org/resource/Indian_Lake_(Wisconsin)","Indian Lake (Wisconsin)"
"http://dbpedia.org/resource/Island_Lake_(Illinois)","Island Lake (Illinois)"
"http://dbpedia.org/resource/Jacksons_Lake_(Lennox_and_Addington_County)","Jacksons Lake (Lennox and Addington County)"
"http://dbpedia.org/resource/Joeperry_Lake","Joeperry Lake"
"http://dbpedia.org/resource/John_Hendry_Park","John Hendry Park"
"http://dbpedia.org/resource/Kabiskagami_Lake_(Ontario)","Kabiskagami Lake (Ontario)"
"http://dbpedia.org/resource/Kangerlussuaq_Fjord","Kangerlussuaq Fjord"
