"euroSight","name"
"http://dbpedia.org/resource/Cathedral_of_the_Holy_Name_of_Saint_Virgin_Mary","Cathedral of the Holy Name of Saint Virgin Mary"
"http://dbpedia.org/resource/Church_of_Saints_Simon_and_Helena","Church of Saints Simon and Helena"
"http://dbpedia.org/resource/Elmstein_Castle","Elmstein Castle"
"http://dbpedia.org/resource/Falkenburg_Castle_(Palatinate)","Falkenburg Castle (Palatinate)"
"http://dbpedia.org/resource/Neuleiningen_Castle","Neuleiningen Castle"
"http://dbpedia.org/resource/Çanakkale_Martyrs'_Memorial","Çanakkale Martyrs' Memorial"
"http://dbpedia.org/resource/Kosova_National_Art_Gallery","Kosova National Art Gallery"
"http://dbpedia.org/resource/Alvar_Aalto_Museum","Alvar Aalto Museum"
"http://dbpedia.org/resource/Pompejanum","Pompejanum"
"http://dbpedia.org/resource/Statue_of_Honor","Statue of Honor"
"http://dbpedia.org/resource/Studio_Aalto","Studio Aalto"
"http://dbpedia.org/resource/Tunnel_of_Love_(railway)","Tunnel of Love (railway)"
"http://dbpedia.org/resource/Villa_Aalto","Villa Aalto"
"http://dbpedia.org/resource/Berlin_Dungeon","Berlin Dungeon"
"http://dbpedia.org/resource/Ville_Sbertoli","Ville Sbertoli"
"http://dbpedia.org/resource/Jacksons_Corner","Jacksons Corner"
"http://dbpedia.org/resource/Propeller_Island_City_Lodge","Propeller Island City Lodge"
"http://dbpedia.org/resource/Cali_Tower","Cali Tower"
"http://dbpedia.org/resource/Fillmore_Towne_Theatre","Fillmore Towne Theatre"
"http://dbpedia.org/resource/Florence_Institute","Florence Institute"
"http://dbpedia.org/resource/Hotel_Baker","Hotel Baker"
"http://dbpedia.org/resource/Hurley_Historic_District","Hurley Historic District"
"http://dbpedia.org/resource/Kuching_Civic_Centre","Kuching Civic Centre"
"http://dbpedia.org/resource/Lunenburg_Opera_House","Lunenburg Opera House"
"http://dbpedia.org/resource/Standard_House","Standard House"
"http://dbpedia.org/resource/Virginia_City_Historic_District_(Virginia_City,_Nevada)","Virginia City Historic District (Virginia City, Nevada)"
"http://dbpedia.org/resource/Bakersfield_Sign","Bakersfield Sign"
"http://dbpedia.org/resource/Casa_Font-Ubides","Casa Font-Ubides"
"http://dbpedia.org/resource/Earl_Carroll_Theatre_(Los_Angeles)","Earl Carroll Theatre (Los Angeles)"
"http://dbpedia.org/resource/Goffe_Street_Special_School_for_Colored_Children","Goffe Street Special School for Colored Children"
